32_no,32_date,32_gene_bank_id,32_name,32_ciat_id,32_set_ciat,32_batch,32_run,32_replication,32_syrange_no,32_bag_weight_g,32_digested_weight_g,32_remarks,32_undigested_dm_g,32_digested_feed_mg,32_dmd_truly_digestibility,32_ndf_incubated_mg,32_ndf_digestibility_mg,32_ndf_digestibility_in_24h,32_remarks_2,,
No,Date,Gene Bank ID,Name,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Bag weight, g","Digested weight, g",Remarks,"Undigested DM, g","Digested feed, mg","% DMD, Truly digestibility","NDF incubated, mg","NDF digestibility, mg",% NDF digestibility in 24 h,Remarks,,
377,"28/11/24, Thu",ABC-7816,Indigofera spicata,F24 3446,3,8,2,3,20,0.5544,0.7276,,0.1732,289.67,62.58128632,253.3902982,80.19029818,31.6469489,ELIMINADOS,,
378,"28/11/24, Thu",ABC-7858,Crotalaria incana,F24 3447,3,8,2,1,21,0.555,0.6644,,0.1094,356.6932,76.52829949,283.0368718,173.6368718,61.34779214,ELIMINADOS,,
379,"28/11/24, Thu",ABC-7858,Crotalaria incana,F24 3447,3,8,2,2,22,0.5599,0.6571,,0.0972,369.266,79.16246843,283.263256,186.063256,65.68563062,ELIMINADOS,,
380,"28/11/24, Thu",ABC-7858,Crotalaria incana,F24 3447,3,8,2,3,23,0.5619,0.6765,,0.1146,351.866,75.43229303,283.263256,168.663256,59.54293486,ELIMINADOS,,
381,"28/11/24, Thu",Blank,Blank,Blank,3,8,2,1,24,,,,,,#DIV/0!,,,,ELIMINADOS,,
382,"28/11/24, Thu",Blank,Blank,Blank,3,8,2,2,25,,,,,,#DIV/0!,,,,ELIMINADOS,,
383,"28/11/24, Thu",ABC-7972,Canavalia brasiliensis,F24 3448,3,8,2,1,26,0.567,0.7157,,0.1487,311.50975,67.68864632,258.0232088,109.3232088,42.36952533,ELIMINADOS,,
384,"28/11/24, Thu",ABC-7972,Canavalia brasiliensis,F24 3448,3,8,2,2,27,0.5318,0.6653,,0.1335,326.34195,70.96828595,257.8169965,124.3169965,48.21908492,ELIMINADOS,,
385,"28/11/24, Thu",ABC-7972,Canavalia brasiliensis,F24 3448,3,8,2,3,28,0.5616,0.7119,,0.1503,309.45,67.30831974,257.7654434,107.4654434,41.6911755,ELIMINADOS,,
386,"28/11/24, Thu",ABC-8205,Indigofera suffruticosa,F24 3449,3,8,2,1,29,0.5565,0.7236,,0.1671,294.0844,63.76720461,236.1642014,69.06420135,29.24414494,ELIMINADOS,,
387,"28/11/24, Thu",ABC-8205,Indigofera suffruticosa,F24 3449,3,8,2,2,30,0.563,0.7149,,0.1519,309.6532,67.08938428,236.3530572,84.45305717,35.73173886,ELIMINADOS,,
388,"28/11/24, Thu",ABC-8205,Indigofera suffruticosa,F24 3449,3,8,2,3,31,0.5479,0.7135,,0.1656,295.5844,64.09245412,236.1642014,70.56420135,29.87929625,ELIMINADOS,,
389,"28/11/24, Thu",ABC-8402,Indigofera suffruticosa,F24 3450,3,8,2,1,32,0.5681,0.7026,,0.1345,325.776,70.77840252,220.4943042,85.99430418,39.00069188,ELIMINADOS,,
390,"28/11/24, Thu",ABC-8402,Indigofera suffruticosa,F24 3450,3,8,2,2,33,0.5694,0.724,,0.1546,305.86,66.42487947,220.582449,65.98244901,29.9128282,ELIMINADOS,,
391,"28/11/24, Thu",ABC-8402,Indigofera suffruticosa,F24 3450,3,8,2,3,34,0.543,0.6707,,0.1277,332.76,72.26686357,220.582449,92.88244901,42.10781476,ELIMINADOS,,
392,"28/11/24, Thu",ABC-8408,Chamaecrista nictitans,F24 3451,3,8,2,1,35,0.5482,0.784,,0.2358,234.6381,49.87650873,275.8333258,40.03332576,14.51359282,ELIMINADOS,,
393,"28/11/24, Thu",ABC-8408,Chamaecrista nictitans,F24 3451,3,8,2,2,36,0.5373,0.779,,0.2417,228.64405,48.61208513,275.7781811,34.07818115,12.35709838,ELIMINADOS,,
394,"28/11/24, Thu",ABC-8408,Chamaecrista nictitans,F24 3451,3,8,2,3,37,0.5464,0.7661,,0.2197,250.7381,53.29885058,275.8333258,56.13332576,20.35045098,ELIMINADOS,,
395,"28/11/24, Thu",ABC-8409,Chamaecrista nictitans,F24 3452,3,8,2,1,38,0.5723,0.7841,,0.2118,247.95,53.9314845,284.3422183,72.54221832,25.51229246,ELIMINADOS,,
396,"28/11/24, Thu",ABC-8409,Chamaecrista nictitans,F24 3452,3,8,2,2,39,0.5484,0.7688,,0.2204,239.44195,52.07048857,284.3990868,63.99908677,22.50326733,ELIMINADOS,,
397,"28/11/24, Thu",ABC-8409,Chamaecrista nictitans,F24 3452,3,8,2,3,40,0.5681,0.7814,,0.2133,246.45,53.60522023,284.3422183,71.04221832,24.98475912,ELIMINADOS,,
398,"28/11/24, Thu",ABC-8719,Canavalia sp. ,F24 3453,3,8,2,1,41,0.527,0.6587,,0.1317,335.9099868,71.83550315,187.9568688,56.25686881,29.93073313,ELIMINADOS,,
399,"28/11/24, Thu",ABC-8719,Canavalia sp. ,F24 3453,3,8,2,2,42,0.5491,0.6847,,0.1356,332.1969934,71.01306723,188.0320365,52.43203652,27.88462939,ELIMINADOS,,
400,"28/11/24, Thu",ABC-8719,Canavalia sp. ,F24 3453,3,8,2,3,43,0.5368,0.6707,,0.1339,333.9904967,71.38219285,188.0696204,54.16962038,28.80296151,ELIMINADOS,,
401,"28/11/24, Thu",ABC-8797,Desmanthus virgatus,F24 3454,3,8,2,1,44,0.5556,0.7855,,0.2299,234.85,50.53254438,278.8918112,48.99181117,17.56660081,ELIMINADOS,,
402,"28/11/24, Thu",ABC-8797,Desmanthus virgatus,F24 3454,3,8,2,2,45,0.5558,0.7841,,0.2283,236.1714286,50.84735337,278.7246433,50.42464326,18.0912038,ELIMINADOS,,
403,"28/11/24, Thu",ABC-8797,Desmanthus virgatus,F24 3454,3,8,2,3,46,0.5679,0.7916,,0.2237,240.5857143,51.81846154,278.613198,54.91319798,19.70947478,ELIMINADOS,,
404,"28/11/24, Thu",ABC-8819,Coursetia caribaea,F24 3455,3,8,2,1,47,0.5559,0.7045,,0.1486,310.7215042,67.64793317,165.4195556,16.81955564,10.16781575,ELIMINADOS,,
405,"28/11/24, Thu",ABC-8819,Coursetia caribaea,F24 3455,3,8,2,2,48,0.5629,0.7224,,0.1595,299.4544874,65.2470987,165.2873786,5.787378605,3.50140383,ELIMINADOS,,
406,"28/11/24, Thu",ABC-8819,Coursetia caribaea,F24 3455,3,8,2,3,49,0.561,0.7228,,0.1618,297.2462416,64.75300627,165.3204229,3.520422863,2.129454306,ELIMINADOS,,
407,"28/11/24, Thu",Blank,Blank,Blank,3,8,2,1,50,,,,,,,,,,ELIMINADOS,,
408,"28/11/24, Thu",Blank,Blank,Blank,3,8,2,2,51,,,,,,,,,,ELIMINADOS,,
409,"03/12/24, Tue",Blank,Blank,Blank,3,9,3,1,1,,,,,,,,,,ELIMINADOS,,
410,"03/12/24, Tue",Blank,Blank,Blank,3,9,3,2,2,,,,,,,,,,ELIMINADOS,,
411,"03/12/24, Tue",ABC-7714,Alysicarpus glumaceus,F24 3441,3,9,3,1,3,0.5324,0.698,,0.1656,299.92915,64.42757666,243.2978771,77.69787711,31.93528774,ELIMINADOS,,
412,"03/12/24, Tue",ABC-7714,Alysicarpus glumaceus,F24 3441,3,9,3,2,4,0.5599,0.7297,,0.1698,295.6361,63.51808551,243.2492467,73.44924672,30.19505619,ELIMINADOS,,
413,"03/12/24, Tue",ABC-7714,Alysicarpus glumaceus,F24 3441,3,9,3,3,5,0.5471,0.7175,,0.1704,295.0361,63.38917415,243.2492467,72.84924672,29.94839561,ELIMINADOS,,
414,"03/12/24, Tue",ABC-7757,Clitoria ternatea,F24 3442,3,9,3,1,6,0.5474,0.6813,,0.1339,326.9684,70.94615296,263.8139421,129.9139421,49.24453236,ELIMINADOS,,
415,"03/12/24, Tue",ABC-7757,Clitoria ternatea,F24 3442,3,9,3,2,7,0.554,0.7622,,0.2082,252.3921,54.79731415,263.6557802,55.45578023,21.03340203,ELIMINADOS,,
416,"03/12/24, Tue",ABC-7757,Clitoria ternatea,F24 3442,3,9,3,3,8,0.5553,0.7295,,0.1742,286.8526,62.21689239,263.9193833,89.71938329,33.99499581,ELIMINADOS,,
417,"03/12/24, Tue",ABC-7759,Clitoria ternatea,F24 3443,3,9,3,1,9,0.5499,0.7175,,0.1676,300.43065,64.19037941,284.617674,117.017674,41.11398718,ELIMINADOS,,
418,"03/12/24, Tue",ABC-7759,Clitoria ternatea,F24 3443,3,9,3,2,10,0.5313,0.6941,,0.1628,305.3242,65.22290452,284.6745634,121.8745634,42.81189086,ELIMINADOS,,
419,"03/12/24, Tue",ABC-7759,Clitoria ternatea,F24 3443,3,9,3,3,11,0.544,0.7093,,0.1653,302.54355,64.66767576,284.5038952,119.2038952,41.89886227,ELIMINADOS,,
420,"03/12/24, Tue",ABC-7790,Crotalaria pallida,F24 3444,3,9,3,1,12,0.5438,0.7275,,0.1837,277.4186,60.16209279,311.640339,127.940339,41.05384412,ELIMINADOS,,
421,"03/12/24, Tue",ABC-7790,Crotalaria pallida,F24 3444,3,9,3,2,13,0.5375,0.702,,0.1645,296.52645,64.31875004,311.5780607,147.0780607,47.20424165,ELIMINADOS,,
422,"03/12/24, Tue",ABC-7790,Crotalaria pallida,F24 3444,3,9,3,3,14,0.5328,0.7143,,0.1815,279.6186,60.63919347,311.640339,130.140339,41.7597861,ELIMINADOS,,
423,"03/12/24, Tue",ABC-7792,Chamaecrista rotundifolia,F24 3445,3,9,3,1,15,0.5153,0.6831,,0.1678,297.22885,63.91621724,297.355397,129.555397,43.56920988,ELIMINADOS,,
424,"03/12/24, Tue",ABC-7792,Chamaecrista rotundifolia,F24 3445,3,9,3,2,16,0.5438,0.6993,,0.1555,309.34295,66.54784159,297.2365262,141.7365262,47.68476069,ELIMINADOS,,
425,"03/12/24, Tue",ABC-7792,Chamaecrista rotundifolia,F24 3445,3,9,3,3,17,0.5499,0.7051,,0.1552,309.64295,66.61237951,297.2365262,142.0365262,47.78569041,ELIMINADOS,,
426,"03/12/24, Tue",ABC-7816,Indigofera spicata,F24 3446,3,9,3,1,18,0.563,0.7579,,0.1949,267.785,57.87630894,253.2890231,58.38902308,23.05233064,ELIMINADOS,,
427,"03/12/24, Tue",ABC-7816,Indigofera spicata,F24 3446,3,9,3,2,19,0.5423,0.6144,,0.0721,390.585,84.41704399,253.2890231,181.1890231,71.53449481,ELIMINADOS,,
428,"03/12/24, Tue",ABC-7816,Indigofera spicata,F24 3446,3,9,3,3,20,0.5734,0.7372,,0.1638,298.885,64.59794461,253.2890231,89.48902308,35.33079404,ELIMINADOS,,
429,"03/12/24, Tue",ABC-7858,Crotalaria incana,F24 3447,3,9,3,1,21,0.5451,0.6562,,0.1111,355.366,76.18261567,283.263256,172.163256,60.77853458,ELIMINADOS,,
430,"03/12/24, Tue",ABC-7858,Crotalaria incana,F24 3447,3,9,3,2,22,0.5513,0.6544,,0.1031,363.4592,77.90205402,283.3198521,180.2198521,63.61003324,ELIMINADOS,,
431,"03/12/24, Tue",ABC-7858,Crotalaria incana,F24 3447,3,9,3,3,23,0.5423,0.6414,,0.0991,367.2728,78.75090486,283.20666,184.10666,65.00788505,ELIMINADOS,,
432,"03/12/24, Tue",Blank,Blank,Blank,3,9,3,1,24,,,,,,#DIV/0!,,,,ELIMINADOS,,
433,"03/12/24, Tue",Blank,Blank,Blank,3,9,3,2,25,,,,,,#DIV/0!,,,,ELIMINADOS,,
434,"03/12/24, Tue",ABC-7972,Canavalia brasiliensis,F24 3448,3,9,3,1,26,0.5576,0.702,,0.1444,315.7178,68.6167325,257.9716557,113.5716557,44.02485824,ELIMINADOS,,
435,"03/12/24, Tue",ABC-7972,Canavalia brasiliensis,F24 3448,3,9,3,2,27,0.5246,0.6742,,0.1496,310.15,67.4605764,257.7654434,108.1654434,41.96274022,ELIMINADOS,,
436,"03/12/24, Tue",ABC-7972,Canavalia brasiliensis,F24 3448,3,9,3,3,28,0.5459,0.6772,,0.1313,328.6339,71.45241958,257.8685496,126.5685496,49.08258482,ELIMINADOS,,
437,"03/12/24, Tue",ABC-8205,Indigofera suffruticosa,F24 3449,3,9,3,1,29,0.5581,0.7127,,0.1546,306.9532,66.50440296,236.3530572,81.75305717,34.58938004,ELIMINADOS,,
438,"03/12/24, Tue",ABC-8205,Indigofera suffruticosa,F24 3449,3,9,3,2,30,0.5557,0.7098,,0.1541,306.9922,66.57935224,236.1169874,82.0169874,34.73574193,ELIMINADOS,,
439,"03/12/24, Tue",ABC-8205,Indigofera suffruticosa,F24 3449,3,9,3,3,31,0.545,0.7005,,0.1555,305.8688,66.29594372,236.2586293,80.75862926,34.18229824,ELIMINADOS,,
440,"03/12/24, Tue",ABC-8402,Indigofera suffruticosa,F24 3450,3,9,3,1,32,0.5779,0.7265,,0.1486,311.4,67.69565217,220.3620869,71.76208693,32.56553245,ELIMINADOS,,
441,"03/12/24, Tue",ABC-8402,Indigofera suffruticosa,F24 3450,3,9,3,2,33,0.5452,0.7038,,0.1586,301.492,65.5286334,220.4061593,61.80615934,28.04193836,ELIMINADOS,,
442,"03/12/24, Tue",ABC-8402,Indigofera suffruticosa,F24 3450,3,9,3,3,34,0.5496,0.7121,,0.1625,297.684,64.68803783,220.4502318,57.95023176,26.28721744,ELIMINADOS,,
443,"03/12/24, Tue",ABC-8408,Chamaecrista nictitans,F24 3451,3,9,3,1,35,0.554,0.7795,,0.2255,245.22025,52.09468894,275.9987596,50.49875958,18.29673425,ELIMINADOS,,
444,"03/12/24, Tue",ABC-8408,Chamaecrista nictitans,F24 3451,3,9,3,2,36,0.5742,0.8396,,0.2654,205.2262,43.6070495,275.943615,10.54361497,3.820930943,ELIMINADOS,,
445,"03/12/24, Tue",ABC-8408,Chamaecrista nictitans,F24 3451,3,9,3,3,37,0.5579,0.7889,,0.231,239.53215,50.90664899,275.8884704,44.88847036,16.27051334,ELIMINADOS,,
446,"03/12/24, Tue",ABC-8409,Chamaecrista nictitans,F24 3452,3,9,3,1,38,0.5335,0.7452,,0.2117,248.05,53.95323545,284.3422183,72.64221832,25.54746135,ELIMINADOS,,
447,"03/12/24, Tue",ABC-8409,Chamaecrista nictitans,F24 3452,3,9,3,2,39,0.5434,0.764,,0.2206,239.24195,52.02699536,284.3990868,63.79908677,22.43294361,ELIMINADOS,,
448,"03/12/24, Tue",ABC-8409,Chamaecrista nictitans,F24 3452,3,9,3,3,40,0.5605,0.7886,,0.2281,232.0178,50.4257388,284.5696921,56.4696921,19.84388839,ELIMINADOS,,
449,"03/12/24, Tue",ABC-8719,Canavalia sp. ,F24 3453,3,9,3,1,41,0.5541,0.612,,0.0579,409.6164835,87.61540993,187.9192849,130.0192849,69.18889936,ELIMINADOS,,
450,"03/12/24, Tue",ABC-8719,Canavalia sp. ,F24 3453,3,9,3,2,42,0.5241,0.6724,,0.1483,319.4034901,68.29187656,187.9944527,39.69445266,21.1146936,ELIMINADOS,,
451,"03/12/24, Tue",ABC-8719,Canavalia sp. ,F24 3453,3,9,3,3,43,0.5497,0.6985,,0.1488,319.184,68.20404116,188.1072042,39.30720423,20.89617162,ELIMINADOS,,
452,"03/12/24, Tue",ABC-8797,Desmanthus virgatus,F24 3454,3,9,3,1,44,0.5712,0.8043,,0.2331,231.3714286,49.81392059,278.7246433,45.62464326,16.36907405,ELIMINADOS,,
453,"03/12/24, Tue",ABC-8797,Desmanthus virgatus,F24 3454,3,9,3,2,45,0.5378,0.773,,0.2352,229.0857143,49.34153846,278.613198,43.41319798,15.58188854,ELIMINADOS,,
454,"03/12/24, Tue",ABC-8797,Desmanthus virgatus,F24 3454,3,9,3,3,46,0.5327,0.7775,,0.2448,219.5785714,47.28438928,278.6689206,33.86892062,12.15382058,ELIMINADOS,,
455,"03/12/24, Tue",ABC-8819,Coursetia caribaea,F24 3455,3,9,3,1,47,0.5447,0.6934,,0.1487,310.3462416,67.60674927,165.3204229,16.62042286,10.05346017,ELIMINADOS,,
456,"03/12/24, Tue",ABC-8819,Coursetia caribaea,F24 3455,3,9,3,2,48,0.5395,0.6875,,0.148,311.0462416,67.75923936,165.3204229,17.32042286,10.47688033,ELIMINADOS,,
457,"03/12/24, Tue",ABC-8819,Coursetia caribaea,F24 3455,3,9,3,3,49,0.5614,0.7146,,0.1532,306.02975,66.63979196,165.3865114,12.18651138,7.368503802,ELIMINADOS,,
458,"03/12/24, Tue",Blank,Blank,Blank,3,9,3,1,50,,,,,,,,,,ELIMINADOS,,
459,"03/12/24, Tue",Blank,Blank,Blank,3,9,3,2,51,,,,,,,,,,ELIMINADOS,,
460,"04/12/24, Wed",Blank,Blank,Blank,4,10,1,1,52,,,,,,,,,,ELIMINADOS,,
461,"04/12/24, Wed",Blank,Blank,Blank,4,10,1,2,53,,,,,,,,,,,,
462,"04/12/24, Wed",ABC-BR02_1752,Brachiaria interespecifico,F24 3582,4,10,1,1,1,0.5477,0.7069,,0.1592,321.1190154,66.85536177,266.1536942,106.9536942,40.18493694,,,
463,"04/12/24, Wed",ABC-BR02_1752,Brachiaria interespecifico,F24 3582,4,10,1,2,2,0.5513,0.7178,,0.1665,314.0110662,65.34939324,266.2601131,99.76011308,37.46716394,,,
464,"04/12/24, Wed",ABC-BR02_1752,Brachiaria interespecifico,F24 3582,4,10,1,3,3,0.5762,0.7402,,0.164,316.6070916,65.87649186,266.3133225,102.3133225,38.41840189,,,
465,"04/12/24, Wed",ABC-BR02_1794,Brachiaria interespecifico,F24 3583,4,10,1,1,57,0.5682,0.7477,,0.1795,306.113938,63.03648105,270.7868469,91.28684687,33.71169905,,,
466,"04/12/24, Wed",ABC-BR02_1794,Brachiaria interespecifico,F24 3583,4,10,1,2,58,0.5661,0.7349,,0.1688,316.9109832,65.24682253,270.840961,102.040961,37.67560143,,,
467,"04/12/24, Wed",ABC-BR02_1794,Brachiaria interespecifico,F24 3583,4,10,1,3,59,0.5326,0.7113,,0.1787,306.6228026,63.17914612,270.6245046,91.92450464,33.96754657,,,
468,"04/12/24, Wed",ABC-BR06_0423,Brachiaria interespecifico,F24 3584,4,10,1,1,60,0.5398,0.6996,,0.1598,324.3193914,66.99161346,277.7120322,117.9120322,42.45838081,,,
469,"04/12/24, Wed",ABC-BR06_0423,Brachiaria interespecifico,F24 3584,4,10,1,2,61,0.5431,0.7165,,0.1734,311.0096888,64.20385389,277.8785595,104.4785595,37.59864009,,,
470,"04/12/24, Wed",ABC-BR06_0423,Brachiaria interespecifico,F24 3584,4,10,1,3,62,0.547,0.7476,,0.2006,283.712923,58.58049817,277.8230504,77.22305036,27.79576794,,,
471,"04/12/24, Wed",ABC-BR09_1232,Brachiaria interespecifico,F24 3585,4,10,1,1,63,0.5252,0.7013,,0.1761,310.5653254,63.81496877,270.8668054,94.76680539,34.9864965,,,
472,"04/12/24, Wed",ABC-BR09_1232,Brachiaria interespecifico,F24 3585,4,10,1,2,64,0.5598,,,,486.3736179,100,,,,,,
473,"04/12/24, Wed",ABC-BR09_1232,Brachiaria interespecifico,F24 3585,4,10,1,3,65,0.5513,0.7104,,0.1591,327.5653254,67.30812908,270.8668054,111.7668054,41.26264391,,,
474,"04/12/24, Wed",ABC-BR12_4951,Brachiaria interespecifico,F24 3586,4,10,1,1,66,0.5352,0.6912,,0.156,323.2078456,67.44627588,272.4973773,116.4973773,42.75174259,,,
475,"04/12/24, Wed",ABC-BR12_4951,Brachiaria interespecifico,F24 3586,4,10,1,2,67,0.5453,0.7061,,0.1608,318.0248623,66.4177839,272.2795972,111.4795972,40.9430594,,,
476,"04/12/24, Wed",ABC-BR12_4951,Brachiaria interespecifico,F24 3586,4,10,1,3,68,0.5358,0.7051,,0.1693,309.8120998,64.66380205,272.4429323,103.1429323,37.8585458,,,
477,"04/12/24, Wed",ABC-BR15_0722,Brachiaria interespecifico,F24 3587,4,10,1,1,69,0.5536,0.739,,0.1854,291.153542,61.09566215,286.9460142,101.5460142,35.38854321,,,
478,"04/12/24, Wed",ABC-BR15_0722,Brachiaria interespecifico,F24 3587,4,10,1,2,70,0.5463,0.7277,,0.1814,294.963111,61.91980533,286.8313505,105.4313505,36.75726183,,,
479,"04/12/24, Wed",ABC-BR15_0722,Brachiaria interespecifico,F24 3587,4,10,1,3,71,0.5587,0.7387,,0.18,296.0774645,62.191027,286.6593549,106.6593549,37.20770073,,,
480,"04/12/24, Wed",ABC-BR15_6487,Brachiaria interespecifico,F24 3588,4,10,1,1,72,0.5507,0.7397,,0.189,286.73028,60.271606,284.1302367,95.13023671,33.48120841,,,
481,"04/12/24, Wed",ABC-BR15_6487,Brachiaria interespecifico,F24 3588,4,10,1,2,73,0.556,0.7329,,0.1769,298.54507,62.79275753,283.9598948,107.0598948,37.70247024,,,
482,"04/12/24, Wed",ABC-BR15_6487,Brachiaria interespecifico,F24 3588,4,10,1,3,74,0.5524,0.7539,,0.2015,273.85,57.61018197,283.9031142,82.40311422,29.02508289,,,
483,"04/12/24, Wed",Blank,Blank,Blank,4,10,1,1,75,,,,,,#DIV/0!,,,,,,
484,"04/12/24, Wed",Blank,Blank,Blank,4,10,1,2,76,,,,,,#DIV/0!,,,,,,
485,"04/12/24, Wed",ABC-BR19_0029,Brachiaria interespecifico,F24 3589,4,10,1,1,77,0.5651,0.7397,,0.1746,305.7519546,63.65165202,280.5739632,105.9739632,37.77041959,,,
486,"04/12/24, Wed",ABC-BR19_0029,Brachiaria interespecifico,F24 3589,4,10,1,2,78,0.5459,0.7285,,0.1826,297.9440954,62.00140596,280.6861927,98.08619274,34.94514347,,,
487,"04/12/24, Wed",ABC-BR19_0029,Brachiaria interespecifico,F24 3589,4,10,1,3,79,0.5628,0.7409,,0.1781,302.5401658,62.94525246,280.7423075,102.6423075,36.56104006,,,
488,"04/12/24, Wed",ABC-BR19_0423,Brachiaria interespecifico,F24 3590,4,10,1,1,80,0.563,0.7323,,0.1693,307.6179354,64.50123021,282.4501138,113.1501138,40.0602118,,,
489,"04/12/24, Wed",ABC-BR19_0423,Brachiaria interespecifico,F24 3590,4,10,1,2,81,0.5688,0.7192,,0.1504,326.3272446,68.45156183,282.337179,131.937179,46.73035958,,,
490,"04/12/24, Wed",ABC-BR19_0423,Brachiaria interespecifico,F24 3590,4,10,1,3,82,0.559,0.7037,,0.1447,332.3132809,69.66541482,282.5065813,137.8065813,48.77995431,,,
491,"04/12/24, Wed",ABC-CIAT_6962,Megathyrsus maximus,F24 3591,4,10,1,1,83,0.5488,0.7622,,0.2134,265.515491,55.44099032,323.8655617,110.4655617,34.10846189,,,
492,"04/12/24, Wed",ABC-CIAT_6962,Megathyrsus maximus,F24 3591,4,10,1,2,84,0.5693,0.7883,,0.219,260.0112167,54.28082008,323.9302959,104.9302959,32.39286268,,,
493,"04/12/24, Wed",ABC-CIAT_6962,Megathyrsus maximus,F24 3591,4,10,1,3,85,0.5603,0.7756,,0.2153,263.4240397,55.02628192,323.7360931,108.4360931,33.49521275,,,
494,"04/12/24, Wed",ABC-Mulato_II,Brachiaria interespecifico,F24 3592,4,10,1,1,86,0.5484,0.7157,,0.1673,316.2941639,65.40487614,287.3510754,120.0510754,41.77853701,,,
495,"04/12/24, Wed",ABC-Mulato_II,Brachiaria interespecifico,F24 3592,4,10,1,2,87,0.5479,0.7186,,0.1707,312.8941639,64.70180727,287.3510754,116.6510754,40.59531541,,,
496,"04/12/24, Wed",ABC-Mulato_II,Brachiaria interespecifico,F24 3592,4,10,1,3,88,0.5443,0.6772,,0.1329,350.8874856,72.52926048,287.4659469,154.5659469,53.76843712,,,
497,"04/12/24, Wed",ABC-PM21_0215,Megathyrsus maximus,F24 3593,4,10,1,1,89,0.5372,0.744,,0.2068,273.8540552,56.97529278,313.5697869,106.7697869,34.04976861,,,
498,"04/12/24, Wed",ABC-PM21_0215,Megathyrsus maximus,F24 3593,4,10,1,2,90,0.5545,0.782,,0.2275,252.962024,52.64974365,313.4445093,85.94450928,27.41936985,,,
499,"04/12/24, Wed",ABC-PM21_0215,Megathyrsus maximus,F24 3593,4,10,1,3,91,0.5406,0.7472,,0.2066,273.7660084,56.99112835,313.3818705,106.7818705,34.0740421,,,
500,"04/12/24, Wed",ABC-PM21_0631,Megathyrsus maximus,F24 3594,4,10,1,1,92,0.5429,0.7758,,0.2329,251.271763,51.8972361,304.3603972,71.46039718,23.47887499,,,
501,"04/12/24, Wed",ABC-PM21_0631,Megathyrsus maximus,F24 3594,4,10,1,2,93,0.5592,0.7743,,0.2151,269.1685586,55.58249732,304.4212449,89.32124492,29.34133094,,,
502,"04/12/24, Wed",ABC-PM21_0631,Megathyrsus maximus,F24 3594,4,10,1,3,94,0.541,0.746,,0.205,279.4621499,57.68503276,304.5429404,99.5429404,32.68601146,,,
503,"04/12/24, Wed",ABC-PM21_2195,Megathyrsus maximus,F24 3595,4,10,1,1,95,0.5497,0.796,,0.2463,238.0829171,49.15179886,329.6280639,83.32806395,25.27942037,,,
504,"04/12/24, Wed",ABC-PM21_2195,Megathyrsus maximus,F24 3595,4,10,1,2,96,0.5393,0.7634,,0.2241,260.2829171,53.73494975,329.6280639,105.5280639,32.01428382,,,
505,"04/12/24, Wed",ABC-PM21_2195,Megathyrsus maximus,F24 3595,4,10,1,3,97,0.5535,0.7979,,0.2444,239.9829171,49.54405051,329.6280639,85.22806395,25.8558276,,,
506,"04/12/24, Wed",ABC-PM21_3522,Megathyrsus maximus,F24 3596,4,10,1,1,98,0.5273,0.7259,,0.1986,283.5732077,58.81148168,312.0392618,113.4392618,36.35416298,,,
507,"04/12/24, Wed",ABC-PM21_3522,Megathyrsus maximus,F24 3596,4,10,1,2,99,0.5405,0.7413,,0.2008,281.8552845,58.39680897,312.3512387,111.5512387,35.71339725,,,
508,"04/12/24, Wed",ABC-PM21_3522,Megathyrsus maximus,F24 3596,4,10,1,3,100,0.531,0.7466,,0.2156,266.7660384,55.30365265,312.1640526,96.56405256,30.93375159,,,
509,"04/12/24, Wed",Blank,Blank,Blank,4,10,1,1,101,,,,,,,,,,,,
510,"04/12/24, Wed",Blank,Blank,Blank,4,10,1,2,102,,,,,,,,,,,,
511,"04/12/24, Wed",FAO,FAO,FAO,4,10,1,1,103,0.5658,0.6264,,0.0606,-60.6,,,,,,,
512,"04/12/24, Wed",FAO,FAO,FAO,4,10,1,2,104,0.5507,0.6179,,0.0672,-67.2,,,,,,,
513,"04/12/24, Wed",FAO,FAO,FAO,4,10,1,3,105,0.5514,0.6247,,0.0733,-73.3,,,,,,,
514,"09/12/24, Mon",Blank,Blank,Blank,4,11,2,1,52,,,,,,,,,,,,
515,"09/12/24, Mon",Blank,Blank,Blank,4,11,2,2,53,,,,,,,,,,,,
516,"09/12/24, Mon",ABC-BR02_1752,Brachiaria interespecifico,F24 3582,4,11,2,1,1,0.5376,0.6797,,0.1421,338.3150408,70.421409,266.2069036,124.1069036,46.62046774,,,
517,"09/12/24, Mon",ABC-BR02_1752,Brachiaria interespecifico,F24 3582,4,11,2,2,2,0.5393,0.6934,,0.1541,326.4110662,67.92997896,266.2601131,112.1601131,42.12426405,,,
518,"09/12/24, Mon",ABC-BR02_1752,Brachiaria interespecifico,F24 3582,4,11,2,3,3,0.5679,0.7245,,0.1566,324.103117,67.42272008,266.366532,109.766532,41.20883024,,,
519,"09/12/24, Mon",ABC-BR02_1794,Brachiaria interespecifico,F24 3583,4,11,2,1,57,0.5905,0.7598,,0.1693,316.5080283,65.15084352,270.895075,101.595075,37.50347806,,,
520,"09/12/24, Mon",ABC-BR02_1794,Brachiaria interespecifico,F24 3583,4,11,2,2,58,0.5743,0.7544,,0.1801,305.2228026,62.89067832,270.6245046,90.52450464,33.45022461,,,
