32_no,32_date,32_gene_bank_id,32_name,32_ciat_id,32_set_ciat,32_batch,32_run,32_replication,32_syrange_no,32_bag_weight_g,32_digested_weight_g,32_remarks,32_undigested_dm_g,32_digested_feed_mg,32_dmd_truly_digestibility,32_ndf_incubated_mg,32_ndf_digestibility_mg,32_ndf_digestibility_in_24h,32_remarks_2,,
No,Date,Gene Bank ID,Name,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Bag weight, g","Digested weight, g",Remarks,"Undigested DM, g","Digested feed, mg","% DMD, Truly digestibility","NDF incubated, mg","NDF digestibility, mg",% NDF digestibility in 24 h,Remarks,,
35,45630,,Albizzia saman,F24 1047,1,1,1,1,35,0.5484,0.7157,,0.1673,310.8478148,65.01081991,276.0679032,108.7679032,39.39896742,,,
36,45630,,Albizzia saman,F24 1047,1,1,1,2,36,0.5479,0.7186,,0.1707,307.3522234,64.29260411,276.0127117,105.3127117,38.15502231,,,
37,45630,,Albizzia saman,F24 1047,1,1,1,3,37,0.5443,0.6772,,0.1329,345.1522234,72.19969002,276.0127117,143.1127117,51.85004373,,,
38,45630,,Gliricidia sepium,F24 1070,1,1,1,1,38,0.5372,0.744,,0.2068,269.1115678,56.54654898,275.5575153,68.75751527,24.95214663,,,
39,45630,,Gliricidia sepium,F24 1070,1,1,1,2,39,0.5545,0.782,,0.2275,248.5066741,52.20655247,275.6125827,48.11258272,17.45659877,,,
40,45630,,Gliricidia sepium,F24 1070,1,1,1,3,40,0.5406,0.7472,,0.2066,269.0262491,56.56253195,275.3923129,68.79231293,24.97975059,,,
41,45630,,Leucaena diversifolia,F24 1075,1,1,1,1,41,0.5429,0.7758,,0.2329,245.6890555,51.33612076,278.170635,45.27063501,16.27441193,,,
42,45630,,Leucaena diversifolia,F24 1075,1,1,1,2,42,0.5592,0.7743,,0.2151,263.1065667,55.01943826,277.9483208,62.84832082,22.61151305,,,
43,45630,,Leucaena diversifolia,F24 1075,1,1,1,3,43,0.541,0.746,,0.205,273.4934333,57.15719679,278.1150565,73.11505647,26.28949953,,,
44,45630,,Brachiaria decumbens,F24 1084,1,1,1,1,44,0.5497,0.796,,0.2463,230.5405966,48.3475187,278.6726451,32.37264511,11.61672869,,,
45,45630,,Brachiaria decumbens,F24 1084,1,1,1,2,45,0.5393,0.7634,,0.2241,252.8359076,53.01255442,278.7283462,54.62834621,19.59913549,,,
46,45630,,Brachiaria decumbens,F24 1084,1,1,1,3,46,0.5535,0.7979,,0.2444,232.7265294,48.77669027,278.8397484,34.43974843,12.35109005,,,
47,45630,,Setaria sphacelata,F24 1095,1,1,1,1,47,0.5273,0.7259,,0.1986,278.9304754,58.41103128,277.6619199,79.06191991,28.47416741,,,
48,45630,,Setaria sphacelata,F24 1095,1,1,1,2,48,0.5405,0.7413,,0.2008,276.6350647,57.94192449,277.606443,76.806443,27.66738487,,,
49,45630,,Setaria sphacelata,F24 1095,1,1,1,3,49,0.531,0.7466,,0.2156,261.8350647,54.8420265,277.606443,62.006443,22.3360965,,,
50,45630,Blank,Blank,Blank,1,1,1,1,50,,,,,,,,,,,,
51,45630,Blank,Blank,Blank,1,1,1,2,51,,,,,,,,,,,,
52,45630,Blank,Blank,Blank,1,2,2,1,1,,,,,,,,,,,,
53,45630,Blank,Blank,Blank,1,2,2,2,2,,,,,,,,,,,,
54,45630,ABC-705-1,Indigofera suffruticosa,F24 3416,1,2,2,1,3,0.5658,0.6264,,0.0606,399.7118693,86.83501251,208.1655661,147.5655661,70.88855706,,,
55,45635,ABC-705-1,Indigofera suffruticosa,F24 3416,1,2,2,2,4,0.5507,0.6179,,0.0672,393.1118693,85.40120199,208.1655661,140.9655661,67.71800387,,,
56,45635,ABC-705-1,Indigofera suffruticosa,F24 3416,1,2,2,3,5,0.5514,0.6247,,0.0733,386.8279285,84.06964771,208.0823831,134.7823831,64.7735676,,,
57,45635,ABC-707-1,Alysicarpus ovalifolius,F24 3417,1,2,2,1,6,0.5376,0.6797,,0.1421,308.4523393,68.46093392,243.7860561,101.6860561,41.71118633,,,
58,45635,ABC-707-1,Alysicarpus ovalifolius,F24 3417,1,2,2,2,7,0.5393,0.6934,,0.1541,296.8127091,65.824871,243.981046,89.88104598,36.83935595,,,
59,45635,ABC-707-1,Alysicarpus ovalifolius,F24 3417,1,2,2,3,8,0.5679,0.7245,,0.1566,293.8622468,65.23571041,243.7373087,87.13730867,35.75050088,,,
60,45635,ABC-712-1,Clitoria ternatea,F24 3418,1,2,2,1,9,0.5905,0.7598,,0.1693,287.4869285,62.93676779,250.6796704,81.3796704,32.46360994,,,
61,45635,ABC-712-1,Clitoria ternatea,F24 3418,1,2,2,2,10,0.5743,0.7544,,0.1801,276.5043233,60.55665905,250.5794587,70.47945866,28.12659068,,,
62,45635,ABC-712-1,Clitoria ternatea,F24 3418,1,2,2,3,11,0.5697,0.7516,,0.1819,274.7043233,60.16244465,250.5794587,68.67945866,27.40825566,,,
63,45635,ABC-749-1,Crotalaria juncea,F24 3419,1,2,2,1,12,0.547,0.7268,,0.1798,279.479602,60.85173406,234.2262751,54.42627508,23.23662239,,,
64,45635,ABC-749-1,Crotalaria juncea,F24 3419,1,2,2,2,13,0.5815,0.7633,,0.1818,277.0208729,60.37669367,233.9923295,52.19232954,22.30514549,,,
65,45635,ABC-749-1,Crotalaria juncea,F24 3419,1,2,2,3,14,0.5606,0.7235,,0.1629,296.0126187,64.50304626,234.0391186,71.13911864,30.3962513,,,
66,45635,ABC-768-1,Clitoria ternatea,F24 3420,1,2,2,1,15,0.5554,0.7093,,0.1539,307.1132158,66.61700907,249.9093297,96.00932969,38.41766524,,,
67,45635,ABC-768-1,Clitoria ternatea,F24 3420,1,2,2,2,16,0.5562,0.7121,,0.1559,305.1132158,66.18318203,249.9093297,94.00932969,37.61737499,,,
68,45635,ABC-768-1,Clitoria ternatea,F24 3420,1,2,2,3,17,0.5642,0.7414,,0.1772,284.1818789,61.59363683,250.1091772,72.90917722,29.15094041,,,
69,45635,ABC-772-1,Clitoria ternatea,F24 3421,1,2,2,1,18,0.5498,0.7205,,0.1707,287.0037146,62.70513117,308.5757632,137.8757632,44.68133264,,,
70,45635,ABC-772-1,Clitoria ternatea,F24 3421,1,2,2,2,19,0.5537,0.7184,,0.1647,292.9122288,64.00882895,308.514085,143.814085,46.61507918,,,
71,45635,ABC-772-1,Clitoria ternatea,F24 3421,1,2,2,3,20,0.573,0.7387,,0.1657,292.0952005,63.80477562,308.6374413,142.9374413,46.31241132,,,
72,45635,ABC-819-1,Indigofera suffruticosa,F24 3422,1,2,2,1,21,0.5693,0.7623,,0.193,261.047265,57.49341206,240.8742056,47.8742056,19.87518982,,,
73,45635,ABC-819-1,Indigofera suffruticosa,F24 3422,1,2,2,2,22,0.5621,0.7662,,0.2041,249.765755,55.03075574,240.7779137,36.67791369,15.23308892,,,
74,45635,ABC-819-1,Indigofera suffruticosa,F24 3422,1,2,2,3,23,0.5994,0.7907,,0.1913,262.747265,57.86782242,240.8742056,49.5742056,20.5809524,,,
75,45635,Blank,Blank,Blank,1,2,2,1,24,,,,,,,,,,,,
76,45635,Blank,Blank,Blank,1,2,2,2,25,,,,,,,,,,,,
77,45635,ABC-905-1,Canavalia brasiliensis,F24 3423,1,2,2,1,26,0.5611,0.7492,,0.1881,271.7634482,59.0965534,168.1321122,-19.96788782,-11.8763082,,,
78,45635,ABC-905-1,Canavalia brasiliensis,F24 3423,1,2,2,2,27,0.5705,0.7607,,0.1902,269.755329,58.6481582,168.165705,-22.03429499,-13.10272805,,,
79,45635,ABC-905-1,Canavalia brasiliensis,F24 3423,1,2,2,3,28,0.5875,0.7545,,0.167,292.495925,63.65582567,167.9977409,0.997740859,0.593901355,,,
80,45635,ABC-913-1,Cajanus cajan,F24 3424,1,2,2,1,29,0.5743,0.7591,,0.1848,289.3382112,61.02402303,288.5683665,103.7683665,35.95971651,,,
81,45635,ABC-913-1,Cajanus cajan,F24 3424,1,2,2,2,30,0.5805,0.7472,,0.1667,307.2486696,64.82741472,288.4530084,121.7530084,42.20895774,,,
82,45635,ABC-913-1,Cajanus cajan,F24 3424,1,2,2,3,31,0.553,0.7207,,0.1677,306.3434404,64.62349529,288.5106875,120.8106875,41.87390371,,,
83,45635,ABC-955-1,Clitoria ternatea,F24 3425,1,2,2,1,32,0.5629,0.7306,,0.1677,291.8361268,63.50667767,283.410232,115.710232,40.82782445,,,
84,45635,ABC-955-1,Clitoria ternatea,F24 3425,1,2,2,2,33,0.5581,0.7287,,0.1706,288.8443114,62.86818756,283.3536066,112.7536066,39.7925433,,,
85,45635,ABC-955-1,Clitoria ternatea,F24 3425,1,2,2,3,34,0.5651,0.7762,,0.2111,248.1606806,54.03481968,283.2403557,72.14035575,25.46966005,,,
86,45635,,Albizzia saman,F24 1047,1,2,2,1,35,0.5603,0.7765,,0.2162,453.7040156,67.7267198,386.7820604,170.5820604,44.10288838,,,
87,45635,,Albizzia saman,F24 1047,1,2,2,2,36,0.5631,0.7867,,0.2236,362.5660136,61.85381022,338.4343028,114.8343028,33.93104714,,,
88,45635,,Albizzia saman,F24 1047,1,2,2,3,37,0.5349,0.7601,,0.2252,593.6353022,72.49752186,472.7704237,247.5704237,52.36588654,,,
89,45635,,Gliricidia sepium,F24 1070,1,2,2,1,38,0.5685,0.7306,,0.1621,577.9215646,78.09523293,428.4798214,266.3798214,62.1685802,,,
90,45635,,Gliricidia sepium,F24 1070,1,2,2,2,39,0.5657,0.7438,,0.1781,561.1607148,75.90836407,428.0392818,249.9392818,58.39166928,,,
91,45635,,Gliricidia sepium,F24 1070,1,2,2,3,40,0.5602,0.7394,,0.1792,579.5574916,76.38244077,439.3281089,260.1281089,59.21044059,,,
92,45635,,Leucaena diversifolia,F24 1075,1,2,2,1,41,0.5873,0.8165,,0.2292,592.9595802,72.12220042,477.8643596,248.6643596,52.0365988,,,
93,45635,,Leucaena diversifolia,F24 1075,1,2,2,2,42,0.5614,0.7765,,0.2151,565.6551724,72.44975024,453.7988481,238.6988481,52.60014412,,,
94,45635,,Leucaena diversifolia,F24 1075,1,2,2,3,43,0.5662,0.7952,,0.229,566.1941229,71.20200044,462.1912089,233.1912089,50.45340639,,,
95,45635,,Brachiaria decumbens,F24 1084,1,2,2,1,44,0.5414,0.7618,,0.2204,515.2097791,70.03846248,429.9011543,209.5011543,48.73240097,,,
