41_no,41_requisitioner,41_set_ciat,41_ciat_lab_id,41_gene_bank_breeding_program_id,41_genus,41_species,41_tax_name,41_family,41_order,41_functional_group,41_ch4_percentage_in_gas_8h,41_ch4_percentage_in_gas_24h,41_percentage_dmd_truly_digestibility_24h,41_ch4_ml_g_percentage_truly_dmd_24h,41_part_fact,41_date_of_report
No,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,"CH4 % in gas, h8","CH4 % in gas, 24h","% DMD, Truly digestibility 24h","CH4 ml/g % Truly DMD, 24h",Part Fact,Date of report
54,LMF,8,F25 0908,CIAT ABC 22192 1,Leucaena ,diversifolia,Leucaena diversifolia,Fabaceae,Fabales,Tree,0.374165739,0.301961527,0.913729229,1.203499092,0.252884854,Piloto
55,LMF,8,F25 0017,Hohenheimer Heustandard,,,Hohenheimer Heustandard,,,,0.740870359,0.411975593,0.469656375,2.906806425,0.181311652,
56,LMF,8,F25 0018,Homenheim Concentrate,,,Homenheim Concentrate,,,,0.094280904,0.080458719,4.253114816,4.141322055,0.155013085,
57,LMF,8,F25 0019,Sample 8,,,Cynodon nlemfuensis ,,,,0.21602469,0.060069737,1.741621731,2.576632683,0.155468528,
58,Breeding,9,F25 0990,ABC-PM21_0053,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,0.751295178,0.108996312,5.394792714,5.426082584,0.370637735,
59,Breeding,9,F25 0991,ABC-PM21_3550,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,0.77427784,0.281069725,4.10460646,4.451068503,0.287028281,
60,Breeding,9,F25 0992,ABC-PM21_3595,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,0.607565472,0.141015965,3.208149626,3.102143252,0.179218282,
61,Breeding,9,F25 0993,ABC-PM21_0086,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,0.852157755,0.203560281,2.885886149,2.641719939,0.166856297,
62,Breeding,9,F25 0994,ABC-CIAT_16048,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,0.576492628,0.179643589,2.785349529,1.878046096,0.126863033,
63,Breeding,9,F25 0995,ABC-PM21_0185,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,0.776029782,0.159897289,4.010109333,5.955080018,0.37985238,
64,Breeding,9,F25 0996,ABC-PM21_0215,Megathyrsus ,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,0.704132423,0.194170637,3.410448839,3.322401228,0.240574522,
