41_no,41_requisitioner,41_set_ciat,41_ciat_lab_id,41_gene_bank_breeding_program_id,41_genus,41_species,41_tax_name,41_family,41_order,41_functional_group,41_ch4_percentage_in_gas_8h,41_ch4_percentage_in_gas_24h,41_percentage_dmd_truly_digestibility_24h,41_ch4_ml_g_percentage_truly_dmd_24h,41_part_fact,41_date_of_report
No,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,"CH4 % in gas, h8","CH4 % in gas, 24h","% DMD, Truly digestibility 24h","CH4 ml/g % Truly DMD, 24h",Part Fact,Date of report
8,Genetic bank,5,F24 3433,ABC-5234-1,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,0.493552176,0.463659134,3.994135679,2.490413129,0.198579312,
9,Genetic bank,5,F24 3434,ABC-7292-1,Chamaecrista,desvauxii,Chamaecrista desvauxii,Fabaceae,Fabales,Legume,0.812555791,0.58908432,3.325611158,3.638848858,0.533227639,
10,Genetic bank,5,F24 3435,ABC-7317-1,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,0.676227736,0.403877579,4.272548042,3.367451013,0.657908056,
11,Genetic bank,5,F24 3436,ABC-7322-1,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,0.608174764,0.395695322,3.308439664,2.949190489,0.396441572,
12,Genetic bank,5,F24 3437,ABC-7339-1,Indigofera,lespedezioides,Indigofera lespedezioides,Fabaceae,Fabales,Legume,1.269392778,0.649728826,9.706240956,8.173250001,1.116198697,
13,Genetic bank,5,F24 3438,ABC-7469-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,1.820866704,1.136537949,8.813535049,7.697932383,0.532894207,
14,Genetic bank,5,F24 3439,ABC-7643-1,Desmanthus,pernambucanus,Desmanthus pernambucanus,Fabaceae,Fabales,Browse,1.220314167,0.545347981,3.644501467,2.726614747,0.204125902,
15,Genetic bank,5,F24 3440,ABC-7703-1,Aeschynomene,indica,Aeschynomene indica,Fabaceae,Fabales,Legume,0.496903995,0.435795021,9.280433712,5.355272969,0.45161228,
16,LMF,5,F25 0017,Hohenheimer Heustandard,,,Hohenheimer Heustandard,,,,0.735014907,0.671249857,8.533356342,11.77949499,0.85983186,
17,LMF,5,F25 0018,Homenheim Concentrate,,,Homenheim Concentrate,,,,0.367423461,0.353776116,7.751020002,7.05335556,0.433835966,
18,LMF,5,F25 0019,Sample 8,,,Cynodon nlemfuensis ,,,,0.56786366,0.426184405,8.50683319,7.933483644,0.740399589,
1,Genetic bank,6,F24 3441,ABC-7714-1,Alysicarpus,glumaceus,Alysicarpus glumaceus,Fabaceae,Fabales,Herbaceous,0.219215774,0.503239345,8.838092907,7.020941168,0.711817488,Reproceso
2,Genetic bank,6,F24 3442,ABC-7757-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,0.536708073,0.349553231,2.616492801,3.840205649,0.236687641,Reproceso
3,Genetic bank,6,F24 3443,ABC-7759-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,0.230940108,0.2588458,4.210308674,3.739205343,0.232730967,Reproceso
4,Genetic bank,6,F24 3444,ABC-7790-1,Crotalaria,pallida,Crotalaria pallida,Fabaceae,Fabales,Herbaceous,1.061052936,1.215238571,7.612069587,7.493715623,0.571417536,Reproceso
5,Genetic bank,6,F24 3445,ABC-7792-1,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Fabaceae,Fabales,Herbaceous,0.314466038,0.414503461,6.371593108,3.783732683,0.275177364,Reproceso
6,Genetic bank,6,F24 3446,ABC-7816-1,Indigofera,spicata,Indigofera spicata,Fabaceae,Fabales,Herbaceous,0.281365717,0.224596579,4.372728807,3.79129806,0.481574324,Reproceso
7,Genetic bank,6,F24 3447,ABC-7858-1,Crotalaria,incana,Crotalaria incana,Fabaceaee,Fabales,Herbaceous,0.338706691,0.151046789,6.079676056,4.751555256,0.393229186,Reproceso
8,Genetic bank,6,F24 3448,ABC-7972-1,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,0.986013297,0.733963155,9.023803314,4.431714886,0.328547517,Reproceso
9,Genetic bank,6,F24 3449,ABC-8205-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,0.516397779,0.449998998,4.234136413,3.519004706,0.448397263,Reproceso
10,Genetic bank,6,F24 3450,ABC-8402-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,0.412795349,0.278853306,2.700208809,1.176973849,0.117543421,Reproceso
11,Genetic bank,6,F24 3451,ABC-8408-1,Chamaecrista,nictitans,Chamaecrista nictitans,Fabaceae,Fabales,Herbaceous,0.29107082,0.601134524,1.675031205,5.63614198,0.268229138,Reproceso
12,Genetic bank,6,F24 3452,ABC-8409-1,Chamaecrista,nictitans,Chamaecrista nictitans,Fabaceae,Fabales,Herbaceous,0.292574777,0.779847261,5.619961164,4.150590426,0.327420148,Reproceso
13,Genetic bank,6,F24 3453,ABC-8719-1,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,0.267186992,1.839612075,5.248458815,6.441508926,0.246785009,Reproceso
14,Genetic bank,6,F24 3454,ABC-8797-1,Desmanthus,virgatus,Desmanthus virgatus,Fabaceae,Fabales,Shrub,0.687184271,0.305440859,1.74915347,2.22492512,0.149398232,Reproceso
15,Genetic bank,6,F24 3455,ABC-8819-1,Coursetia,caribaea,Coursetia caribaea,Fabaceae,Fabales,Herbaceous,0.386781592,0.269677553,4.367027979,2.908212967,0.210055418,Reproceso
1,Genetic bank,6,F24 3456,ABC-9170-1,Indigofera,lespedezioides,Indigofera lespedezioides,Fabaceae,Fabales,Herbaceous,0.247767812,0.188068592,4.950829717,5.334149841,0.560805068,
2,Genetic bank,6,F24 3457,ABC-9254-1,Crotalaria,pallida,Crotalaria pallida,Fabaceae,Fabales,Herbaceous,0.373050488,0.733146235,4.157166807,4.920235818,0.350719316,
3,Genetic bank,6,F24 3458,ABC-9283-1,Crotalaria,pallida,Crotalaria pallida,Fabaceae,Fabales,Herbaceous,0.324893145,0.862468637,5.235354605,3.595496475,0.329986647,
4,Genetic bank,6,F24 3459,ABC-9288-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,0.353160335,0.882108504,3.734717963,3.431370658,0.264892147,
5,Genetic bank,6,F24 3460,ABC-9336-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,0.430761599,0.559479336,5.39976625,7.443917513,0.645400484,
6,Genetic bank,6,F24 3461,ABC-9349-1,Mucuna,pruriens,Mucuna pruriens,Fabaceae,Fabales,Climber,0.468152397,0.173976829,5.528939403,4.377601423,0.425468903,
7,Genetic bank,6,F24 3462,ABC-9356-1,Tephrosia,noctiflora,Tephrosia noctiflora,Fabaceae,Fabales,Shrub,0.509901951,0.462660184,5.764578863,4.846375105,0.446495625,
8,Genetic bank,6,F24 3463,ABC-9432-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,0.41761226,0.174184626,1.952755064,4.249218275,0.231415578,
9,Genetic bank,6,F24 3464,ABC-9433-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,0.221735578,0.091666032,9.252635852,6.829192312,0.593140652,
10,Genetic bank,6,F24 3465,ABC-9435-1,Desmanthus,pubescens,Desmanthus pubescens,Fabaceae,Fabales,Shrub,0.460675832,0.143410947,2.016944525,1.891317135,0.19466848,
