31_no,31_date,31_requisitioner,31_gene_bank_id,31_genus,31_species,31_tax_name,31_family,31_order,31_functional_group,31_ciat_id,31_set_ciat,31_batch,31_run,31_replication,31_syrange_no,31_sample_weight_g,31_dm_incubated_mg,31_digested_feed_mg,31_time_0h,31_gas_0h_ml,31_time_8h,31_gas_8h_ml,31_ch4_8h_percentage,31_v8_push_back_ml,31_time_24_h,31_gas_24h_ml,31_ch4_24h_percentage,31_remarks,31_gp_8h_ml,31_gp_8_24h_ml,31_net_gas_8h_ml,31_net_gas_24h_ml2,31_net_gas_24h_ml,31_ch4_8h_ml,31_ch4_8_24h_ml,31_ch4_24h_ml,31_gas_ml_g_dm_incubated_24h,31_percentage_dmd_truly_digestibility,31_part_fact,31_ch4_ml_in_gas_8h,31_ch4_ml_in_gas_24h,31_ch4_ml_g_dm_incubaed_24h,31_ch4_ml_g_dmd_24h,31_ch4_ml_g_ndf_digested_in_24h,31_ch4_g_g_dm_incubated_24h,31_ch4_g_g_dmd_24h
No,Date,Requisitioner,Gene Bank ID,Genus,Species,Tax Name,Family,Order,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,"Sample weight, g","DM Incubated, mg","Digested feed, mg",Time 0h,"Gas 0h, ml",Time 8h,"Gas 8h, ml",CH4 8h %,"V8 Push back, ml",Time 24h,"Gas 24h, ml","CH4 24h, %",Remarks,"GP 8h, ml","GP 8-24h, ml","Net gas 8h, ml","Net gas 8-24h, ml2","Net gas 24h, ml","CH4 8h, ml","CH4 8-24h, ml","CH4 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 ml in gas, h8","CH4 ml in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h"
1,"22/10/24, Tue",Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1,1,1,1,1,,,0,0.354166667,39.5,0.692361111,43.5,Remove gas,40,0.364583333,45,,,4,5,,,,,,,,,,,,,,,,
2,"22/10/24, Tue",Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1,1,1,2,2,,,0,0.354861111,38.5,0.69375,42.5,Remove gas,40,0.364583333,44.5,,,4,4.5,,,,,,,,,,,,,,,,
3,"22/10/24, Tue",Genetic bank,ABC-705-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24 3416,1,1,1,1,3,0.5005,460.3118693,301.1118693,0.355555556,40,0.69375,75.5,14.2,39,0.365972222,82.5,20.8,,35.5,43.5,28.17271507,34.40463764,62.57735271,4.00052554,7.15616463,11.15669017,135.9455554,65.41475234,4.811834574,14.2,17.82863877,24.23724199,37.05164527,227.8476704,13.45208864,20.56430416
4,"22/10/24, Tue",Genetic bank,ABC-705-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24 3416,1,1,1,2,4,0.5001,459.9439877,293.4439877,0.35625,40,0.694444444,75.5,15,39,0.366666667,81,21.1,,35.5,42,28.17271507,33.07712751,61.24984258,4.22590726,6.979273904,11.20518116,133.168047,63.79993989,4.790934562,15,18.29422035,24.36205596,38.18507666,270.0095702,13.52136254,21.19337819
5,"22/10/24, Tue",Genetic bank,ABC-705-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24 3416,1,1,1,3,5,0.5001,459.9439877,295.9439877,0.35625,41,0.696527778,78,13.8,40,0.366666667,82.5,20.6,,37,42.5,29.5002252,33.51963089,63.01985609,4.071031078,6.905043963,10.97607504,137.0163711,64.34348434,4.696043534,13.8,17.41685196,23.86393851,37.08835285,249.4607864,13.24489874,20.5846775
6,"22/10/24, Tue",Genetic bank,ABC-707-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Fabaceae,Fabales,Herbaceous,F24 3417,1,1,1,1,6,0.5,450.4622468,270.9622468,0.356944444,40,0.697222222,78.5,13.9,41,0.36875,86.5,19.4,,38.5,45.5,30.82773534,36.17465116,67.00238649,4.285055212,7.017882324,11.30293754,148.7414028,60.15204354,4.044068593,13.9,16.86945515,25.09186422,41.7140678,175.9559634,13.92641876,23.15202933
7,"22/10/24, Tue",Genetic bank,ABC-707-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Fabaceae,Fabales,Herbaceous,F24 3417,1,1,1,2,7,0.5004,450.8226166,282.0226166,0.357638889,40,0.697916667,77,14,40,0.369444444,86,19.4,Inicio embolo duro,37,46,29.5002252,36.61715453,66.11737974,4.130031528,7.103727979,11.23375951,146.6594117,62.55733546,4.265483868,14,16.99063023,24.91835834,39.832832,149.5197103,13.83011999,22.10791091
8,"22/10/24, Tue",Genetic bank,ABC-707-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Fabaceae,Fabales,Herbaceous,F24 3417,1,1,1,3,8,0.5004,450.8226166,272.1226166,0.358333333,40,0.699305556,78.5,12.9,40,0.370138889,85.5,19.1,,38.5,45.5,30.82773534,36.17465116,67.00238649,3.976777859,6.909358371,10.88613623,148.6225048,60.36134981,4.061386928,12.9,16.2473858,24.14727174,40.00452577,166.8826099,13.40215359,22.20320392
9,"22/10/24, Tue",Genetic bank,ABC-712-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3418,1,1,1,1,9,0.5002,456.6956259,296.8956259,0.358333333,40.5,0.7,87.5,12.1,40,0.370833333,90,17.5,,47,50,38.35029276,40.15718156,78.50747432,4.640385424,7.027506773,11.6678922,171.9032762,65.00951817,3.781749807,12.1,14.86214185,25.54850876,39.29964331,128.459189,14.17986438,21.81198196
10,"22/10/24, Tue",Genetic bank,ABC-712-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3418,1,1,1,2,10,0.5005,456.9695337,283.5695337,0.359027778,40.5,0.701388889,90,12.5,41,0.372222222,87.5,18.2,,49.5,46.5,40.56280965,37.05965791,77.62246757,5.070351207,6.74485774,11.81520895,169.8635507,62.0543631,3.653188859,12.5,15.22137767,25.85557258,41.66600267,152.6909659,14.35029011,23.12535234
11,"22/10/24, Tue",Genetic bank,ABC-712-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3418,1,1,1,3,11,0.5003,456.7869285,256.1869285,0.359722222,40.5,0.702777778,90,12.4,40,0.372916667,90.5,17.8,,49.5,50.5,40.56280965,40.59968494,81.16249459,5.029788397,7.226743919,12.25653232,177.6812985,56.0845577,3.156469374,12.4,15.10122672,26.83205572,47.84214553,244.7406746,14.89225515,26.55321849
12,"22/10/24, Tue",Genetic bank,ABC-749-1,Crotalaria,juncea,Crotalaria juncea,Fabaceae,Fabales,Herbaceous,F24 3419,1,1,1,1,12,0.5004,459.0961104,282.9961104,0.360416667,40,0.703472222,84.5,14.1,40,0.374305556,81.5,18.1,,44.5,41.5,36.13777587,32.63462413,68.7724,5.095426398,5.906866968,11.00229337,149.7995702,61.64201874,4.114966329,14.1,15.99812332,23.96511998,38.87789606,189.5878352,13.30105621,21.57790494
13,"22/10/24, Tue",Genetic bank,ABC-749-1,Crotalaria,juncea,Crotalaria juncea,Fabaceae,Fabales,Herbaceous,F24 3419,1,1,1,2,13,0.5002,458.9126187,308.3126187,0.361111111,40.5,0.704166667,84.5,13.9,40,0.375694444,81,18.1,,44,41,35.6952725,32.19212075,67.88739325,4.961642877,5.826773856,10.78841673,147.9309796,67.18329507,4.541529789,13.9,15.89163498,23.5086513,34.99181051,129.2968683,13.0477082,19.42106023
14,"22/10/24, Tue",Genetic bank,ABC-749-1,Crotalaria,juncea,Crotalaria juncea,Fabaceae,Fabales,Herbaceous,F24 3419,1,1,1,3,14,0.5002,458.9126187,299.8126187,0.361805556,40.5,0.705555556,84.5,13,39,0.379861111,81,18.1,"Ambiente antes de lectura 20 lml 1.3%, se adiciona 10 ml, total 30 ml valor 0.03",44,42,35.6952725,33.07712751,68.7724,4.640385424,5.986960079,10.6273455,149.859466,65.3310906,4.359490416,13,15.45292225,23.15766677,35.44662512,141.813057,12.85290571,19.67349021
15,"22/10/24, Tue",Genetic bank,ABC-768-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3420,1,1,1,1,15,0.5002,461.0132158,305.0132158,0.361805556,40,0.705555556,79.5,13.6,40,0.38125,92.5,18.1,,39.5,52.5,31.71274209,42.36969845,74.08244054,4.312932925,7.668915419,11.98184834,160.6948304,66.16149068,4.117213385,13.6,16.17366849,25.99024916,39.28304652,127.5895418,14.42503794,21.80277045
16,"22/10/24, Tue",Genetic bank,ABC-768-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3420,1,1,1,2,16,0.5003,461.1053816,300.3053816,0.363194444,40,0.70625,81.5,13.2,40,0.384027778,91,17.6,Se coloco un standar antes de lectura,41.5,51,33.48275561,41.04218831,74.52494392,4.41972374,7.223425143,11.64314888,161.6223686,65.12727753,4.029595539,13.2,15.62315685,25.25051615,38.77102975,130.5881718,14.01447332,21.51859229
17,"22/10/24, Tue",Genetic bank,ABC-768-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3420,1,1,1,3,17,0.5002,461.0132158,291.7132158,0.363888889,40,0.706944444,81.5,13.2,40,0.385416667,92,18.6,exceso feed despues en la manguera gral,41.5,52,33.48275561,41.92719507,75.40995068,4.41972374,7.798458283,12.21818202,163.5743794,63.27654084,3.868365026,13.2,16.20234719,26.50288886,41.8842252,151.5728027,14.70956185,23.24646963
18,"22/10/24, Tue",Genetic bank,ABC-772-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3421,1,1,1,1,18,0.5004,457.7952005,272.3952005,0.364583333,40.5,0.707638889,80.5,12.9,40,0.386111111,97,16.3,,40,57,32.15524547,46.35222885,78.50747432,4.148026666,7.555413303,11.70343997,171.4903831,59.50154134,3.469672192,12.9,14.90742132,25.56479394,42.96492724,94.96659329,14.18890294,23.84627795
19,"22/10/24, Tue",Genetic bank,ABC-772-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3421,1,1,1,2,19,0.5005,457.8866863,276.4866863,0.365277778,40,0.708333333,80,13.2,40,0.386805556,94,16.6,,40,54,32.15524547,43.69720858,75.85245405,4.244492402,7.253736625,11.49822903,165.6576972,60.38321152,3.645059211,13.2,15.15867769,25.11151639,41.58691755,90.32449772,13.93732605,23.08145873
20,"22/10/24, Tue",Genetic bank,ABC-772-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3421,1,1,1,3,20,0.5001,457.5207429,277.5207429,0.365277778,40,0.709722222,79,13.2,40,0.388194444,95,16.3,,39,55,31.27023872,44.58221534,75.85245405,4.12767151,7.2669011,11.39457261,165.7901969,60.65752148,3.658691685,13.2,15.02202236,24.90504045,41.05845383,88.70657146,13.82272833,22.78815223
21,"22/10/24, Tue",Genetic bank,ABC-819-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24 3422,1,1,1,1,21,0.5002,453.95651,264.95651,0.365972222,41,0.710416667,80.5,13.8,40,0.388888889,80.5,20.1,Feed despues del clip,39.5,40.5,31.71274209,31.74961737,63.46235947,4.376358409,6.381673092,10.7580315,139.7983244,58.36605581,4.175018266,13.8,16.95183033,23.69837477,40.60300878,207.5795763,13.153008,22.53537235
22,"22/10/24, Tue",Genetic bank,ABC-819-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24 3422,1,1,1,2,22,0.5004,454.13802,277.23802,0.366666667,40.5,0.7125,80.5,14.5,40,0.389583333,81,20.8,,40,41,32.15524547,32.19212075,64.34736622,4.662510593,6.695961117,11.35847171,141.6912115,61.04708432,4.30845948,14.5,17.65180516,25.01105657,40.97010832,177.4141598,13.88156911,22.73911894
23,"22/10/24, Tue",Genetic bank,ABC-819-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24 3422,1,1,1,3,23,0.5001,453.865755,252.365755,0.367361111,40.5,0.713194444,80.5,14.5,40,0.390972222,81.5,20.3,,40,41.5,32.15524547,32.63462413,64.7898696,4.662510593,6.624828699,11.28733929,142.7511745,55.60361235,3.895142197,14.5,17.42145703,24.86933453,44.72611307,287.3711516,13.80291093,24.82376656
24,"22/10/24, Tue",Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1,1,1,1,24,0,,0,0.368055556,39.5,0.714583333,43.5,-,-,-,,,,4,,,,,,,,,,,,,,,,,
25,"22/10/24, Tue",Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1,1,1,2,25,0,,0,0.36875,39.5,0.715277778,42.5,-,-,-,,,,3,,,,,,,,,,,,,,,,,
26,"22/10/24, Tue",Genetic bank,ABC-905-1,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,F24 3423,1,1,1,1,26,0.5001,459.495925,284.895925,0.36875,40.5,0.715277778,88,12.1,40,0.391666667,88,19.6,,47.5,48,38.85179659,44.0174696,82.86926619,4.701067388,8.627424041,13.32849143,180.348207,62.0018393,3.437896075,12.1,16.08375703,29.00676742,46.78372086,-2018.777383,16.09925777,25.96577448
27,"22/10/24, Tue",Genetic bank,ABC-905-1,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,F24 3423,1,1,1,2,27,0.5005,459.8634482,277.2634482,0.369444444,40,0.715972222,87,12.3,40,0.393055556,88,19.6,,47,48,38.40929321,44.0174696,82.42676281,4.724343065,8.627424041,13.35176711,179.241823,60.29256061,3.363755154,12.3,16.19833978,29.03419952,48.1555257,-922.8553104,16.11448305,26.7271499
28,"22/10/24, Tue",Genetic bank,ABC-905-1,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,F24 3423,1,1,1,3,28,0.5004,459.7715674,281.6715674,0.370138889,39,0.717361111,86.5,12.1,39,0.39375,86.5,19.5,"embolo duro, 24h feed despes del clip",47.5,47.5,38.85179659,43.5174696,82.36926619,4.701067388,8.485906572,13.18697396,179.152588,61.26337237,3.419619725,12.1,16.00958048,28.68157775,46.81684445,-1318.502172,15.91877187,25.98415865
29,"22/10/24, Tue",Genetic bank,ABC-913-1,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,F24 3424,1,1,1,1,29,0.5005,474.3277527,305.0277527,0.370833333,40,0.718055556,70.5,13.6,40,0.394444444,79,19.3,,30.5,39,23.80668174,35.0174696,58.82415134,3.237708716,6.758371632,9.996080349,124.0158329,64.30738049,5.185416972,13.6,16.99315693,21.07420511,32.77105201,83.73067917,11.69654844,18.18850084
30,"22/10/24, Tue",Genetic bank,ABC-913-1,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,F24 3424,1,1,1,2,30,0.5003,474.1382112,323.7382112,0.371527778,39.5,0.71875,70,13.6,40,0.395138889,78,19.4,,30.5,38,23.80668174,34.0174696,57.82415134,3.237708716,6.599389102,9.837097818,121.9563199,68.27929147,5.598667748,13.6,17.01209199,20.74732132,30.38596458,71.19645447,11.51512228,16.86473605
31,"22/10/24, Tue",Genetic bank,ABC-913-1,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,F24 3424,1,1,1,3,31,0.5001,473.9486696,329.2486696,0.372222222,40,0.719444444,70.5,13.5,40,0.396527778,79,18.9,Feed despues del clip,30.5,39,23.80668174,35.0174696,58.82415134,3.213902035,6.618301754,9.832203789,124.1150258,69.46926761,5.597168206,13.5,16.71456972,20.74529252,29.86254675,68.39650799,11.51399626,16.5742301
32,"22/10/24, Tue",Genetic bank,ABC-955-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3425,1,1,1,1,32,0.5,459.0770498,245.6770498,0.372916667,40.5,0.720138889,85.5,12.4,40,0.397222222,96.5,16.4,,45,56.5,36.6392797,52.5174696,89.1567493,4.543270683,8.612865014,13.1561357,194.2086831,53.51542838,2.755563115,12.4,14.75618593,28.65779438,53.55052785,188.6803663,15.90557169,29.72146944
33,"22/10/24, Tue",Genetic bank,ABC-955-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3425,1,1,1,2,33,0.4999,458.9852344,239.9852344,0.372916667,40,0.721527778,86.5,12.2,40,0.398611111,96.5,16.4,,46.5,56.5,37.96678984,52.5174696,90.48425943,4.63194836,8.612865014,13.24481337,197.1398046,52.28604678,2.652231845,12.2,14.63769882,28.85673085,55.19011788,206.7225574,16.01598487,30.63147027
34,"22/10/24, Tue",Genetic bank,ABC-955-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3425,1,1,1,3,34,0.5005,459.5361268,244.2361268,0.373611111,40.5,0.722222222,87.5,12.5,40,0.4,98,16.2,,47,58,38.40929321,54.0174696,92.42676281,4.801161652,8.750830075,13.55199173,201.1305693,53.14840609,2.642482755,12.5,14.66241088,29.49059048,55.48725286,198.9714515,16.36778793,30.79638532
35,"22/10/24, Tue",LMF,,,,Albizzia saman,Fabaceae,Fabales,Tree,F24 1047,1,1,1,1,35,0.5002,478.1478148,310.8478148,0.374305556,41.5,0.724305556,60,14.6,41,0.400694444,56,17.5,"Syringe with Bag, Difficul in remove bubble",18.5,15,13.18660067,11.0174696,24.20407026,1.925243697,1.92805718,3.853300877,50.62047659,65.01081991,12.84279096,14.6,15.92005326,8.058806833,12.3961009,35.42681951,4.472777218,6.880050465
36,"22/10/24, Tue",LMF,,,,Albizzia saman,Fabaceae,Fabales,Tree,F24 1047,1,1,1,2,36,0.5001,478.0522234,307.3522234,0.375,41,0.726388889,60.5,12.7,41,0.402083333,54,18.4,"Syringe with Bag, Difficul in remove bubble",19.5,13,14.07160742,9.017469598,23.08907702,1.787094143,1.659214406,3.446308549,48.29823163,64.29260411,13.31158553,12.7,14.92614255,7.2090629,11.2128961,32.72452576,4.001154634,6.223351332
37,"22/10/24, Tue",LMF,,,,Albizzia saman,Fabaceae,Fabales,Tree,F24 1047,1,1,1,3,37,0.5001,478.0522234,345.1522234,0.375,41.5,0.727083333,60,12.5,41,0.403472222,55,18.2,"Syringe with Bag, Difficul in remove bubble",18.5,14,13.18660067,10.0174696,23.20407026,1.648325083,1.823179467,3.47150455,48.53877699,72.19969002,14.87464137,12.5,14.96075693,7.261768442,10.05789421,24.25713627,4.030407122,5.582305299
38,"22/10/24, Tue",LMF,,,,Gliricidia sepium,Fabaceae,Fabales,Tree,F24 1070,1,1,1,1,38,0.5004,475.9115678,269.1115678,0.375694444,41.5,0.727777778,71.5,10.4,41,0.404166667,73.5,17.7,"Syringe with Bag, Difficul in remove bubble",30,32.5,23.36417836,28.5174696,51.88164796,2.42987455,5.047592119,7.477466668,109.0153118,56.54654898,5.187028138,10.4,14.41254656,15.71188257,27.78574971,108.7512636,8.720366659,15.42157181
39,"22/10/24, Tue",LMF,,,,Gliricidia sepium,Fabaceae,Fabales,Tree,F24 1070,1,1,1,2,39,0.5005,476.0066741,248.5066741,0.376388889,42,0.728472222,70.5,10.2,41.5,0.404861111,74,17.5,"Syringe with Bag, Difficul in remove bubble",28.5,32.5,22.03666823,28.5174696,50.55413782,2.247740159,4.99055718,7.238297339,106.2046828,52.20655247,4.915654479,10.2,14.31791274,15.2062938,29.12717482,150.4449965,8.439756146,16.16608595
40,"22/10/24, Tue",LMF,,,,Gliricidia sepium,Fabaceae,Fabales,Tree,F24 1070,1,1,1,3,40,0.5001,475.6262491,269.0262491,0.377083333,40.5,0.729861111,66.5,11.2,41,0.40625,73,17.5,"Syringe with Bag, Difficul in remove bubble",26,32,19.82415134,28.0174696,47.84162093,2.22030495,4.90305718,7.123362129,100.5865867,56.56253195,5.623267855,11.2,14.88946652,14.97680614,26.47831634,103.5488098,8.312386523,14.69592367
41,"22/10/24, Tue",LMF,,,,Leucaena diversifolia,Fabaceae,Fabales,Tree,F24 1075,1,1,1,1,41,0.5005,478.5890555,245.6890555,0.377777778,41,0.73125,57.5,11.2,41,0.406944444,64,17.4,"Syringe with Bag, Difficul in remove bubble",16.5,23,11.41658715,19.0174696,30.43405675,1.278657761,3.30903971,4.587697471,63.59120921,51.33612076,8.072832928,11.2,15.07422263,9.585880452,18.67277915,101.3393665,5.320329496,10.36371548
42,"22/10/24, Tue",LMF,,,,Leucaena diversifolia,Fabaceae,Fabales,Tree,F24 1075,1,1,1,2,42,0.5001,478.2065667,263.1065667,0.378472222,41.5,0.731944444,58,10.8,43,0.407638889,66.5,16.7,"Syringe with Bag, Difficul in remove bubble",16.5,23.5,11.41658715,19.5174696,30.93405675,1.232991413,3.259417423,4.492408835,64.68764527,55.01943826,8.505401307,10.8,14.52253376,9.394285123,17.07448389,71.48017285,5.213990774,9.476633967
43,"22/10/24, Tue",LMF,,,,Leucaena diversifolia,Fabaceae,Fabales,Tree,F24 1075,1,1,1,3,43,0.5004,478.4934333,273.4934333,0.379166667,41.5,0.732638889,59.5,10.4,40,0.413194444,63.5,17,"Syringe with Bag, Difficul in remove bubble",18,23.5,12.74409729,19.5174696,32.26156689,1.325386118,3.317969832,4.64335595,67.42321763,57.15719679,8.477376014,10.4,14.39284076,9.70411635,16.9779431,63.50752053,5.385952466,9.423052159
44,"22/10/24, Tue",LMF,,,,Brachiaria decumbens,Poaceae,Poales,Grass,F24 1084,1,1,1,1,44,0.5003,476.8405966,230.5405966,0.379861111,42,0.734027778,75,9.1,41.5,0.413888889,78,12.1,"Syringe with Bag, Difficul in remove bubble",33,36.5,26.01919863,32.5174696,58.53666823,2.367747075,3.934613821,6.302360897,122.7594056,48.3475187,3.938396284,9.1,10.76651796,13.21691345,27.33731494,194.6816788,7.335615633,15.17268276
45,"22/10/24, Tue",LMF,,,,Brachiaria decumbens,Poaceae,Poales,Grass,F24 1084,1,1,1,2,45,0.5004,476.9359076,252.8359076,0.379861111,41.5,,76.5,8.8,41,0.415277778,79,11.7,"Syringe with Bag, Difficul in remove bubble",35,38,27.78921214,34.0174696,61.80668174,2.445450668,3.980043943,6.425494611,129.5911689,53.01255442,4.090753628,8.8,10.39611646,13.47244883,25.41369489,117.6219867,7.47744219,14.10504035
46,"22/10/24, Tue",LMF,,,,Brachiaria decumbens,Poaceae,Poales,Grass,F24 1084,1,1,1,3,46,0.5006,477.1265294,232.7265294,0.380555556,41.5,0.736111111,74,9.8,41,0.416666667,81.5,11.6,"Syringe with Bag, Difficul in remove bubble",32.5,40.5,25.57669525,36.5174696,62.09416485,2.506516135,4.236026473,6.742542608,130.1419247,48.77669027,3.747961342,9.8,10.85857685,14.1315609,28.9719553,195.7779286,7.84326079,16.07993644
47,"22/10/24, Tue",LMF,,,,Setaria sphacelata,Fabaceae,Fabales,Grass,F24 1095,1,1,1,1,47,0.5005,477.5304754,278.9304754,0.38125,40.5,0.736805556,63.5,10.7,40,0.418055556,71,19.4,"Syringe with Bag, Difficul in remove bubble",23,31,17.16913107,27.0174696,44.18660067,1.837097024,5.241389102,7.078486126,92.53147798,58.41103128,6.312557906,10.7,16.01953085,14.82310866,25.37724183,89.5309162,8.227081763,14.08480827
48,"22/10/24, Tue",LMF,,,,Setaria sphacelata,Fabaceae,Fabales,Grass,F24 1095,1,1,1,2,48,0.5004,477.4350647,276.6350647,0.381944444,40.5,0.7375,67.5,11.4,40.5,0.420833333,75.5,19.8,"Syringe with Bag, Difficul in remove bubble",27,35,20.70915809,31.0174696,51.72662769,2.360844023,6.14145898,8.502303003,108.3427497,57.94192449,5.348020488,11.4,16.43699461,17.80829192,30.73472632,110.6977836,9.883910116,17.05830485
49,"22/10/24, Tue",LMF,,,,Setaria sphacelata,Fabaceae,Fabales,Grass,F24 1095,1,1,1,3,49,0.5004,477.4350647,261.8350647,0.383333333,40,0.739583333,61.5,10.7,39,0.420138889,79,19.9,The gas ran out. Bag inside syringe,21.5,40,15.84162093,36.0174696,51.85909053,1.69505344,7.16747645,8.86252989,108.6201965,54.8420265,5.048971395,10.7,17.08963616,18.56279638,33.84775794,142.9291774,10.30267315,18.78609126
50,"22/10/24, Tue",Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1,1,1,1,50,0,,0,0.383333333,39,0.738888889,42.5,-,38.5,,43.5,-,,3.5,5,,,,,,,,,,,,,,,,
51,"22/10/24, Tue",Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1,1,1,2,51,0,,0,0.384027778,39,0.739583333,42.5,-,,,43.5,,,3.5,4,,,,,,,,,,,,,,,,
52,"22/10/24, Tue",Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1,2,2,1,1,0,,0,0.354166667,39.5,0.692361111,43.5,Remove gas,40,0.364583333,45,0,,4,4,,,,,,,,,,,,,,,,
53,"22/10/24, Tue",Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,Blank,1,2,2,2,2,0,,0,0.354861111,38.5,0.69375,42.5,Remove gas,40,0.364583333,44.5,-,,4,4.5,,,,,,,,,,,,,,,,
54,"22/10/24, Tue",Genetic bank,ABC-705-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24 3416,1,2,2,1,3,0.5005,460.3118693,399.7118693,0.355555556,40,0.69375,75.5,14.2,39,0.365972222,82.5,20.8,,35.5,43.5,28.17271507,34.73651518,62.90923025,4.00052554,7.225195157,11.2257207,136.6665394,86.83501251,6.353787318,14.2,17.84431419,24.38720668,28.08453178,76.07276543,13.53532163,15.58740103
55,"22/10/24, Tue",Genetic bank,ABC-705-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24 3416,1,2,2,2,4,0.5005,460.3118693,393.1118693,0.35625,40,0.694444444,75.5,15,39,0.366666667,81,21.1,,35.5,42,28.17271507,33.40900504,61.58172011,4.22590726,7.049300064,11.27520732,133.7826031,85.40120199,6.383580527,15,18.30934132,24.49471342,28.68193053,79.98554282,13.59498973,15.91896767
56,"22/10/24, Tue",Genetic bank,ABC-705-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24 3416,1,2,2,3,5,0.5003,460.1279285,386.8279285,0.35625,41,0.696527778,78,13.8,40,0.366666667,82.5,20.6,,37,42.5,29.5002252,33.85150842,63.35173362,4.071031078,6.973410735,11.04444181,137.6828697,84.06964771,6.106035406,13.8,17.43352736,24.00298075,28.55130408,81.94276997,13.3220696,15.84646773
57,"22/10/24, Tue",Genetic bank,ABC-707-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Fabaceae,Fabales,Herbaceous,F24 3417,1,2,2,1,6,0.5001,450.5523393,308.4523393,0.356944444,40,0.697222222,78.5,13.9,41,0.36875,86.5,19.4,,38.5,45.5,30.82773534,36.50652869,67.33426403,4.285055212,7.082266566,11.36732178,149.448262,68.46093392,4.580912018,13.9,16.88192771,25.22974755,36.85276566,111.7884026,14.00294639,20.45392253
58,"22/10/24, Tue",Genetic bank,ABC-707-1,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Fabaceae,Fabales,Herbaceous,F24 3417,1,2,2,2,7,0.5005,450.9127091,296.8127091,0.357638889,40,0.697916667,77,14,40,0.369444444,86,19.4,The piston is hard to move,37,46,29.5002252,36.94903207,66.44925727,4.130031528,7.168112221,11.29814375,147.3661219,65.824871,4.466757362,14,17.00266371,25.05616613,38.06489211,125.7010711,13.9066057,21.12667368
