23_set_ciat,23_sample_id,23_gene_bank_breeding_program_id,23_genus,23_species,23_tax_name,23_replication,23_bag_weight,23_sample_weight_with_bag_g,23_sample_weight_105_g,23_adf_percentage,23_adf_percentage_dm,23_av_adf_percentage_dm
Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Replication,Bag weight (g),Sample weight with bag (g),Sample weight 105 (g),"ADF, %","ADF, % (DM)"," Av ADF, % (DM)"
1,F24 1095,LMF,Setaria ,sphacelata,Setaria sphacelata,A,0.5931,0.5001,0.876,56.7951878,59.52707306,59.69016425
1,F24 1095,LMF,Setaria ,sphacelata,Setaria sphacelata,B,0.5777,0.5003,0.8623,57.10640065,59.85325545,
2,F24 3426,ABC-989-1,Indigofera,hirsuta,Indigofera hirsuta,A,0.5788,0.5002,0.7985,44.00742851,47.64235849,47.62549013
2,F24 3426,ABC-989-1,Indigofera,hirsuta,Indigofera hirsuta,B,0.5626,0.5003,0.7822,43.97626578,47.60862178,
2,F24 3427,ABC-1257-1,Stylosanthes,scabra,Stylosanthes scabra,A,0.5605,0.5003,0.7263,33.16185687,35.7671013,35.89620842
2,F24 3427,ABC-1257-1,Stylosanthes,scabra,Stylosanthes scabra,B,0.5489,0.5003,0.7159,33.40126301,36.02531554,
2,F24 3428,ABC-3240-1,Desmodium,cinereum,Desmodium cinereum,A,0.5483,0.5,0.6617,22.70128048,24.44668691,24.90728416
2,F24 3428,ABC-3240-1,Desmodium,cinereum,Desmodium cinereum,B,0.5518,0.5001,0.6695,23.55670498,25.36788142,
2,F24 3429,ABC-3522-1,Desmodium,incanum,Desmodium incanum,A,0.5459,0.5004,0.7659,43.98599854,47.15664681,47.9701854
2,F24 3429,ABC-3522-1,Desmodium,incanum,Desmodium incanum,B,0.5637,0.5002,0.7912,45.50367671,48.78372398,
2,F24 3430,ABC-4134-1,Macroptilium,lathyroides,Macroptilium lathyroides,A,0.5537,0.5003,0.6652,22.3081052,24.2709361,24.28674512
2,F24 3430,ABC-4134-1,Macroptilium,lathyroides,Macroptilium lathyroides,B,0.5574,0.5001,0.669,22.33716624,24.30255413,
2,F24 3431,ABC-4279-1,Vigna,umbellata,Vigna umbellata,A,0.5632,0.5001,0.626,12.96291142,14.23941136,14.1254966
2,F24 3431,ABC-4279-1,Vigna,umbellata,Vigna umbellata,B,0.5564,0.5002,0.6182,12.7555058,14.01158183,
