43_no,43_requisitioner,43_set_ciat,43_ciat_lab_id,43_gene_bank_breeding_program_id,43_genus,43_species,43_tax_name,43_family,43_order,43_functional_group,43_dm_105_c,43_ash_dm,43_protein,43_adf,43_ndf,43_ch4_8h_percentage,43_ch4_24h_percentage,43_net_gas_8h,43_net_gas_24h_ml,43_gas_ml_g_dm_incubated_24h,43_dmd_truly_digestibility,43_part_fact,43_ch4_percentage_in_gas_8h,43_ch4_percentage_in_gas_24h,43_ch4_ml_g_dm_incubated_24h,43_ch4_ml_g_dmd_24h,43_ch4_ml_g_ndf_digested_in_24h,43_ch4_g_g_dm_incubated_24h,43_ch4_g_g_dmd_24h
No,Requisitioner,Set CIAT,CIAT Lab-ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Family,Order,Functional Group,"DM, 105C",Ash (DM),Protein,ADF, NDF,CH4 8h %,"CH4 24h, %","Net gas 8h, ml","Net gas 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 % in gas, h8","CH4 % in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h"
13,LMF,1,F24 1075,,,,Leucaena diversifolia,Fabaceae,Fabales,Tree,95.62218891,10.22771083,26.34325807,54.91455416,58.12306651,9.577777778,16.08888889,10.2955786,28.22635055,44.08085619,78.03720661,21.52817191,9.577777778,13.73769581,6.185932487,9.441580273,33.94616552,3.433299553,5.240240401
14,LMF,1,F24 1084,,,,Brachiaria decumbens,Poaceae,Poales,Grass,95.31093277,10.87269937,6.473549068,63.590479,58.44146809,9.025,11.3875,26.62764077,58.60136887,96.91890878,72.49699887,8.289734311,9.025,10.30788107,10.05077408,16.24305362,76.52480043,5.578353501,9.015175783
15,LMF,1,F24 1095,,,,Setaria sphacelata,Fabaceae,Fabales,Grass,95.41068439,14.94897596,18.94965969,59.69016425,58.14538218,10.11111111,17.58888889,18.06397123,43.63310429,70.13685908,77.84239699,13.18978853,10.11111111,14.54876023,10.62946173,16.14581117,51.80906099,5.89953516,8.961204538
16,Genetic bank,2,F24 3426,ABC-989-1,Indigofera,hirsuta,Indigofera hirsuta,Fabaceae,Fabales,Herbaceous,92.37038196,13.66171032,25.3469484,47.62549013,53.10107125,14.26666667,16.47777778,22.5100766,39.22441253,84.89706749,48.63674738,5.729773326,14.26666667,15.20506045,12.92031229,26.56978806,-60.77639452,7.170996855,14.74669206
17,Genetic bank,2,F24 3427,ABC-1257-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,92.71608732,9.516947912,17.95515598,35.89620842,69.9050053,13.35555556,16.76666667,32.29431796,71.86149502,154.8952828,58.39492123,3.791082126,13.35555556,15.19844311,23.56845587,40.26610179,83.36971981,13.08090077,22.34838314
18,Genetic bank,2,F24 3428,ABC-3240-1,Desmodium,cinereum,Desmodium cinereum,Fabaceae,Fabales,Herbaceous,92.86035596,12.00668593,22.62704069,24.90728416,56.33867198,16.71111111,18.25555556,31.40931121,57.84888804,124.5114441,58.29562597,4.680417142,16.71111111,17.42005837,21.695179,37.25673723,153.1587151,12.04119969,20.67813375
19,Genetic bank,2,F24 3429,ABC-3522-1,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Herbaceous,93.27634916,11.05100511,17.94095507,47.9701854,64.48155421,14.25555556,19.44444444,23.39508336,40.05041884,85.83244967,38.93059117,4.548530511,14.25555556,16.44507097,14.11810756,36.32741785,562.5705152,7.835793952,20.16234541
20,Genetic bank,2,F24 3430,ABC-4134-1,Macroptilium,lathyroides,Macroptilium lathyroides,Fabaceae,Fabales,Climber,91.91283399,14.35643896,22.08537556,24.28674512,43.64614315,15.33333333,18.9,34.70350302,67.33812715,146.4143448,67.67019035,4.642651578,15.33333333,17.06924898,24.99095639,36.93104117,233.5407682,13.87041316,20.4973668
21,Genetic bank,2,F24 3431,ABC-4279-1,Vigna,umbellata,Vigna umbellata,Fabaceae,Fabales,Herbaceous,91.03544446,11.01713418,25.72120617,14.1254966,84.17240098,15.67777778,17.66666667,33.84799649,71.59599299,157.2020464,73.49632195,4.684292001,15.67777778,16.73088867,26.32225571,35.92150963,45.87392968,14.60930732,19.93705932
22,Genetic bank,2,F24 3432,ABC-5124-1,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Fabaceae,Fabales,Climber,91.535,10.36216711,25.77536281,37.54664403,65.50813774,14.65555556,17.71111111,27.82011714,53.52218835,116.8889757,59.16072696,5.091945159,14.65555556,16.1344176,18.86670543,32.01827702,67.3924099,10.47134792,17.7706977
