21_no,21_date,21_set_ciat,21_sample_id,21_gene_bank_breeding_program_id,21_genus,21_species,21_tax_name,21_replication,21_empty_crucible_g,21_sample_weight_g,21_weight_105_g,21_weight_505,21_dm_percentage,21_av_dm_105,21_ash_percentage,21_ash_dm,21_av_ash_percentage,21_om_percentage,21_av_om_percentage,
No,Date,Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Replication,Empty crucible (g),Sample weight (g),Weight 105 (g),Weight 505 (g),"DM, %",Av DM 105,"Ash, %",Ash/DM,"Av Ash, %","OM, %","OM, %",
139,45718,5,F24 3605,ABC-BH16_3249,Urochloa,humidicola,Brachiaria humidicola,A,,,,,95.69043096,96.30536946,,11.94883981,12.640814,88.05116019,87.359186,
140,45718,5,F24 3605,ABC-BH16_3249,Urochloa,humidicola,Brachiaria humidicola,B,,,,,95.94081184,,,12.13546841,,87.86453159,,
141,45718,5,F24 3606,ABC-BH16B_0733,Urochloa,humidicola,Brachiaria humidicola,A,,,,,96.21037896,96.66535293,,12.44873592,14.22808985,87.55126408,85.77191015,
142,45718,5,F24 3606,ABC-BH16B_0733,Urochloa,humidicola,Brachiaria humidicola,B,,,,,96.40035996,,,12.83289207,,87.16710793,,
143,45718,5,F24 3607,ABC-BH16B_0741,Urochloa,humidicola,Brachiaria humidicola,A,,,,,96.47070586,96.735,,14.13874375,11.91399183,85.86125625,88.08600817,
144,45718,5,F24 3607,ABC-BH16B_0741,Urochloa,humidicola,Brachiaria humidicola,B,,,,,96.86,,,14.31743596,,85.68256404,,
145,45718,5,F24 3608,ABC-BH16B_1194,Urochloa,humidicola,Brachiaria humidicola,A,,,,,96.64,97.16070232,,11.92949811,13.97849497,88.07050189,86.02150503,
146,45718,5,F24 3608,ABC-BH16B_1194,Urochloa,humidicola,Brachiaria humidicola,B,,,,,96.83,,,11.89848555,,88.10151445,,
147,45718,5,F24 3609,ABC-BH16B_1618,Urochloa,humidicola,Brachiaria humidicola,A,,,,,97.01059788,96.95029294,,13.96375923,10.5197972,86.03624077,89.4802028,
148,45718,5,F24 3609,ABC-BH16B_1618,Urochloa,humidicola,Brachiaria humidicola,B,,,,,97.31080676,,,13.9932307,,86.0067693,,
149,45718,5,F24 3610,ABC-BH16B_1707,Urochloa,humidicola,Brachiaria humidicola,A,,,,,96.83,96.78015898,,10.45896788,11.69085862,89.54103212,88.30914138,
150,45718,5,F24 3610,ABC-BH16B_1707,Urochloa,humidicola,Brachiaria humidicola,B,,,,,97.07058588,,,10.58062652,,89.41937348,,
151,45718,5,F24 3611,ABC-CIAT_16888,Urochloa,humidicola,Brachiaria humidicola,A,,,,,96.74,92.37038196,,11.63461614,13.66171032,88.36538386,86.33828968,
152,45718,5,F24 3611,ABC-CIAT_16888,Urochloa,humidicola,Brachiaria humidicola,B,,,,,96.82031797,,,11.74710109,,88.25289891,,
153,45718,5,F24 3426,ABC-989-1,Indigofera,hirsuta,Indigofera hirsuta,A,7.6829,1.0001,8.6066,7.81,92.36076392,92.37038196,12.70872913,13.75987875,13.66171032,86.24012125,86.33828968,
154,45718,5,F24 3426,ABC-989-1,Indigofera,hirsuta,Indigofera hirsuta,B,8.7751,1,9.6989,8.9004,92.38,,12.53,13.56354189,,86.43645811,,
155,45718,5,F24 3427,ABC-1257-1,Stylosanthes,scabra,Stylosanthes scabra,A,12.6416,1.0001,13.5678,12.7303,92.61073893,92.71608732,8.869113089,9.576765277,9.516947912,90.42323472,90.48305209,
156,45718,5,F24 3427,ABC-1257-1,Stylosanthes,scabra,Stylosanthes scabra,B,12.093,1.0002,13.0214,12.1808,92.82143571,,8.778244351,9.457130547,,90.54286945,,
157,45718,5,F24 3428,ABC-3240-1,Desmodium,cinereum,Desmodium cinereum,A,11.7963,1,12.7247,11.9081,92.84,92.86035596,11.18,12.04222318,12.00668593,87.95777682,87.99331407,
158,45718,5,F24 3428,ABC-3240-1,Desmodium,cinereum,Desmodium cinereum,B,12.3366,1.0001,13.2655,12.4478,92.88071193,,11.11888811,11.97114867,,88.02885133,,
159,45718,5,F24 3429,ABC-3522-1,Desmodium,incanum,Desmodium incanum,A,12.8748,1.0003,13.8074,12.9788,93.23203039,93.27634916,10.39688094,11.15161913,11.05100511,88.84838087,88.94899489,
160,45718,5,F24 3429,ABC-3522-1,Desmodium,incanum,Desmodium incanum,B,12.995,1.0001,13.9283,13.0972,93.32066793,,10.2189781,10.95039109,,89.04960891,,
161,45718,5,F24 3430,ABC-4134-1,Macroptilium,lathyroides,Macroptilium lathyroides,A,8.0388,1.0004,8.9576,8.1711,91.84326269,91.91283399,13.22471012,14.39921637,14.35643896,85.60078363,85.64356104,
162,45718,5,F24 3430,ABC-4134-1,Macroptilium,lathyroides,Macroptilium lathyroides,B,8.6406,1.0003,9.5607,8.7723,91.98240528,,13.16605018,14.31366156,,85.68633844,,
163,45718,5,F24 3431,ABC-4279-1,Vigna,umbellata,Vigna umbellata,A,8.048,1,8.9576,8.1482,90.96,91.03544446,10.02,11.01583113,11.01713418,88.98416887,88.98286582,
164,45718,5,F24 3431,ABC-4279-1,Vigna,umbellata,Vigna umbellata,B,7.7035,1.0001,8.6147,7.8039,91.11088891,,10.0389961,11.01843723,,88.98156277,,
165,45718,5,F24 3432,ABC-5124-1,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,A,8.2774,1,9.1932,8.3721,91.58,91.535,9.47,10.34068574,10.36216711,89.65931426,89.63783289,
166,45718,5,F24 3432,ABC-5124-1,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,B,7.8478,1,8.7627,7.9428,91.49,,9.5,10.38364849,,89.61635151,,
167,45718,5,F24 3433,ABC-5234-1,Centrosema,brasilianum,Centrosema brasilianum,A,8.3353,1.0004,9.2605,8.4391,92.4830068,92.53224525,10.37584966,11.21919585,11.21974911,88.78080415,88.78025089,
168,45718,5,F24 3433,ABC-5234-1,Centrosema,brasilianum,Centrosema brasilianum,B,8.1839,1.0002,9.1099,8.2878,92.5814837,,10.38792242,11.22030238,,88.77969762,,
169,45718,5,F24 3434,ABC-7292-1,Chamaecrista,desvauxii,Chamaecrista desvauxii,A,12.6958,1.0002,13.6154,12.7829,91.94161168,92.00080584,8.708258348,9.471509352,9.417483983,90.52849065,90.58251602,
170,45718,5,F24 3434,ABC-7292-1,Chamaecrista,desvauxii,Chamaecrista desvauxii,B,7.8471,1,8.7677,7.9333,92.06,,8.62,9.363458614,,90.63654139,,
171,45718,5,F24 3435,ABC-7317-1,Canavalia,sp.,Canavalia sp.,A,7.758,1.0002,8.6762,7.933,91.80163967,92.45081984,17.4965007,19.05902853,19.06227474,80.94097147,80.93772526,
172,45718,5,F24 3435,ABC-7317-1,Canavalia,sp.,Canavalia sp.,B,7.8674,1,8.7984,8.0449,93.1,,17.75,19.06552095,,80.93447905,,
173,45718,5,F24 3436,ABC-7322-1,Canavalia,sp.,Canavalia sp.,A,13.1794,1.0001,14.0723,13.3145,89.28107189,89.36711797,13.50864914,15.13047374,15.19263964,84.86952626,84.80736036,
174,45718,5,F24 3436,ABC-7322-1,Canavalia,sp.,Canavalia sp.,B,7.8321,1.0003,8.7269,7.9686,89.45316405,,13.64590623,15.25480554,,84.74519446,,
175,45718,5,F24 3437,ABC-7339-1,Indigofera,lespedezioides,Indigofera lespedezioides,A,8.1119,1.0002,9.0316,8.2645,91.95160968,91.98580484,15.25694861,16.59236708,16.46288643,83.40763292,83.53711357,
176,45718,5,F24 3437,ABC-7339-1,Indigofera,lespedezioides,Indigofera lespedezioides,B,7.9123,1,8.8325,8.0626,92.02,,15.03,16.33340578,,83.66659422,,
177,45718,5,F24 3438,ABC-7469-1,Clitoria,ternatea,Clitoria ternatea,A,7.9504,1,8.8716,8.0252,92.12,92.165,7.48,8.119843682,8.094191443,91.88015632,91.90580856,
178,45718,5,F24 3438,ABC-7469-1,Clitoria,ternatea,Clitoria ternatea,B,7.6452,1,8.5673,7.7196,92.21,,7.44,8.068539204,,91.9314608,,
179,45718,5,F24 3439,ABC-7643-1,Desmanthus,pernambucanus,Desmanthus pernambucanus,A,7.5075,1.0002,8.4463,7.5765,93.86122775,93.8215466,6.898620276,7.349808266,7.352550439,92.65019173,92.64744956,
180,45718,5,F24 3439,ABC-7643-1,Desmanthus,pernambucanus,Desmanthus pernambucanus,B,12.0221,1.0003,12.9602,12.0911,93.78186544,,6.897930621,7.355292613,,92.64470739,,
181,45718,5,F24 3440,ABC-7703-1,Aeschynomene,indica,Aeschynomene indica,A,8.0758,1,8.9945,8.1573,91.87,91.94619664,8.15,8.871231087,8.846261932,91.12876891,91.15373807,
182,45718,5,F24 3440,ABC-7703-1,Aeschynomene,indica,Aeschynomene indica,B,8.0067,1.0003,8.9272,8.0879,92.02239328,,8.117564731,8.821292776,,91.17870722,,
183,45718,5,F25 0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,A,17.4943,1.0005,18.4082,17.5856,91.34432784,91.33303174,9.125437281,9.990152095,10.05857506,90.0098479,89.94142494,
184,45718,5,F25 0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,B,15.9691,1.0002,16.8825,16.0616,91.32173565,,9.24815037,10.12699803,,89.87300197,,
185,45718,5,F25 0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,A,18.6767,1.0002,19.5742,18.7322,89.73205359,89.69309597,5.548890222,6.183844011,6.035393965,93.81615599,93.96460604,
186,45718,5,F25 0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,B,16.3743,1.0004,17.2712,16.4271,89.65413834,,5.277888844,5.886943918,,94.11305608,,
187,45718,5,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,A,19.0575,1.0001,19.994,19.1636,93.64063594,93.73093584,10.60893911,11.32941805,11.41385651,88.67058195,88.58614349,
188,45718,5,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,B,19.4849,1.0002,20.4233,19.5928,93.82123575,,10.78784243,11.49829497,,88.50170503,,
189,,6,F24 3441,ABC-7714-1,Alysicarpus,glumaceus,Alysicarpus glumaceus,A,7.5017,1.0003,8.432,7.6645,93.00209937,93.05173955,16.27511746,17.49973127,17.45368866,82.50026873,82.54631134,
190,,6,F24 3441,ABC-7714-1,Alysicarpus,glumaceus,Alysicarpus glumaceus,B,11.276,1.0002,12.2072,11.4381,93.10137972,,16.20675865,17.40764605,,82.59235395,,
191,,6,F24 3442,ABC-7757-1,Clitoria,ternatea,Clitoria ternatea,A,8.4458,1,9.3663,8.5217,92.05,92.12039046,7.59,8.24551874,8.244234424,91.75448126,91.75576558,
192,,6,F24 3442,ABC-7757-1,Clitoria,ternatea,Clitoria ternatea,B,12.8903,1.0001,13.8123,12.9663,92.19078092,,7.599240076,8.242950108,,91.75704989,,
193,,6,F24 3443,ABC-7759-1,Clitoria,ternatea,Clitoria ternatea,A,12.5141,1.0001,13.4492,12.5688,93.50064994,93.54160845,5.469453055,5.84964175,5.862227412,94.15035825,94.13777259,
194,,6,F24 3443,ABC-7759-1,Clitoria,ternatea,Clitoria ternatea,B,7.9707,1.0004,8.9069,8.0257,93.58256697,,5.49780088,5.874813074,,94.12518693,,
195,,6,F24 3444,ABC-7790-1,Crotalaria,pallida,Crotalaria pallida,A,8.2223,1.0003,9.1437,8.2765,92.11236629,92.11118315,5.418374488,5.882352941,5.850741122,94.11764706,94.14925888,
196,,6,F24 3444,ABC-7790-1,Crotalaria,pallida,Crotalaria pallida,B,8.1255,1,9.0466,8.1791,92.11,,5.36,5.819129302,,94.1808707,,
197,,6,F24 3445,ABC-7792-1,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,A,8.065,1.0004,8.9935,8.1397,92.81287485,92.87643743,7.467013195,8.045234249,8.05209851,91.95476575,91.94790149,
198,,6,F24 3445,ABC-7792-1,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,B,7.7773,1,8.7067,7.8522,92.94,,7.49,8.058962772,,91.94103723,,
199,,6,F24 3446,ABC-7816-1,Indigofera,spicata,Indigofera spicata,A,7.1441,1,8.0684,7.3059,92.43,92.50111417,16.18,17.50513902,17.58626282,82.49486098,82.41373718,
200,,6,F24 3446,ABC-7816-1,Indigofera,spicata,Indigofera spicata,B,12.1051,1.0003,13.0311,12.2687,92.57222833,,16.35509347,17.66738661,,82.33261339,,
201,,6,F24 3447,ABC-7858-1,Crotalaria,incana,Crotalaria incana,A,13.374,1,14.3049,13.4587,93.09,93.155,8.47,9.098721667,9.146013912,90.90127833,90.85398609,
202,,6,F24 3447,ABC-7858-1,Crotalaria,incana,Crotalaria incana,B,8.5324,1,9.4646,8.6181,93.22,,8.57,9.193306157,,90.80669384,,
203,,6,F24 3448,ABC-7972-1,Canavalia,brasiliensis,Canavalia brasiliensis,A,8.3684,1,9.2866,8.5287,91.82,91.88,16.03,17.45807014,17.8164834,82.54192986,82.1835166,
204,,6,F24 3448,ABC-7972-1,Canavalia,brasiliensis,Canavalia brasiliensis,B,8.0511,1,8.9705,8.2182,91.94,,16.71,18.17489667,,81.82510333,,
205,,6,F24 3449,ABC-8205-1,Indigofera,suffruticosa,Indigofera suffruticosa,A,12.3139,1,13.2352,12.4478,92.13,92.225,13.39,14.53381092,14.65425381,85.46618908,85.34574619,
206,,6,F24 3449,ABC-8205-1,Indigofera,suffruticosa,Indigofera suffruticosa,B,7.9918,1,8.915,8.1282,92.32,,13.64,14.77469671,,85.22530329,,
207,,6,F24 3450,ABC-8402-1,Indigofera,suffruticosa,Indigofera suffruticosa,A,7.4255,1,8.345,7.5883,91.95,92.01,16.28,17.70527461,17.72088972,82.29472539,82.27911028,
208,,6,F24 3450,ABC-8402-1,Indigofera,suffruticosa,Indigofera suffruticosa,B,7.8844,1,8.8051,8.0477,92.07,,16.33,17.73650483,,82.26349517,,
209,,6,F24 3451,ABC-8408-1,Chamaecrista,nictitans,Chamaecrista nictitans,A,7.5659,1.0003,8.5058,7.6302,93.96181146,94.01679496,6.428071579,6.841153314,6.884976232,93.15884669,93.11502377,
210,,6,F24 3451,ABC-8408-1,Chamaecrista,nictitans,Chamaecrista nictitans,B,8.9595,1.0003,9.9005,9.0247,94.07177847,,6.518044587,6.92879915,,93.07120085,,
211,,6,F24 3452,ABC-8409-1,Chamaecrista,nictitans,Chamaecrista nictitans,A,8.3978,1.0003,9.3172,8.4678,91.91242627,91.93701698,6.99790063,7.613661083,7.660929259,92.38633892,92.33907074,
212,,6,F24 3452,ABC-8409-1,Chamaecrista,nictitans,Chamaecrista nictitans,B,7.935,1.0002,8.8548,8.0059,91.96160768,,7.088582284,7.708197434,,92.29180257,,
213,,6,F24 3453,ABC-8719-1,Canavalia,sp.,Canavalia sp.,A,7.8598,1.0005,8.7945,8.0198,93.42328836,93.52759939,15.992004,17.1177918,17.13245986,82.8822082,82.86754014,
214,,6,F24 3453,ABC-8719-1,Canavalia,sp.,Canavalia sp.,B,7.5998,1.0003,8.5364,7.7604,93.63191043,,16.05518344,17.14712791,,82.85287209,,
215,,6,F24 3454,ABC-8797-1,Desmanthus,virgatus,Desmanthus virgatus,A,7.5945,1.0005,8.5259,7.6608,93.09345327,92.94852574,6.626686657,7.118316513,7.059427508,92.88168349,92.94057249,
216,,6,F24 3454,ABC-8797-1,Desmanthus,virgatus,Desmanthus virgatus,B,7.7406,1.0005,8.6691,7.8056,92.8035982,,6.496751624,7.000538503,,92.9994615,,
217,,6,F24 3455,ABC-8819-1,Coursetia,caribaea,Coursetia caribaea,A,11.8615,1.0005,12.7789,11.9877,91.69415292,91.77870381,12.61369315,13.75626771,13.95647988,86.24373229,86.04352012,
218,,6,F24 3455,ABC-8819-1,Coursetia,caribaea,Coursetia caribaea,B,7.8346,1.0004,8.7536,7.9647,91.8632547,,13.00479808,14.15669206,,85.84330794,,
219,,6,F24 3456,ABC-9170-1,Indigofera,lespedezioides,Indigofera lespedezioides,A,11.2792,1.0003,12.2103,11.4219,93.08207538,93.09103769,14.26572028,15.32595854,15.38048733,84.67404146,84.61951267,
220,,6,F24 3456,ABC-9170-1,Indigofera,lespedezioides,Indigofera lespedezioides,B,11.1386,1,12.0696,11.2823,93.1,,14.37,15.43501611,,84.56498389,,
221,,6,F24 3457,ABC-9254-1,Crotalaria,pallida,Crotalaria pallida,A,7.3607,1,8.2693,7.4207,90.86,90.82638109,6,6.603565926,6.638052507,93.39643407,93.36194749,
222,,6,F24 3457,ABC-9254-1,Crotalaria,pallida,Crotalaria pallida,B,11.3249,1.0003,12.2331,11.3855,90.79276217,,6.058182545,6.672539088,,93.32746091,,
223,,6,F24 3458,ABC-9283-1,Crotalaria,pallida,Crotalaria pallida,A,8.7104,1.0001,9.6381,8.7866,92.76072393,92.80107782,7.619238076,8.21386224,8.193728449,91.78613776,91.80627155,
224,,6,F24 3458,ABC-9283-1,Crotalaria,pallida,Crotalaria pallida,B,7.6415,1.0002,8.5701,7.7174,92.84143171,,7.588482304,8.173594659,,91.82640534,,
225,,6,F24 3459,ABC-9288-1,Indigofera,suffruticosa,Indigofera suffruticosa,A,7.483,1,8.42,7.5948,93.7,93.755,11.18,11.93169691,11.90871169,88.06830309,88.09128831,
226,,6,F24 3459,ABC-9288-1,Indigofera,suffruticosa,Indigofera suffruticosa,B,7.7246,1,8.6627,7.8361,93.81,,11.15,11.88572647,,88.11427353,,
227,,6,F24 3460,ABC-9336-1,Clitoria,ternatea,Clitoria ternatea,A,11.6286,1.0002,12.5325,11.7019,90.37192561,90.39240088,7.328534293,8.109304127,8.112591028,91.89069587,91.88740897,
228,,6,F24 3460,ABC-9336-1,Clitoria,ternatea,Clitoria ternatea,B,12.2766,1.0003,13.181,12.35,90.41287614,,7.33779866,8.11587793,,91.88412207,,
229,,6,F24 3461,ABC-9349-1,Mucuna,pruriens,Mucuna pruriens,A,7.6066,1.0003,8.5202,7.6855,91.33260022,91.42214894,7.88763371,8.636164623,8.633607276,91.36383538,91.36639272,
230,,6,F24 3461,ABC-9349-1,Mucuna,pruriens,Mucuna pruriens,B,7.6209,1.0002,8.5362,7.6999,91.51169766,,7.898420316,8.631049929,,91.36895007,,
231,,6,F24 3462,ABC-9356-1,Tephrosia,noctiflora,Tephrosia noctiflora,A,12.2369,1.0001,13.1668,12.315,92.98070193,93.0320801,7.809219078,8.398752554,8.360226701,91.60124745,91.6397733,
232,,6,F24 3462,ABC-9356-1,Tephrosia,noctiflora,Tephrosia noctiflora,B,7.4063,1.0005,8.3376,7.4838,93.08345827,,7.746126937,8.321700848,,91.67829915,,
233,,6,F24 3463,ABC-9432-1,Clitoria,ternatea,Clitoria ternatea,A,7.4483,1.0005,8.3613,7.5217,91.25437281,91.27936032,7.336331834,8.039430449,8.031756823,91.96056955,91.96824318,
234,,6,F24 3463,ABC-9432-1,Clitoria,ternatea,Clitoria ternatea,B,7.7773,1.0005,8.6908,7.8506,91.30434783,,7.326336832,8.024083196,,91.9759168,,
235,,6,F24 3464,ABC-9433-1,Clitoria,ternatea,Clitoria ternatea,A,12.9526,1.0005,13.8956,13.042,94.25287356,94.27286357,8.935532234,9.48038176,9.441272076,90.51961824,90.55872792,
236,,6,F24 3464,ABC-9433-1,Clitoria,ternatea,Clitoria ternatea,B,11.5962,1.0005,12.5396,11.6849,94.29285357,,8.865567216,9.402162391,,90.59783761,,
237,,6,F24 3465,ABC-9435-1,Desmanthus,pubescens,Desmanthus pubescens,A,11.7792,1.0002,12.7253,11.8596,94.59108178,94.58635365,8.038392322,8.498044604,8.482190043,91.5019554,91.51780996,
238,,6,F24 3465,ABC-9435-1,Desmanthus,pubescens,Desmanthus pubescens,B,13.5197,1.0003,14.4658,13.5998,94.58162551,,8.007597721,8.466335483,,91.53366452,,
239,,6,F24 3466,ABC-9530-1,Crotalaria,maypurensis,Crotalaria maypurensis,A,10.2613,1.0005,11.194,10.3438,93.22338831,93.26303362,8.245877061,8.845287874,8.793760286,91.15471213,91.20623971,
240,,6,F24 3466,ABC-9530-1,Crotalaria,maypurensis,Crotalaria maypurensis,B,13.0116,1.0004,13.945,13.0932,93.30267893,,8.156737305,8.742232698,,91.2577673,,
241,,6,F24 3467,ABC-9562-1,Eriosema,diffusum,Eriosema diffusum,A,10.273,1,11.2121,10.3529,93.91,93.93151174,7.99,8.508146097,8.403009219,91.4918539,91.59699078,
242,,6,F24 3467,ABC-9562-1,Eriosema,diffusum,Eriosema diffusum,B,11.5831,1.0005,12.5231,11.6611,93.95302349,,7.796101949,8.29787234,,91.70212766,,
243,,6,F24 3468,ABC-9982-1,Crotalaria,incana,Crotalaria incana,A,11.3194,1.0005,12.2575,11.4002,93.76311844,93.81655922,8.075962019,8.613154248,8.64768717,91.38684575,91.35231283,
244,,6,F24 3468,ABC-9982-1,Crotalaria,incana,Crotalaria incana,B,10.3613,1,11.3,10.4428,93.87,,8.15,8.682220092,,91.31777991,,
245,,6,F24 3469,ABC-10647-1,Stylosanthes,scabra,Stylosanthes scabra,A,10.761,1.0004,11.6909,10.8479,92.95281887,92.92782887,8.68652539,9.34509087,9.358364243,90.65490913,90.64163576,
246,,6,F24 3469,ABC-10647-1,Stylosanthes,scabra,Stylosanthes scabra,B,10.8092,1.0004,11.7386,10.8963,92.90283886,,8.706517393,9.371637616,,90.62836238,,
247,,6,F24 3470,ABC-11194-1,Stylosanthes,hamata,Stylosanthes hamata,A,10.2385,1.0003,11.1676,10.3294,92.88213536,92.89142264,9.087273818,9.783661608,9.606070391,90.21633839,90.39392961,
248,,6,F24 3470,ABC-11194-1,Stylosanthes,hamata,Stylosanthes hamata,B,10.3924,1.0001,11.3215,10.48,92.90070993,,8.759124088,9.428479173,,90.57152083,,
249,,6,F25 0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,A,17.4943,1.0005,18.4082,17.5856,91.34432784,91.33303174,9.125437281,9.990152095,10.05857506,90.0098479,89.94142494,
250,,6,F25 0017,Hohenheimer Heustandard,Hohenheimer, Heustandard,Hohenheimer Heustandard,B,15.9691,1.0002,16.8825,16.0616,91.32173565,,9.24815037,10.12699803,,89.87300197,,
251,,6,F25 0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,A,18.6767,1.0002,19.5742,18.7322,89.73205359,89.69309597,5.548890222,6.183844011,6.035393965,93.81615599,93.96460604,
252,,6,F25 0018,Homenheim Concentrate,Homenheim, Concentrate,Homenheim Concentrate,B,16.3743,1.0004,17.2712,16.4271,89.65413834,,5.277888844,5.886943918,,94.11305608,,
253,,6,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,A,19.0575,1.0001,19.994,19.1636,93.64063594,93.73093584,10.60893911,11.32941805,11.41385651,88.67058195,88.58614349,
254,,6,F25 0019,Sample 8,Cynodon, nlemfuensis ,Cynodon nlemfuensis ,B,19.4849,1.0002,20.4233,19.5928,93.82123575,,10.78784243,11.49829497,,88.50170503,,
255,,7,F24 3471,ABC-11999-1,Stylosanthes,guianensis,Stylosanthes guianensis,A,20.5555,1.0003,21.4902,93.44,93.44196741,93.5025929,9.61,10.27,10.465,89.73,89.535,
256,,7,F24 3471,ABC-11999-1,Stylosanthes,guianensis,Stylosanthes guianensis,B,20.3429,1.0005,21.279,93.56,93.56321839,,9.97,10.66,,89.34,,
257,,7,F24 3472,ABC-12318-1,Stylosanthes,hamata,Stylosanthes hamata,A,17.8534,1.0005,18.7949,94.1,94.10294853,94.102359,10.41,11.07,11.085,88.93,88.915,
258,,7,F24 3472,ABC-12318-1,Stylosanthes,hamata,Stylosanthes hamata,B,17.385,1.0003,18.3263,94.1,94.10176947,,10.45,11.1,,88.9,,
259,,7,F24 3473,ABC-13575-1,Desmodium,incanum,Desmodium incanum,A,16.8261,1.0002,17.7673,94.1,94.10117976,94.13646412,10.87,11.54,11.515,88.46,88.485,
260,,7,F24 3473,ABC-13575-1,Desmodium,incanum,Desmodium incanum,B,18.2074,1.0003,19.1494,94.17,94.17174848,,10.82,11.49,,88.51,,
261,,7,F24 3474,ABC-13609-1,Desmodium,incanum,Desmodium incanum,A,18.5481,1.0005,19.482,93.34,93.34332834,93.40199114,10.97,11.75,11.575,88.25,88.425,
262,,7,F24 3474,ABC-13609-1,Desmodium,incanum,Desmodium incanum,B,17.3855,1.0001,18.3202,93.46,93.46065393,,10.65,11.4,,88.6,,
263,,7,F24 3475,ABC-15551-1,Centrosema,molle,Centrosema molle,A,19.0393,1,19.977,93.77,93.77,93.75094022,9.82,10.47,10.485,89.53,89.515,
264,,7,F24 3475,ABC-15551-1,Centrosema,molle,Centrosema molle,B,16.9495,1.0003,17.8871,93.73,93.73188044,,9.85,10.5,,89.5,,
265,,7,F24 3476,ABC-17024-1,Desmanthus,pernambucanus,Desmanthus pernambucanus,A,18.1205,1.0005,19.0464,92.54,92.54372814,92.53223803,7.58,8.19,8.23,91.81,91.77,
266,,7,F24 3476,ABC-17024-1,Desmanthus,pernambucanus,Desmanthus pernambucanus,B,18.9172,1.0001,19.8425,92.52,92.52074793,,7.65,8.27,,91.73,,
267,,7,F24 3477,ABC-17091-1,Crotalaria,micans,Crotalaria micans,A,16.8893,1.0001,17.8312,94.18,94.18058194,94.56155534,7.93,8.39,8.37,91.61,91.63,
268,,7,F24 3477,ABC-17091-1,Crotalaria,micans,Crotalaria micans,B,17.4991,1.0005,18.449,94.94,94.94252874,,7.9,8.35,,91.65,,
269,,7,F24 3478,ABC-17365-1,Clitoria,ternatea,Clitoria ternatea,A,18.1934,1.0003,19.1276,93.39,93.39198241,93.3869839,7.02,7.51,7.63,92.49,92.37,
270,,7,F24 3478,ABC-17365-1,Clitoria,ternatea,Clitoria ternatea,B,16.4895,1.0003,17.4236,93.38,93.3819854,,7.24,7.75,,92.25,,
271,,7,F24 3479,ABC-17451-1,Canavalia,sp.,Canavalia sp.,A,17.766,1.0004,18.6829,91.65,91.65333866,91.64376079,17.95,19.59,19.475,80.41,80.525,
272,,7,F24 3479,ABC-17451-1,Canavalia,sp.,Canavalia sp.,B,18.9526,1.0005,19.8694,91.63,91.63418291,,17.74,19.36,,80.64,,
273,,7,F24 3480,ABC-17775-1,Christia,obcordata,Christia obcordata,A,21.4266,1.0003,22.3676,94.07,94.07177847,94.3019828,10.07,10.68,10.725,89.32,89.275,
274,,7,F24 3480,ABC-17775-1,Christia,obcordata,Christia obcordata,B,18.0835,1.0004,19.0292,94.53,94.53218713,,10.16,10.77,,89.23,,
275,,7,F24 3481,ABC-18016-1,Sesbania,emerus,Sesbania emerus,A,17.7002,1.0003,18.6306,93.01,93.01209637,93.22268986,7.09,7.6,7.685,92.4,92.315,
276,,7,F24 3481,ABC-18016-1,Sesbania,emerus,Sesbania emerus,B,16.7641,1.0005,17.6989,93.43,93.43328336,,7.25,7.77,,92.23,,
277,,7,F24 3482,ABC-18044-1,Christia,sp.,Christia sp.,A,18.2241,1.0003,19.1615,93.71,93.71188643,93.66689993,13.54,14.45,14.44,85.55,85.56,
278,,7,F24 3482,ABC-18044-1,Christia,sp.,Christia sp.,B,19.585,1.0003,20.5215,93.62,93.62191343,,13.52,14.43,,85.57,,
279,,7,F24 3483,ABC-18288-1,Sesbania,exasperata,Sesbania exasperata,A,17.3536,1.0003,18.2833,92.94,92.94211736,92.91141465,8.3,8.93,8.89,91.07,91.11,
280,,7,F24 3483,ABC-18288-1,Sesbania,exasperata,Sesbania exasperata,B,18.9082,1.0001,19.8371,92.88,92.88071193,,8.22,8.85,,91.15,,
281,,7,F24 3484,ABC-18447-1,Clitoria,ternatea,Clitoria ternatea,A,17.8488,1.0005,18.7775,92.82,92.82358821,92.93353323,6.93,7.45,7.5,92.55,92.5,
