21_no,21_date,21_set_ciat,21_sample_id,21_gene_bank_breeding_program_id,21_genus,21_species,21_tax_name,21_replication,21_empty_crucible_g,21_sample_weight_g,21_weight_105_g,21_weight_505,21_dm_percentage,21_av_dm_105,21_ash_percentage,21_ash_dm,21_av_ash_percentage,21_om_percentage,21_av_om_percentage,
No,Date,Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,Replication,Empty crucible (g),Sample weight (g),Weight 105 (g),Weight 505 (g),"DM, %",Av DM 105,"Ash, %",Ash/DM,"Av Ash, %","OM, %","OM, %",
30,45572,1,F24 1095,LMF,Setaria ,sphacelata,Setaria sphacelata,B,7.8843,1.0002,8.8394,8.0264,95.49090182,,14.20715857,14.87802324,,85.12197676,,
31,45572,2,F24 3426,ABC-989-1,Indigofera,hirsuta,Indigofera hirsuta,A,7.6829,1.0001,8.6066,7.81,92.36076392,92.37038196,12.70872913,13.75987875,13.66171032,86.24012125,86.33828968,
32,45572,2,F24 3426,ABC-989-1,Indigofera,hirsuta,Indigofera hirsuta,B,8.7751,1,9.6989,8.9004,92.38,,12.53,13.56354189,,86.43645811,,
33,45572,2,F24 3427,ABC-1257-1,Stylosanthes,scabra,Stylosanthes scabra,A,12.6416,1.0001,13.5678,12.7303,92.61073893,92.71608732,8.869113089,9.576765277,9.516947912,90.42323472,90.48305209,
34,45572,2,F24 3427,ABC-1257-1,Stylosanthes,scabra,Stylosanthes scabra,B,12.093,1.0002,13.0214,12.1808,92.82143571,,8.778244351,9.457130547,,90.54286945,,
35,45572,2,F24 3428,ABC-3240-1,Desmodium,cinereum,Desmodium cinereum,A,11.7963,1,12.7247,11.9081,92.84,92.86035596,11.18,12.04222318,12.00668593,87.95777682,87.99331407,
36,45572,2,F24 3428,ABC-3240-1,Desmodium,cinereum,Desmodium cinereum,B,12.3366,1.0001,13.2655,12.4478,92.88071193,,11.11888811,11.97114867,,88.02885133,,
37,45572,2,F24 3429,ABC-3522-1,Desmodium,incanum,Desmodium incanum,A,12.8748,1.0003,13.8074,12.9788,93.23203039,93.27634916,10.39688094,11.15161913,11.05100511,88.84838087,88.94899489,
38,45572,2,F24 3429,ABC-3522-1,Desmodium,incanum,Desmodium incanum,B,12.995,1.0001,13.9283,13.0972,93.32066793,,10.2189781,10.95039109,,89.04960891,,
39,45572,2,F24 3430,ABC-4134-1,Macroptilium,lathyroides,Macroptilium lathyroides,A,8.0388,1.0004,8.9576,8.1711,91.84326269,91.91283399,13.22471012,14.39921637,14.35643896,85.60078363,85.64356104,
40,45572,2,F24 3430,ABC-4134-1,Macroptilium,lathyroides,Macroptilium lathyroides,B,8.6406,1.0003,9.5607,8.7723,91.98240528,,13.16605018,14.31366156,,85.68633844,,
41,45572,2,F24 3431,ABC-4279-1,Vigna,umbellata,Vigna umbellata,A,8.048,1,8.9576,8.1482,90.96,91.03544446,10.02,11.01583113,11.01713418,88.98416887,88.98286582,
42,45572,2,F24 3431,ABC-4279-1,Vigna,umbellata,Vigna umbellata,B,7.7035,1.0001,8.6147,7.8039,91.11088891,,10.0389961,11.01843723,,88.98156277,,
43,45572,2,F24 3432,ABC-5124-1,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,A,8.2774,1,9.1932,8.3721,91.58,91.535,9.47,10.34068574,10.36216711,89.65931426,89.63783289,
44,45572,2,F24 3432,ABC-5124-1,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,B,7.8478,1,8.7627,7.9428,91.49,,9.5,10.38364849,,89.61635151,,
45,45572,2,F24 3433,ABC-5234-1,Centrosema,brasilianum,Centrosema brasilianum,A,8.3353,1.0004,9.2605,8.4391,92.4830068,92.53224525,10.37584966,11.21919585,11.21974911,88.78080415,88.78025089,
46,45572,2,F24 3433,ABC-5234-1,Centrosema,brasilianum,Centrosema brasilianum,B,8.1839,1.0002,9.1099,8.2878,92.5814837,,10.38792242,11.22030238,,88.77969762,,
