42_no,42_column1,42_ciat_lab_id,42_requisitioner,42_gene_bank_breeding_program_id,42_genus,42_species,42_tax_name,42_dm_percentage,42_ash_dm_percentage,42_protein_dm_percentage,42_adf_dm_percentage,42_ndf_dm_percentage,42_remarks
No,Column1,CIAT Lab-ID,Requisitioner,Gene bank /Breeding program ID,Genus,Species,Tax Name,"DM, %","Ash (DM), %","Protein (DM), %","ADF (DM), %"," NDF (DM), %",Remarks
12,1,F24 1070,LMF,,0,0,Gliricidia sepium,95.10622858,11.55274975,19.36781668,45.20354088,57.90099126,Ensayo interno
13,1,F24 1075,LMF,,0,0,Leucaena diversifolia,95.62218891,10.22771083,26.34325807,54.91455416,58.12306651,Ensayo interno
14,1,F24 1084,LMF,,0,0,Brachiaria decumbens,95.31093277,10.87269937,6.473549068,63.590479,58.44146809,Ensayo interno
15,1,F24 1095,LMF,,0,0,Setaria sphacelata,95.41068439,14.94897596,18.94965969,59.69016425,58.14538218,Ensayo interno
16,2,F24 3426,LMF,ABC-989-1,Indigofera,hirsuta,Indigofera hirsuta,92.37038196,13.66171032,25.3469484,47.62549013,53.10107125,Eliminados
17,2,F24 3427,Genetic bank,ABC-1257-1,Stylosanthes,scabra,Stylosanthes scabra,92.71608732,9.516947912,17.95515598,35.89620842,69.9050053,Eliminados
18,2,F24 3428,Genetic bank,ABC-3240-1,Desmodium,cinereum,Desmodium cinereum,92.86035596,12.00668593,22.62704069,24.90728416,56.33867198,Eliminados
19,2,F24 3429,Genetic bank,ABC-3522-1,Desmodium,incanum,Desmodium incanum,93.27634916,11.05100511,17.94095507,47.9701854,64.48155421,Eliminados
20,2,F24 3430,Genetic bank,ABC-4134-1,Macroptilium,lathyroides,Macroptilium lathyroides,91.91283399,14.35643896,22.08537556,24.28674512,43.64614315,Eliminados
21,2,F24 3431,Genetic bank,ABC-4279-1,Vigna,umbellata,Vigna umbellata,91.03544446,11.01713418,25.72120617,14.1254966,84.17240098,Eliminados
