40gp_no,40gp_requisitioner,40gp_gene_bank_id,40gp_genus,40gp_species,40gp_tax_name,40gp_family,40gp_order,40gp_functional_group,40gp_ciat_id,40gp_set_ciat,40gp_batch,40gp_run,40gp_replication,40gp_ch4_8h_percentage,40gp_ch4_24h_percentage,40gp_net_gas_8h_ml,40gp_net_gas_24h_ml,40gp_gas_ml_g_dm_incubated_24h,40gp_percentage_dmd_truly_digestibility,40gp_part_fact,40gp_ch4_percentage_in_gas_8h,40gp_ch4_percentage_in_gas_24h,40gp_ch4_ml_g_dm_incubated_24h,40gp_ch4_ml_g_dmd_24h,40gp_ch4_ml_g_ndf_digested_in_24h,40gp_ch4_g_g_dm_incubated_24h,40gp_ch4_g_g_dmd_24h,40gp_remarks,40gp_remarks_2
No,Requisitioner,Gene Bank ID,Genus,Species,Tax Name,Family,Order,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,CH4 8h %,"CH4 24h, %","Net gas 8h, ml","Net gas 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 % in gas, h8","CH4 % in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h",Remarks,Remarks2
17,Genetic bank,ABC-772-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3421,1,1,1,2,13.2,16.6,32.15524547,75.85245405,165.6576972,60.38321152,3.645059211,13.2,15.15867769,25.11151639,41.58691755,90.32449772,13.93732605,23.08145873,,
18,Genetic bank,ABC-772-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3421,1,1,1,3,13.2,16.3,31.27023872,75.85245405,165.7901969,60.65752148,3.658691685,13.2,15.02202236,24.90504045,41.05845383,88.70657146,13.82272833,22.78815223,,
19,Genetic bank,ABC-819-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24 3422,1,1,1,1,13.8,20.1,31.71274209,63.46235947,139.7983244,58.36605581,4.175018266,13.8,16.95183033,23.69837477,40.60300878,207.5795763,13.153008,22.53537235,Feed despues del clip,
20,Genetic bank,ABC-819-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24 3422,1,1,1,2,14.5,20.8,32.15524547,64.34736622,141.6912115,61.04708432,4.30845948,14.5,17.65180516,25.01105657,40.97010832,177.4141598,13.88156911,22.73911894,,
21,Genetic bank,ABC-819-1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,F24 3422,1,1,1,3,14.5,20.3,32.15524547,64.7898696,142.7511745,55.60361235,3.895142197,14.5,17.42145703,24.86933453,44.72611307,287.3711516,13.80291093,24.82376656,,
22,Genetic bank,ABC-905-1,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,F24 3423,1,1,1,1,12.1,19.6,38.85179659,82.86926619,180.348207,62.0018393,3.437896075,12.1,16.08375703,29.00676742,46.78372086,-2018.777383,16.09925777,25.96577448,,
23,Genetic bank,ABC-905-1,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,F24 3423,1,1,1,2,12.3,19.6,38.40929321,82.42676281,179.241823,60.29256061,3.363755154,12.3,16.19833978,29.03419952,48.1555257,-922.8553104,16.11448305,26.7271499,,
24,Genetic bank,ABC-905-1,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,F24 3423,1,1,1,3,12.1,19.5,38.85179659,82.36926619,179.152588,61.26337237,3.419619725,12.1,16.00958048,28.68157775,46.81684445,-1318.502172,15.91877187,25.98415865,"embolo duro, 24h feed despes del clip",
25,Genetic bank,ABC-913-1,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,F24 3424,1,1,1,1,13.6,19.3,23.80668174,58.82415134,124.0158329,64.30738049,5.185416972,13.6,16.99315693,21.07420511,32.77105201,83.73067917,11.69654844,18.18850084,,
26,Genetic bank,ABC-913-1,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,F24 3424,1,1,1,2,13.6,19.4,23.80668174,57.82415134,121.9563199,68.27929147,5.598667748,13.6,17.01209199,20.74732132,30.38596458,71.19645447,11.51512228,16.86473605,,
