40gp_no,40gp_requisitioner,40gp_gene_bank_id,40gp_genus,40gp_species,40gp_tax_name,40gp_family,40gp_order,40gp_functional_group,40gp_ciat_id,40gp_set_ciat,40gp_batch,40gp_run,40gp_replication,40gp_ch4_8h_percentage,40gp_ch4_24h_percentage,40gp_net_gas_8h_ml,40gp_net_gas_24h_ml,40gp_gas_ml_g_dm_incubated_24h,40gp_percentage_dmd_truly_digestibility,40gp_part_fact,40gp_ch4_percentage_in_gas_8h,40gp_ch4_percentage_in_gas_24h,40gp_ch4_ml_g_dm_incubated_24h,40gp_ch4_ml_g_dmd_24h,40gp_ch4_ml_g_ndf_digested_in_24h,40gp_ch4_g_g_dm_incubated_24h,40gp_ch4_g_g_dmd_24h,40gp_remarks,40gp_remarks_2
No,Requisitioner,Gene Bank ID,Genus,Species,Tax Name,Family,Order,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,CH4 8h %,"CH4 24h, %","Net gas 8h, ml","Net gas 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 % in gas, h8","CH4 % in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h",Remarks,Remarks2
464,Breeding,ABC-PM21_6628,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,F24 3601,5,14,2,2,18.5,21.6,14.8681135,49.93650621,105.7267627,60.8948752,5.759646246,18.5,20.67700487,21.86112788,35.89978271,84.55235797,12.13330419,19.92500051,"Embolo duro 0h, despues de una hora de haber finalizado el llenado se obserba que la jeringa forza la subida del embolo, lo que ocasiona que se pierda liquido por la parte de arriba del embolo.",
465,Breeding,ABC-PM21_6628,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,F24 3601,5,14,2,3,18.1,21.7,44.07333645,80.91174268,171.3082726,59.92095222,3.497843467,18.1,19.7390484,33.81462284,56.43205188,135.9042328,18.76770071,31.32076512,,
466,Breeding,ABC-BH08_1149,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3602,5,14,2,1,17,19.6,40.97581281,76.04420552,161.5747523,58.31244972,3.609007526,17,18.19901077,29.40500657,50.42663568,108.7388532,16.32028739,27.98765523,Muestra en el feed,
467,Breeding,ABC-BH08_1149,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3602,5,14,2,2,17.5,19.3,38.76329592,83.56676294,177.5582891,58.18496486,3.276950074,17.5,18.46505163,32.78622975,56.34828488,121.816805,18.19692475,31.27427299,,
468,Breeding,ABC-BH08_1149,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3602,5,14,2,3,17.7,19.3,41.86081956,84.00926632,178.4984971,57.92999513,3.245405203,17.7,18.502739,33.02711105,57.01210742,123.8854081,18.33061804,31.64270599,"Embolo duro 0h, despues de una hora de haber finalizado el llenado se obserba que la jeringa forza la subida del embolo, lo que ocasiona que se pierda liquido por la parte de arriba del embolo. Muestra en manguera 8h",
469,Breeding,ABC-BH16_0550,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3603,5,14,2,1,16.3,19.9,40.97581281,86.66428659,181.9868722,58.6738461,3.224070252,16.3,18.19788103,33.1177545,56.4438105,118.9846777,18.38092672,31.32729136,"Embolo duro 0h, despues de una hora de haber finalizado el llenado se obserba que la jeringa forza la subida del embolo, lo que ocasiona que se pierda liquido por la parte de arriba del embolo.",
470,Breeding,ABC-BH16_0550,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3603,5,14,2,2,16.9,19.8,40.53330943,85.77927983,180.1284411,56.06996242,3.112776754,16.9,18.42966211,33.19706305,59.20650135,131.579062,18.42494434,32.86063258,,
471,Breeding,ABC-BH16_0550,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3603,5,14,2,3,17.1,20.2,42.30332294,88.4343001,185.7037346,55.46098962,2.986530656,17.1,18.71708782,34.75833108,62.67167484,141.1748156,19.2914751,34.78386382,,
472,Breeding,ABC-BH16_0562,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3604,5,14,2,1,17,20.2,41.41831619,86.66428659,180.8618593,55.31893747,3.058629258,17,18.67066633,33.76811427,61.04259376,135.5524151,18.74188764,33.87969564,Muestra en manguera,
473,Breeding,ABC-BH16_0562,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3604,5,14,2,2,16.3,19.7,44.95834321,90.20431361,188.24963,56.90500041,3.022847929,16.3,18.00542065,33.89513775,59.56442757,127.9180354,18.81238787,33.05928783,,
474,Breeding,ABC-BH16_0562,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3604,5,14,2,3,17,19.6,40.09080605,84.89427308,177.167974,57.0719544,3.221347126,17,18.37216575,32.54959385,57.03255512,122.0709042,18.06558773,31.65405482,,
475,Breeding,ABC-BH16_3249,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3605,5,14,2,1,17.1,20.1,42.74582632,87.10678997,180.7163415,59.10859426,3.270794094,17.1,18.62781306,33.66350226,56.95195882,117.074454,18.68382617,31.60932248,,
476,Breeding,ABC-BH16_3249,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3605,5,14,2,2,16.1,19.7,43.1883297,91.53182375,189.89675,58.92187551,3.102837489,16.1,18.00137781,34.18403142,58.01585766,119.6617882,18.97272886,32.19980474,,
477,Breeding,ABC-BH16_3249,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3605,5,14,2,3,16.9,19.7,41.41831619,87.99179672,182.5524232,59.71024355,3.270854612,16.9,18.38202162,33.55682592,56.19944572,114.3115923,18.62461895,31.19166468,,
478,Breeding,ABC-BH16B_0733,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3606,5,14,2,1,17.5,20.5,43.1883297,88.4343001,182.7872169,58.35142681,3.19231442,17.5,19.03490118,34.79336609,59.62727562,127.9824605,19.31092014,33.09416958,Muestra en manguera 8h,
479,Breeding,ABC-BH16B_0733,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3606,5,14,2,2,16.7,20.4,44.07333645,86.22178321,178.2141066,57.87603367,3.247556255,16.7,18.508699,32.98511257,56.99269711,123.490493,18.30730815,31.63193293,,
480,Breeding,ABC-BH16B_0733,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3606,5,14,2,3,17.1,20.3,40.09080605,84.89427308,175.4702405,59.55024431,3.393751792,17.1,18.78881939,32.96878656,55.36297449,116.1491957,18.29824694,30.72740868,,
481,Breeding,ABC-BH16B_0741,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3607,5,14,2,1,17.6,21.1,44.07333645,89.31930686,184.5572904,60.01778682,3.251986779,17.6,19.37297498,35.75423769,59.57273599,139.1161017,19.8442205,33.06389914,,
482,Breeding,ABC-BH16B_0741,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3607,5,14,2,2,16.5,20.6,42.30332294,87.10678997,179.9856458,57.66224557,3.203713569,16.5,18.60883922,33.49323944,58.08521522,143.4678631,18.58932736,32.23829938,,
483,Breeding,ABC-BH16B_0741,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3607,5,14,2,3,16.7,20.7,41.41831619,87.10678997,179.9856458,59.83182303,3.324255263,16.7,18.7980442,33.83378124,56.54813698,132.6032735,18.77833395,31.38519436,Muestra en manguera 8H,
484,Breeding,ABC-BH16B_1194,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3608,5,14,2,1,17.3,19.8,28.14321484,76.92921227,158.2280001,59.85126493,3.782596309,17.3,18.88541846,29.88201995,49.92713185,108.1705912,16.58503806,27.71042197,"Embolo duro, muestra en manguera 8H",
485,Breeding,ABC-BH16B_1194,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3608,5,14,2,2,16.3,19.8,48.94087361,98.6118778,202.8249056,57.79446498,2.84947575,16.3,18.06295715,36.63617577,63.39045752,143.2886005,20.3337114,35.18280064,,
486,Breeding,ABC-BH16B_1194,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3608,5,14,2,3,16.3,19.8,47.1708601,97.28436766,200.0944828,61.3321609,3.065160021,16.3,18.10293382,36.22297179,59.06032212,124.4527695,20.10437604,32.77950058,Muestra en manguera 8h,
487,Breeding,ABC-BH16B_1618,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3609,5,14,2,1,17.5,20.5,38.32079254,81.35424605,167.7931567,54.68686847,3.259183483,17.5,19.08689149,32.02649774,58.563415,151.9848219,17.77526033,32.50370853,,
488,Breeding,ABC-BH16B_1618,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3609,5,14,2,2,16.5,20.7,41.41831619,82.68175619,170.5311467,58.15186897,3.41004386,16.5,18.59606636,31.71208521,54.53321754,129.2410108,17.60075594,30.26687922,,
489,Breeding,ABC-BH16B_1618,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3609,5,14,2,3,17,6.6,37.87828916,80.02673592,165.0551666,55.86249364,3.3844741,17,11.52253249,19.01853519,34.04526714,85.48503954,10.55561607,18.89571228,"Cambio de filtro, taponamiento manguera de jeringa",
490,Breeding,ABC-BH16B_1707,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3610,5,14,2,1,16.5,20,45.40084659,97.28436766,200.881262,59.40431432,2.95718544,16.5,18.3666136,36.89508519,62.108427,131.817281,20.47741061,34.47125153,,
491,Breeding,ABC-BH16B_1707,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3610,5,14,2,2,16,19.7,46.28585334,99.93938793,206.3635798,58.78484811,2.848605754,16,17.98638477,37.11734749,63.14101114,135.6127578,20.60077003,35.04435359,Contiene liquido de la solucion en la parte del embolo,
492,Breeding,ABC-BH16B_1707,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3610,5,14,2,3,16.6,19.7,44.51583983,95.51435415,197.2263835,57.97954203,2.939745738,16.6,18.25520037,36.00407149,62.09788872,135.5330349,19.98288258,34.4654026,,
493,Breeding,ABC-CIAT_16888,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3611,5,14,2,1,17,20.1,46.72835672,91.08932037,197.1079855,54.36339411,2.758051327,17,18.50971581,36.48412796,67.11157124,149.7611181,20.24932223,37.24808314,,
494,Breeding,ABC-CIAT_16888,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3611,5,14,2,2,16.5,20,46.72835672,91.08932037,197.1079855,52.56735888,2.666931974,16.5,18.20451785,35.88255841,68.26015074,159.0150305,19.91544072,37.88556463,"Embolo duro, muestra en manguera 8H",
495,Breeding,ABC-CIAT_16888,Urochloa,humidicola,Brachiaria humidicola,Poaceae,Poales,Grass,F24 3611,5,14,2,3,17.1,20.3,44.95834321,88.87680348,192.320325,52.91358254,2.751325558,17.1,18.68127956,35.92789756,67.89919683,156.81001,19.94060474,37.68522897,Muestra en la manguera,
496,Genetic bank,ABC-989-1,Indigofera,hirsuta,Indigofera hirsuta,Fabaceae,Fabales,Legume,F24 3426,5,14,2,1,16.3,18.8,29.47072498,51.26401635,110.9522725,71.92863383,6.482844581,16.3,17.36279672,19.26441753,26.78268236,76.96621859,10.69208502,14.86485208,,
497,Genetic bank,ABC-989-1,Indigofera,hirsuta,Indigofera hirsuta,Fabaceae,Fabales,Legume,F24 3426,5,14,2,2,16.1,18.4,28.14321484,49.93650621,108.0791018,51.82200379,4.794821839,16.1,17.10376606,18.48559674,35.6713276,375.4888275,10.25982601,19.79820397,,
498,Genetic bank,ABC-989-1,Indigofera,hirsuta,Indigofera hirsuta,Fabaceae,Fabales,Legume,F24 3426,5,14,2,3,15.8,18.6,28.58571822,49.49400283,107.1213783,52.01679353,4.855874183,15.8,16.98283415,18.19224602,34.97379362,355.4655467,10.09701129,19.41106054,,
499,Genetic bank,ABC-1257-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Legume,F24 3427,5,14,2,1,15.9,19.7,44.51583983,84.89427308,183.0907668,44.89652926,2.452146006,15.9,17.70740162,32.4206174,72.21185676,219.0355146,17.99400357,40.07882984,,
500,Genetic bank,ABC-1257-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Legume,F24 3427,5,14,2,2,16.1,20.1,44.95834321,85.33677646,184.0451101,55.67998733,3.025344563,16.1,17.99266269,33.11461587,59.47310237,129.4298433,18.37918472,33.00860076,Muestra en manguera 8h,
501,Genetic bank,ABC-1257-1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Legume,F24 3427,5,14,2,3,16.2,20.2,44.07333645,74.71669538,161.1408704,71.42383612,4.432384904,16.2,17.84050933,28.74835201,40.25036118,69.560024,15.95583274,22.33964683,,
502,Genetic bank,ABC-3240-1,Desmodium,cinereum,Desmodium cinereum,Fabaceae,Fabales,Browse,F24 3428,5,14,2,1,19.4,20.2,37.43578578,50.82151297,109.414167,53.58325041,4.897286326,19.4,19.61070962,21.45689458,40.0440332,216.2574322,11.90894772,22.22513123,,
503,Genetic bank,ABC-3240-1,Desmodium,cinereum,Desmodium cinereum,Fabaceae,Fabales,Browse,F24 3428,5,14,2,2,18.7,20.3,35.22326889,56.57405688,121.798879,49.49272053,4.063479149,18.7,19.30383262,23.51185173,47.50567656,403.1944634,13.04948449,26.36647239,,
504,Genetic bank,ABC-3240-1,Desmodium,cinereum,Desmodium cinereum,Fabaceae,Fabales,Browse,F24 3428,5,14,2,3,19.9,20.4,36.10827565,57.01656026,122.7515492,54.50900191,4.440595844,19.9,20.08335274,24.65262661,45.22670705,227.2618707,13.68263428,25.10160488,,
505,Genetic bank,ABC-3522-1,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Legume,F24 3429,5,14,2,1,17.9,20.9,25.0456912,40.2014319,86.12964984,31.95571526,3.710187528,17.9,19.03098514,16.39132086,51.29386318,-460.0774803,9.097466666,28.4689815,,
506,Genetic bank,ABC-3522-1,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Legume,F24 3429,5,14,2,2,17.2,20.7,25.93069795,40.64393527,87.07769222,36.3905915,4.179094619,17.2,18.46701143,16.08064738,44.18902445,1843.802843,8.925037506,24.52567309,Residuo de muestra en maguera 8h,
507,Genetic bank,ABC-3522-1,Desmodium,incanum,Desmodium incanum,Fabaceae,Fabales,Legume,F24 3429,5,14,2,3,17.1,20.8,25.48819458,39.31642514,84.23356509,34.59093158,4.106549632,17.1,18.40135059,15.50011363,44.8097606,-1671.145668,8.602831231,24.87019239,Residuo de muestra en maguera 8h,
508,Genetic bank,ABC-4134-1,Macroptilium,lathyroides,Macroptilium lathyroides,Fabaceae,Fabales,Climber,F24 3430,5,14,2,1,17.6,20.1,40.97581281,77.37171565,168.3588946,61.85516377,3.67400629,17.6,18.77600801,31.61107953,51.10499691,574.6103611,17.54469604,28.36415745,,
509,Genetic bank,ABC-4134-1,Macroptilium,lathyroides,Macroptilium lathyroides,Fabaceae,Fabales,Climber,F24 3430,5,14,2,2,17.7,20.9,49.82588037,85.33677646,185.6906653,55.37075921,2.981881675,17.7,19.03160487,35.33991371,63.82414511,-3594.751124,19.61426352,35.42350476,Residuo de muestra en maguera 8h,
510,Genetic bank,ABC-4134-1,Macroptilium,lathyroides,Macroptilium lathyroides,Fabaceae,Fabales,Climber,F24 3430,5,14,2,3,17.7,20.2,42.30332294,80.4692393,175.0990276,61.9639625,3.538795351,17.7,18.88573,33.06872959,53.36768059,589.4493198,18.35371705,29.61998604,,
511,Genetic bank,ABC-4279-1,Vigna,umbellata,Vigna umbellata,Fabaceae,Fabales,Climber,F24 3431,5,14,2,1,17.7,20.4,35.66577227,74.71669538,164.0829484,63.67703427,3.880783159,17.7,19.11116375,31.35816095,49.24563669,190.026309,17.40432186,27.33218036,,
512,Genetic bank,ABC-4279-1,Vigna,umbellata,Vigna umbellata,Fabaceae,Fabales,Climber,F24 3431,5,14,2,2,18.1,20.8,45.40084659,84.89427308,186.4336017,63.45742747,3.403754843,18.1,19.35605942,36.08619872,56.86678481,221.6269784,20.02846462,31.56204942,,
513,Genetic bank,ABC-4279-1,Vigna,umbellata,Vigna umbellata,Fabaceae,Fabales,Climber,F24 3431,5,14,2,3,17.5,20.3,43.63083308,84.89427308,186.4336017,64.26997265,3.447338466,17.5,18.86095908,35.16316533,54.71165441,205.6933082,19.51616512,30.36591477,Residuo de muestra en maguera 8h,
514,Genetic bank,ABC-5124-1,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Fabaceae,Fabales,Climber,F24 3432,5,14,2,1,17.5,21.2,38.32079254,59.67158053,130.3016312,50.23469886,3.855262471,17.5,18.82387838,24.52782058,48.82645092,155.8030564,13.61336478,27.09952501,muestra en maguera 8h,
515,Genetic bank,ABC-5124-1,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Fabaceae,Fabales,Climber,F24 3432,5,14,2,2,17.7,21.1,36.9932824,60.11408391,131.2679021,50.86795631,3.875125259,17.7,19.00769231,24.95099893,49.05052362,152.3623328,13.84823608,27.22388924,muestra en maguera 8h,
516,Genetic bank,ABC-5124-1,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Fabaceae,Fabales,Climber,F24 3432,5,14,2,3,17.8,21.5,37.87828916,59.22907715,129.3353603,56.23972642,4.348364307,17.8,19.13376914,24.74672926,44.00222197,113.7892396,13.73486288,24.42199448,,
517,Genetic bank,ABC-5234-1,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,F24 3433,5,14,2,1,15.6,20.3,41.86081956,71.17666836,153.8418703,63.45057887,4.124402462,15.6,17.53580976,26.97741771,42.51721291,112.0389921,14.97293356,23.59778875,muestra en maguera 8h,
518,Genetic bank,ABC-5234-1,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,F24 3433,5,14,2,2,16.1,20.2,43.1883297,70.73416498,152.8854396,61.02980112,3.991864841,16.1,17.69665311,27.05560591,44.33179433,124.923037,15.01632937,24.60491284,,
519,Genetic bank,ABC-5234-1,Centrosema,brasilianum,Centrosema brasilianum,Fabaceae,Fabales,Climber,F24 3433,5,14,2,3,15.8,20.1,40.53330943,69.84915822,150.9725783,62.30503226,4.126910525,15.8,17.60471967,26.5782992,42.65835075,115.895175,14.75141589,23.6761227,,
520,Genetic bank,ABC-7292-1,Chamaecrista,desvauxii,Chamaecrista desvauxii,Fabaceae,Fabales,Legume,F24 3434,5,14,2,1,15.9,19.9,34.78076551,53.03402986,115.2212267,45.29417252,3.931061474,15.9,17.2767209,19.90644975,43.9492514,412.6371377,11.04842401,24.3925949,muestra en maguera 8h,
521,Genetic bank,ABC-7292-1,Chamaecrista,desvauxii,Chamaecrista desvauxii,Fabaceae,Fabales,Legume,F24 3434,5,14,2,2,16.4,19.8,32.12574525,51.26401635,111.3757122,46.6194527,4.185782678,16.4,17.66931377,19.67932406,42.21268787,320.0159453,10.92236532,23.42877209,muestra en maguera 8h,
522,Genetic bank,ABC-7292-1,Chamaecrista,desvauxii,Chamaecrista desvauxii,Fabaceae,Fabales,Legume,F24 3434,5,14,2,3,16.2,19.5,32.12574525,51.26401635,111.3757122,49.44382028,4.43937186,16.2,17.43198101,19.41499301,39.26677368,216.3507655,10.77565702,21.79373875,muestra en el pico de la manguera 8h,
523,Genetic bank,ABC-7317-1,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,F24 3435,5,14,2,1,16,19.2,39.20579929,68.52164809,148.2337273,67.74501291,4.570148382,16,17.36906684,25.74681518,38.00547682,128.7157038,14.28992787,21.09369717,muestra en maguera 8h,
524,Genetic bank,ABC-7317-1,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,F24 3435,5,14,2,2,16.4,19.2,40.09080605,69.84915822,151.1055464,71.92020574,4.759600654,16.4,17.59290466,26.58385471,36.96298478,109.9503783,14.75449929,20.51509605,,
525,Genetic bank,ABC-7317-1,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,F24 3435,5,14,2,3,16.6,19.5,32.12574525,53.91903661,116.6437176,74.53781368,6.390212452,16.6,17.77213787,20.73008232,27.81149767,77.36359485,11.50555434,15.43586238,,
526,Genetic bank,ABC-7322-1,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,F24 3436,5,14,2,1,17.4,20.3,41.41831619,83.56676294,187.0190398,73.65921545,3.938594463,17.4,18.86266878,35.27678203,47.89187859,166.4190721,19.57922435,26.5808212,,
527,Genetic bank,ABC-7322-1,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,F24 3436,5,14,2,2,17.2,20.4,41.86081956,83.56676294,187.0190398,76.52380375,4.091765408,17.2,18.79703468,35.15403377,45.93869103,146.0968235,19.51109694,25.49676831,,
528,Genetic bank,ABC-7322-1,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,F24 3436,5,14,2,3,17.1,20.4,43.63083308,84.4517697,188.9996491,76.94901607,4.07138407,17.1,18.69510086,35.33367504,45.91829349,144.2935241,19.61080096,25.48544732,Muestra en la manguera entre el click 8h,
529,Genetic bank,ABC-7339-1,Indigofera,lespedezioides,Indigofera lespedezioides,Fabaceae,Fabales,Legume,F24 3437,5,14,2,1,16.6,19.6,43.63083308,64.53911769,140.2399371,46.50210019,3.315895681,16.6,17.57188893,24.64280598,52.99288825,555.0278699,13.67718367,29.41196981,Muestra en la manguera 8h,
530,Genetic bank,ABC-7339-1,Indigofera,lespedezioides,Indigofera lespedezioides,Fabaceae,Fabales,Legume,F24 3437,5,14,2,2,17.3,19,38.76329592,59.22907715,128.7015124,55.08523196,4.280076506,17.3,17.88741128,23.02136885,41.79226996,176.7739639,12.77725801,23.19543288,,
531,Genetic bank,ABC-7339-1,Indigofera,lespedezioides,Indigofera lespedezioides,Fabaceae,Fabales,Legume,F24 3437,5,14,2,3,16.8,19.2,18.8506439,40.2014319,87.35549049,50.50031853,5.781012532,16.8,18.07462851,15.78918039,31.26550653,187.1168201,8.763268285,17.35289705,muestra en el pico de la manguera 8h,
532,Genetic bank,ABC-7469-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3438,5,14,2,1,17.6,19.7,45.84334997,87.10678997,189.0235772,66.42977269,3.514364381,17.6,18.59479299,35.14854288,52.91082817,130.3806979,19.50804941,29.36642505,,
533,Genetic bank,ABC-7469-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3438,5,14,2,2,17.6,19.6,47.1708601,82.68175619,179.4211603,58.55259589,3.263416411,17.6,18.45897779,33.11931213,56.56335407,173.5702232,18.38179123,31.39364011,,
534,Genetic bank,ABC-7469-1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,F24 3438,5,14,2,3,17.5,19.2,48.05586686,84.4517697,183.2621271,58.29219335,3.180809602,17.5,18.23264344,33.41353018,57.32076332,177.5349788,18.54508734,31.81401535,,
535,Genetic bank,ABC-7643-1,Desmanthus,pernambucanus,Desmanthus pernambucanus,Fabaceae,Fabales,Browse,F24 3439,5,14,2,1,17.1,20.2,29.91322836,49.93650621,106.3436309,41.35145175,3.888474694,17.1,18.34302171,19.5066353,47.17279436,234.0609635,10.82652007,26.18171701,,
536,Genetic bank,ABC-7643-1,Desmanthus,pernambucanus,Desmanthus pernambucanus,Fabaceae,Fabales,Browse,F24 3439,5,14,2,2,17.6,19.6,30.79823511,55.24654675,117.6517706,45.07821135,3.831494513,17.6,18.48506207,21.74800283,48.24504384,180.3203754,12.07051783,26.77683402,,
537,Genetic bank,ABC-7643-1,Desmanthus,pernambucanus,Desmanthus pernambucanus,Fabaceae,Fabales,Browse,F24 3439,5,14,2,3,17.5,20.2,29.91322836,53.47653324,113.8823907,45.58930981,4.0031922,17.5,18.68969797,21.28427487,46.68698639,169.300979,11.81314079,25.91208518,"Manguera rota cero horas, muestra en la manguera, 18.5 y se le adiciona el restante",
538,Genetic bank,ABC-7703-1,Aeschynomene,indica,Aeschynomene indica,Fabaceae,Fabales,Legume,F24 3440,5,14,2,1,16.7,19,41.86081956,70.73416498,153.8291383,56.63548135,3.68171349,16.7,17.63884892,27.13368929,47.90934702,113.4117343,15.059667,26.59051648,,
539,Genetic bank,ABC-7703-1,Aeschynomene,indica,Aeschynomene indica,Fabaceae,Fabales,Legume,F24 3440,5,14,2,2,16.4,18.8,41.86081956,68.96415147,149.979801,51.80753594,3.454300884,16.4,17.34321463,26.0113188,50.20759688,136.206348,14.43673195,27.86608491,Muestra en la manguera entre el click 8h,
540,Genetic bank,ABC-7703-1,Aeschynomene,indica,Aeschynomene indica,Fabaceae,Fabales,Legume,F24 3440,5,14,2,3,16.7,18.7,40.53330943,67.63664133,147.0927981,49.52404825,3.366857445,16.7,17.50143932,25.74335681,51.9815276,153.1111689,14.28800842,28.85064716,Muestra manguera cero horas,
541,Breeding,ABC-PM21_3534,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,F24 3597,5,15,3,1,17.8,21.4,37.55747421,73.99025234,152.0490764,53.74222143,3.534531266,17.8,19.57263892,29.7600167,55.37548674,141.8807147,16.51732415,30.73435319,,
542,Breeding,ABC-PM21_3534,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,F24 3597,5,15,3,2,17.7,21.2,37.55747421,74.43275572,153.0195988,55.51227297,3.627788427,17.7,19.43396086,29.73776895,53.56971956,130.7417319,16.50497626,29.73212117,,
543,Breeding,ABC-PM21_3534,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,F24 3597,5,15,3,3,18.1,21.3,38.44248097,75.76026585,155.624208,57.51983464,3.696072442,18.1,19.67624726,30.62100396,53.23555632,123.7062757,16.99518697,29.54665479,,
544,Breeding,ABC-PM21_3537,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,F24 3598,5,15,3,1,17.6,22.1,44.63752826,81.95531314,168.7037564,58.97440036,3.495737238,17.6,19.64904387,33.14867511,56.20858357,158.5148753,18.39808819,31.19673635,,
545,Breeding,ABC-PM21_3537,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,F24 3598,5,15,3,2,18.1,22.4,45.96503839,81.95531314,168.5689552,61.39311574,3.642017931,18.1,19.98832396,33.69410886,54.88255231,144.4193539,18.70081336,30.46076606,,
546,Breeding,ABC-PM21_3537,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,F24 3598,5,15,3,3,17.6,21.9,45.96503839,86.38034692,177.7415525,64.46417825,3.62684906,17.6,19.61186766,34.85843805,54.07412148,132.0305065,19.34703621,30.01207296,,
547,Breeding,ABC-PM21_3545,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,F24 3599,5,15,3,1,17.7,21.6,39.7699911,77.97278274,160.5529751,53.21747581,3.314636541,17.7,19.61080634,31.48573302,59.16427366,207.7566354,17.47512656,32.83719548,,
548,Breeding,ABC-PM21_3545,Megathyrsus,maximus,Megathyrsus maximus,Poaceae,Poales,Grass,F24 3599,5,15,3,2,17.3,21.5,40.65499786,77.97278274,160.4246354,58.11043979,3.622289036,17.3,19.3101206,30.97819056,53.30916557,154.5195848,17.19343172,29.5875092,,
