subset,no,requisitioner,id_lab,id,tax_order,family,genus,species,tax_name,functional_group,set_ciat,batch,run,replication,syrange,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,ch4_ml_g_ndf_digested_24h,methane_intensity,tddm
4,3,Genbank,F25-1728,CIAT-13262,Fabales,Fabaceae,Dendrolobium,triangulare,Dendrolobium triangulare,Shrub_Trees,27,58,1,1,183,27.84497973,48.65745158,3.424932507,6.94224025,12.3,16.9,102.3664983,-0.478196663,47.37891768,30.82641294
4,4,Genbank,F25-1728,CIAT-13262,Fabales,Fabaceae,Dendrolobium,triangulare,Dendrolobium triangulare,Shrub_Trees,27,58,1,2,184,,,,,13.8,17.7,,,,
4,5,Genbank,F25-1728,CIAT-13262,Fabales,Fabaceae,Dendrolobium,triangulare,Dendrolobium triangulare,Shrub_Trees,27,58,1,3,185,28.84497973,49.15745158,3.951762223,7.567382212,13.7,17.8,103.4597341,-0.301241039,65.21577414,24.4216506
4,6,Genbank,F25-1729,CIAT-13528,Fabales,Fabaceae,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Shrub_Trees,27,58,1,1,186,25.84497973,39.15745158,3.204777487,5.414647814,12.4,16.6,82.39706739,-0.129878029,58.70892202,19.4072251
4,7,Genbank,F25-1729,CIAT-13528,Fabales,Fabaceae,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Shrub_Trees,27,58,1,2,187,22.84497973,36.15745158,3.084072264,5.293942591,13.5,16.6,76.00830909,-0.159296905,45.95279388,24.21757002
4,8,Genbank,F25-1729,CIAT-13528,Fabales,Fabaceae,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Shrub_Trees,27,58,1,3,188,23.84497973,38.15745158,3.076002385,5.466185184,12.9,16.7,80.22863449,-0.189155084,43.07172885,26.68345582
4,9,Genbank,F25-1730,CIAT-13529,Fabales,Fabaceae,Dendrolobium,triangulare,Dendrolobium triangulare,Shrub_Trees,27,58,1,1,189,28.84497973,56.15745158,3.807537325,8.532594955,13.2,17.3,118.8654812,-0.406828154,65.71348684,27.48368609
4,10,Genbank,F25-1730,CIAT-13529,Fabales,Fabaceae,Dendrolobium,triangulare,Dendrolobium triangulare,Shrub_Trees,27,58,1,2,190,,,,,15.3,17.5,,,,
4,11,Genbank,F25-1730,CIAT-13529,Fabales,Fabaceae,Dendrolobium,triangulare,Dendrolobium triangulare,Shrub_Trees,27,58,1,3,191,26.34497973,52.65745158,3.503882304,8.108564878,13.3,17.5,111.5240389,-0.497105516,56.71818649,30.27821801
4,12,Genbank,F25-1731,CIAT-13710,Fabales,Fabaceae,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Shrub_Trees,27,58,1,1,192,,,,,13.3,16.6,,,,
4,13,Genbank,F25-1731,CIAT-13710,Fabales,Fabaceae,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Shrub_Trees,27,58,1,2,193,22.34497973,34.65745158,3.016572264,5.060442591,13.5,16.6,73.56179091,-0.143007838,83.45900071,12.86977608
4,14,Genbank,F25-1731,CIAT-13710,Fabales,Fabaceae,Dendrolobium,lanceolatum,Dendrolobium lanceolatum,Shrub_Trees,27,58,1,3,194,20.34497973,32.15745158,2.827952183,4.78882251,13.9,16.6,68.25544354,-0.157668623,63.14885702,16.09603528
4,15,Genbank,F25-1732,CIAT-22004,Fabales,Fabaceae,Dendrolobium,triangulare,Dendrolobium triangulare,Shrub_Trees,27,58,1,1,195,25.34497973,45.65745158,3.320192345,6.712375144,13.1,16.7,96.7806613,-0.229103435,80.13614978,17.7551631
