subset,id,no,requisitioner,id_lab,tax_order,family,genus,species,tax_name,functional_group,set_ciat,batch,run,replication,syrange,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,ch4_ml_g_ndf_digested_24h,methane_intensity,tddm
1,ABC-18813,1232,Genetic bank,F24-3488,Fabales,Fabaceae,Crotalaria,nitens,Crotalaria nitens,Herbaceous_legumes,7,19,1,1,161,27.31,54.58,3.65,9.01,13.41,16.45,118.83,-51.21,38.58,51.23
1,ABC-18848,1235,Genetic bank,F24-3489,Fabales,Fabaceae,Alysicarpus,rugosus,Alysicarpus rugosus,Herbaceous_legumes,7,19,1,1,164,32.97,53.64,4.77,9.06,14.5,16.9,113.58,-169.44,34.19,57.17
1,ABC-18862,1238,Genetic bank,F24-3490,Fabales,Fabaceae,Alysicarpus,rugosus,Alysicarpus rugosus,Herbaceous_legumes,7,19,1,1,167,32.72,59.3,4.98,10.29,15.2,17.3,127.37,203.33,44.91,49.62
1,ABC-18931,1241,Genetic bank,F24-3491,Fabales,Fabaceae,Tephrosia,linearis,Tephrosia linearis,Shrub_Trees,7,19,1,1,170,30.95,58.9,4.34,9.61,14.06,16.35,125.87,293.07,42.05,49.75
1,ABC-19038,1244,Genetic bank,F24-3492,Fabales,Fabaceae,Canavalia,sp.,Canavalia sp.,Shrub_Trees,7,19,1,1,173,33.95,69.37,5.0,12.23,14.78,17.6,153.76,-75.3,43.52,63.37
1,ABC-19118,1247,Genetic bank,F24-3493,Fabales,Fabaceae,Alysicarpus,rugosus,Alysicarpus rugosus,Herbaceous_legumes,7,19,1,1,176,35.18,69.18,5.51,12.23,15.71,17.7,148.82,451.56,44.5,59.74
1,ABC-19127,1250,Genetic bank,F24-3494,Fabales,Fabaceae,Alysicarpus,rugosus,Alysicarpus rugosus,Herbaceous_legumes,7,19,1,1,179,32.38,61.46,4.99,11.02,15.48,17.96,133.18,435.96,49.24,48.76
1,ABC-19128,1253,Genetic bank,F24-3495,Fabales,Fabaceae,Alysicarpus,rugosus,Alysicarpus rugosus,Herbaceous_legumes,7,19,1,1,182,31.15,60.03,4.71,10.61,15.19,17.68,129.47,275.49,49.01,46.81
1,ABC-19129,1256,Genetic bank,F24-3496,Fabales,Fabaceae,Alysicarpus,rugosus,Alysicarpus rugosus,Herbaceous_legumes,7,19,1,1,185,34.59,62.25,5.5,11.38,15.91,18.28,133.12,252.14,49.18,49.9
1,ABC-19133,1259,Genetic bank,F24-3497,Fabales,Fabaceae,Alysicarpus,rugosus,Alysicarpus rugosus,Herbaceous_legumes,7,19,1,1,188,36.85,65.88,5.75,11.92,15.61,18.06,141.43,-223.92,55.12,48.23
1,ABC-19137,1262,Genetic bank,F24-3498,Fabales,Fabaceae,Alysicarpus,rugosus,Alysicarpus rugosus,Herbaceous_legumes,7,19,1,1,191,37.39,67.9,5.72,11.96,15.31,17.59,144.72,578.79,48.49,53.2
1,ABC-19138,1265,Genetic bank,F24-3499,Fabales,Fabaceae,Alysicarpus,rugosus,Alysicarpus rugosus,Herbaceous_legumes,7,19,1,1,194,34.15,62.59,5.19,10.99,15.26,17.55,134.98,290.69,43.21,54.86
1,ABC-19139,1268,Genetic bank,F24-3500,Fabales,Fabaceae,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Herbaceous_legumes,7,19,1,1,197,30.61,56.94,4.38,9.83,14.24,17.2,120.28,239.14,39.74,52.41
1,ABC-19213,1649,Genetic bank,F24-3501,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,9,23,1,1,81,50.45,71.89,7.58,11.57,14.99,16.09,153.19,194.95,39.14,63.66
1,ABC-19421,1652,Genetic bank,F24-3502,Fabales,Fabaceae,Uraria,lagopodioides,Uraria lagopodioides,Herbaceous_legumes,9,23,1,1,84,41.01,56.9,5.8,8.61,14.13,15.13,120.89,-270.24,33.82,54.27
1,ABC-19566,1655,Genetic bank,F24-3503,Fabales,Fabaceae,Tephrosia,noctiflora,Tephrosia noctiflora,Shrub_Trees,9,23,1,1,87,45.23,68.65,6.99,11.18,15.42,16.28,146.32,595.67,37.31,64.11
1,ABC-19667,1658,Genetic bank,F24-3504,Fabales,Fabaceae,Indigofera,hirsuta,Indigofera hirsuta,Herbaceous_legumes,9,23,1,1,90,30.63,46.87,4.01,6.71,13.07,14.31,101.39,-324.21,32.52,44.81
1,ABC-19673,1661,Genetic bank,F24-3505,Fabales,Fabaceae,Alysicarpus,rugosus,Alysicarpus rugosus,Herbaceous_legumes,9,23,1,1,93,42.48,65.45,6.13,10.41,14.38,15.9,141.49,-505.48,43.95,51.27
1,ABC-19895,1887,Genetic bank,F24-3506,Fabales,Fabaceae,Aeschynomene ,americana,Aeschynomene americana,Herbaceous_legumes,10,26,1,1,111,37.07,75.15,5.25,11.73,14.14,15.62,160.96,100.81,38.27,67.43
1,ABC-20093,1890,Genetic bank,F24-3507,Fabales,Fabaceae,Canavalia ,sp.,Canavalia sp.,Herbaceous_legumes,10,26,1,1,114,39.24,73.92,5.77,11.79,14.71,15.94,156.59,162.04,37.98,65.75
1,ABC-20113,1893,Genetic bank,F24-3508,Fabales,Fabaceae,Canavalia ,sp.,Canavalia sp.,Herbaceous_legumes,10,26,1,1,117,38.5,78.2,5.01,11.81,13.02,15.11,165.17,203.42,38.26,65.3
1,ABC-20125,1896,Genetic bank,F24-3509,Fabales,Fabaceae,Coursetia ,caribaea,Coursetia caribaea,Herbaceous_legumes,10,26,1,1,120,32.16,63.55,4.97,10.81,15.43,17.01,135.87,-114.46,40.0,57.96
1,ABC-20298,1899,Genetic bank,F24-3510,Fabales,Fabaceae,Canavalia ,sp.,Canavalia sp.,Herbaceous_legumes,10,26,1,1,123,34.42,67.24,4.78,10.33,13.89,15.34,143.52,-380.08,39.36,56.36
1,ABC-20305,1902,Genetic bank,F24-3511,Fabales,Fabaceae,Canavalia ,sp.,Canavalia sp.,Herbaceous_legumes,10,26,1,1,126,40.66,68.91,5.16,10.22,12.71,14.72,147.24,523.12,35.46,62.07
1,ABC-20803,1905,Genetic bank,F24-3512,Fabales,Fabaceae,Canavalia ,sp.,Canavalia sp.,Herbaceous_legumes,10,26,1,1,129,35.35,68.27,4.88,10.92,13.8,15.98,146.13,344.33,42.61,55.7
