subset,no,requisitioner,id_lab,id,tax_order,family,genus,species,tax_name,functional_group,set_ciat,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm
2,1,Genetic bank,F24-3536,CIAT-32379,Fabales,Fabaceae,Desmanthus,pubescens,Desmanthus pubescens,Shrub_Trees,14,92.91,8.21,91.79,27.65,19.6,75.23
2,2,Genetic bank,F24-3536,CIAT-32379,Fabales,Fabaceae,Desmanthus,pubescens,Desmanthus pubescens,Shrub_Trees,14,92.97,8.28,91.72,27.65,18.3,74.02
2,3,Genetic bank,F24-3537,CIAT-32380,Fabales,Fabaceae,Desmanthus,pubescens,Desmanthus pubescens,Shrub_Trees,14,93.26,8.8,91.2,29.33,31.17,77.81
2,4,Genetic bank,F24-3537,CIAT-32380,Fabales,Fabaceae,Desmanthus,pubescens,Desmanthus pubescens,Shrub_Trees,14,93.34,8.73,91.27,29.33,30.62,78.73
2,5,Genetic bank,F24-3538,CIAT-33249,Fabales,Fabaceae,Desmodium,velutinum,Desmodium velutinum,Shrub_Trees,14,93.06,9.7,90.3,16.48,42.74,76.85
2,6,Genetic bank,F24-3538,CIAT-33249,Fabales,Fabaceae,Desmodium,velutinum,Desmodium velutinum,Shrub_Trees,14,93.2,9.65,90.35,16.48,42.76,81.63
2,7,Genetic bank,F24-3612,CIAT-398,Fabales,Fabaceae,Desmodium,incanum,Desmodium incanum,Herbaceous_legumes,14,91.74,17.66,82.34,17.84,37.04,49.71
2,8,Genetic bank,F24-3612,CIAT-398,Fabales,Fabaceae,Desmodium,incanum,Desmodium incanum,Herbaceous_legumes,14,91.83,17.27,82.73,18,38.67,51.75
2,9,Genetic bank,F24-3613,CIAT-438,Fabales,Fabaceae,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Herbaceous_legumes,14,93.67,15.42,84.58,21.03,39.27,59.05
2,10,Genetic bank,F24-3613,CIAT-438,Fabales,Fabaceae,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Herbaceous_legumes,14,93.7,13.53,86.47,21.03,37.07,61.34
2,11,Genetic bank,F24-3614,CIAT-442,Fabales,Fabaceae,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Herbaceous_legumes,14,93.91,16.37,83.63,17.82,30.15,55.15
2,12,Genetic bank,F24-3614,CIAT-442,Fabales,Fabaceae,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Herbaceous_legumes,14,93.97,18.92,81.08,17.82,30.52,55.49
2,13,Genetic bank,F24-3615,CIAT-466,Fabales,Fabaceae,Vigna,umbellata,Vigna umbellata,Herbaceous_legumes,14,92.8,18.93,81.07,16.36,18.24,45.8
2,14,Genetic bank,F24-3615,CIAT-466,Fabales,Fabaceae,Vigna,umbellata,Vigna umbellata,Herbaceous_legumes,14,92.72,17.6,82.4,16.36,19.22,44.39
2,15,Genetic bank,F24-3616,CIAT-715,Fabales,Fabaceae,Canavalia,ensiformis,Canavalia ensiformis,Herbaceous_legumes,14,90.61,18.58,81.42,20.82,18.29,42.01
2,16,Genetic bank,F24-3616,CIAT-715,Fabales,Fabaceae,Canavalia,ensiformis,Canavalia ensiformis,Herbaceous_legumes,14,90.63,18.75,81.25,20.82,18.63,41.45
2,17,Genetic bank,F24-3617,CIAT-887,Fabales,Fabaceae,Calopogonium,mucunoides,Calopogonium mucunoides,Herbaceous_legumes,14,92.19,12.14,87.86,21,25.68,42.58
2,18,Genetic bank,F24-3617,CIAT-887,Fabales,Fabaceae,Calopogonium,mucunoides,Calopogonium mucunoides,Herbaceous_legumes,14,92.17,13.26,86.74,21,26.14,45.67
2,19,Genetic bank,F24-3618,CIAT-923,Fabales,Fabaceae,Galactia,latisiliqua,Galactia latisiliqua,Herbaceous_legumes,14,92.77,15.71,84.3,18.23,16.43,45.43
2,20,Genetic bank,F24-3618,CIAT-923,Fabales,Fabaceae,Galactia,latisiliqua,Galactia latisiliqua,Herbaceous_legumes,14,92.88,15.71,84.3,18.23,15.86,47.98
2,21,Genetic bank,F24-3619,CIAT-3813,Fabales,Fabaceae,Desmodium,sequax,Desmodium sequax,Herbaceous_legumes,14,93.12,13.69,86.31,17.62,47.31,55.32
2,22,Genetic bank,F24-3619,CIAT-3813,Fabales,Fabaceae,Desmodium,sequax,Desmodium sequax,Herbaceous_legumes,14,93.08,13.95,86.05,17.62,46.41,54.59
2,23,Genetic bank,F24-3620,CIAT-5512,Fabales,Fabaceae,Centrosema,brasilianum,Centrosema brasilianum,Herbaceous_legumes,14,92.23,9.71,90.29,22.16,28.75,44.88
2,24,Genetic bank,F24-3620,CIAT-5512,Fabales,Fabaceae,Centrosema,brasilianum,Centrosema brasilianum,Herbaceous_legumes,14,92.31,9.91,90.09,22.16,28.6,47.89
2,25,Genetic bank,F24-3621,CIAT-5568,Fabales,Fabaceae,Centrosema,acutifolium,Centrosema acutifolium,Herbaceous_legumes,14,91.54,11.33,88.67,17.29,40.22,59.28
2,26,Genetic bank,F24-3621,CIAT-5568,Fabales,Fabaceae,Centrosema,acutifolium,Centrosema acutifolium,Herbaceous_legumes,14,91.62,12.37,87.63,17.29,37.9,57.59
2,27,Genetic bank,F24-3622,CIAT-5657,Fabales,Fabaceae,Centrosema,brasilianum,Centrosema brasilianum,Herbaceous_legumes,14,91.88,10.69,89.31,21.64,31.31,55.32
2,28,Genetic bank,F24-3622,CIAT-5657,Fabales,Fabaceae,Centrosema,brasilianum,Centrosema brasilianum,Herbaceous_legumes,14,91.79,10.64,89.36,21.64,30.34,52.68
2,29,Genetic bank,F24-3623,CIAT-5744,Fabales,Fabaceae,Centrosema,macrocarpum,Centrosema macrocarpum,Herbaceous_legumes,14,93.59,14.87,85.13,17.67,33.13,56.74
2,30,Genetic bank,F24-3623,CIAT-5744,Fabales,Fabaceae,Centrosema,macrocarpum,Centrosema macrocarpum,Herbaceous_legumes,14,93.6,14.86,85.14,17.67,34.35,57.08
2,31,Genetic bank,F24-3624,CIAT-7131,Fabales,Fabaceae,Eriosema,diffusum,Eriosema diffusum,Herbaceous_legumes,14,92.13,6.92,93.08,16.02,50.26,62.53
2,32,Genetic bank,F24-3624,CIAT-7131,Fabales,Fabaceae,Eriosema,diffusum,Eriosema diffusum,Herbaceous_legumes,14,92.29,7.26,92.74,16.02,49.29,61.2
2,33,Genetic bank,F24-3625,CIAT-7318,Fabales,Fabaceae,Canavalia,sp.,Canavalia sp.,Herbaceous_legumes,14,92.38,17.45,82.55,17.71,20.25,41.72
2,34,Genetic bank,F24-3625,CIAT-7318,Fabales,Fabaceae,Canavalia,sp.,Canavalia sp.,Herbaceous_legumes,14,92.44,17.19,82.81,17.71,21.54,40.79
2,35,Genetic bank,F24-3626,CIAT-7395,Fabales,Fabaceae,Galactia,striata,Galactia striata,Herbaceous_legumes,14,91.77,16.67,83.33,13.71,21.22,47.32
2,36,Genetic bank,F24-3626,CIAT-7395,Fabales,Fabaceae,Galactia,striata,Galactia striata,Herbaceous_legumes,14,91.68,16.65,83.35,13.71,20.33,48.63
2,37,Genetic bank,F24-3627,CIAT-7648,Fabales,Fabaceae,Canavalia,brasiliensis,Canavalia brasiliensis,Herbaceous_legumes,14,91.95,18.02,81.98,22.05,18.52,42.47
2,38,Genetic bank,F24-3627,CIAT-7648,Fabales,Fabaceae,Canavalia,brasiliensis,Canavalia brasiliensis,Herbaceous_legumes,14,92.02,18.01,81.99,22.05,17.47,39.31
2,39,Genetic bank,F24-3628,CIAT-7746,Fabales,Fabaceae,Crotalaria,paulina,Crotalaria paulina,Herbaceous_legumes,14,91.95,21.97,78.03,14.81,20.58,41.54
2,40,Genetic bank,F24-3628,CIAT-7746,Fabales,Fabaceae,Crotalaria,paulina,Crotalaria paulina,Herbaceous_legumes,14,92.17,22.93,77.07,14.81,21.44,44.58
2,41,Genetic bank,F24-3629,CIAT-7813,Fabales,Fabaceae,Indigofera,cryptantha,Indigofera cryptantha,Herbaceous_legumes,14,90.15,14.11,85.89,26.44,20.27,30.63
2,42,Genetic bank,F24-3629,CIAT-7813,Fabales,Fabaceae,Indigofera,cryptantha,Indigofera cryptantha,Herbaceous_legumes,14,90.13,10.54,89.46,26.44,21.53,30.76
2,43,Genetic bank,F24-3630,CIAT-7831,Fabales,Fabaceae,Tephrosia,rhodesica,Tephrosia rhodesica,Shrub_Trees,14,93.65,15.1,84.9,21.67,19.71,50.36
2,44,Genetic bank,F24-3630,CIAT-7831,Fabales,Fabaceae,Tephrosia,rhodesica,Tephrosia rhodesica,Shrub_Trees,14,93.54,19.31,80.69,21.67,18.83,53.57
2,45,Genetic bank,F24-3631,CIAT-7894,Fabales,Fabaceae,Canavalia,brasiliensis,Canavalia brasiliensis,Herbaceous_legumes,14,93.33,23.39,76.61,21.13,19.73,40.15
2,46,Genetic bank,F24-3631,CIAT-7894,Fabales,Fabaceae,Canavalia,brasiliensis,Canavalia brasiliensis,Herbaceous_legumes,14,93.38,20.14,79.86,21.19,18.52,41.69
2,47,Genetic bank,F24-3632,CIAT-7991,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,14,92.89,19.91,80.09,24.54,22.79,38.52
2,48,Genetic bank,F24-3632,CIAT-7991,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,14,93.03,26.14,73.86,24.54,23.69,39.7
2,49,Genetic bank,F24-3633,CIAT-8202,Fabales,Fabaceae,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Herbaceous_legumes,14,92.72,22.54,77.46,24.37,23.04,43.77
2,50,Genetic bank,F24-3633,CIAT-8202,Fabales,Fabaceae,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Herbaceous_legumes,14,92.59,12.49,87.51,24.37,22.94,48.17
2,51,Genetic bank,F24-3634,CIAT-9189,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,14,92.27,22.87,77.13,29.1,19.07,37.75
2,52,Genetic bank,F24-3634,CIAT-9189,Fabales,Fabaceae,Indigofera,suffruticosa,Indigofera suffruticosa,Herbaceous_legumes,14,92.18,25.3,74.7,29.1,21.3,41.06
2,53,Genetic bank,F24-3635,CIAT-9434,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,14,90.8,21.39,78.61,25.12,17.55,47.76
2,54,Genetic bank,F24-3635,CIAT-9434,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,14,90.73,12.24,87.76,25.12,17.34,47.59
2,55,Genetic bank,F24-3636,CIAT-11162,Fabales,Fabaceae,Stylosanthes,scabra,Stylosanthes scabra,Herbaceous_legumes,14,91.47,20.41,79.59,17.11,22.98,52.74
2,56,Genetic bank,F24-3636,CIAT-11162,Fabales,Fabaceae,Stylosanthes,scabra,Stylosanthes scabra,Herbaceous_legumes,14,91.44,24.2,75.8,17.11,23.01,50.05
2,57,Genetic bank,F24-3637,CIAT-13301,Fabales,Fabaceae,Desmodium,sequax,Desmodium sequax,Herbaceous_legumes,14,92.56,24.9,75.1,19.83,50.21,57.9
2,58,Genetic bank,F24-3637,CIAT-13301,Fabales,Fabaceae,Desmodium,sequax,Desmodium sequax,Herbaceous_legumes,14,92.58,16.76,83.24,19.83,51.79,59.52
2,59,Genetic bank,F24-3638,CIAT-15401,Fabales,Fabaceae,Centrosema,brasilianum,Centrosema brasilianum,Herbaceous_legumes,14,93.25,14.68,85.32,17.11,27.66,48.77
2,60,Genetic bank,F24-3638,CIAT-15401,Fabales,Fabaceae,Centrosema,brasilianum,Centrosema brasilianum,Herbaceous_legumes,14,93.2,20.62,79.38,17.11,29.51,50.51
2,61,LMF,F25-0017,Hohenheimer-Heustandard,Forage,Forage,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,14,91.34432784,9.990152095,90.0098479,0,0,0
2,61,LMF,F25-0017,Hohenheimer-Heustandard,Forage,Forage,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,15,91.34432784,9.990152095,90.0098479,0,0,0
2,61,LMF,F25-0017,Hohenheimer-Heustandard,Forage,Forage,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,16,91.34432784,9.990152095,90.0098479,0,0,0
2,61,LMF,F25-0017,Hohenheimer-Heustandard,Forage,Forage,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,17,91.34432784,9.990152095,90.0098479,0,0,0
2,61,LMF,F25-0017,Hohenheimer-Heustandard,Forage,Forage,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,18,91.34432784,9.990152095,90.0098479,0,0,0
2,61,LMF,F25-0017,Hohenheimer-Heustandard,Forage,Forage,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,19,91.34432784,9.990152095,90.0098479,0,0,0
2,61,LMF,F25-0017,Hohenheimer-Heustandard,Forage,Forage,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,20,91.34432784,9.990152095,90.0098479,0,0,0
2,61,LMF,F25-0017,Hohenheimer-Heustandard,Forage,Forage,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,21,91.34432784,9.990152095,90.0098479,0,0,0
2,62,LMF,F25-0017,Hohenheimer-Heustandard,Forage,Forage,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,14,91.32173565,10.12699803,89.87300197,0,0,0
2,62,LMF,F25-0017,Hohenheimer-Heustandard,Forage,Forage,Hohenheimer, Heustandard,Hohenheimer Heustandard,Forage,15,91.32173565,10.12699803,89.87300197,0,0,0
