subset,no,requisitioner,id_lab,id,tax_order,family,genus,species,tax_name,functional_group,set_ciat,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm
4,29,Genbank,F25-1742,CIAT-23932,Fabales,Fabaceae,Dendrolobium,triangulare,Dendrolobium triangulare,Shrub_Trees,27,95.12195122,7.292980244,92.70701976,18.84082731,48.77625445,63.45312053
4,30,Genbank,F25-1742,CIAT-23932,Fabales,Fabaceae,Dendrolobium,triangulare,Dendrolobium triangulare,Shrub_Trees,27,95.12195122,7.292980244,92.70701976,18.84082731,51.00824342,62.72901982
4,31,Genbank,F25-1743,CIAT-23933,Fabales,Fabaceae,Dendrolobium,triangulare,Dendrolobium triangulare,Shrub_Trees,27,93.64063594,7.329515172,92.67048483,17.58420593,47.91811618,63.09477967
4,32,Genbank,F25-1743,CIAT-23933,Fabales,Fabaceae,Dendrolobium,triangulare,Dendrolobium triangulare,Shrub_Trees,27,93.80185944,7.413383621,92.58661638,17.58420593,50.69885089,65.64371764
4,33,Genbank,F25-1744,CIAT-23934,Fabales,Fabaceae,Dendrolobium,triangulare,Dendrolobium triangulare,Shrub_Trees,27,94.13351989,8.161033383,91.83896662,22.61279649,42.44053698,58.9098312
4,34,Genbank,F25-1744,CIAT-23934,Fabales,Fabaceae,Dendrolobium,triangulare,Dendrolobium triangulare,Shrub_Trees,27,94.21,8.229643371,91.77035663,22.61279649,45.03347776,58.08359683
4,35,Genbank,F25-1745,CIAT-23936,Fabales,Fabaceae,Dendrolobium,triangulare,Dendrolobium triangulare,Shrub_Trees,27,94.06356186,7.745842852,92.25415715,19.26631303,48.06815266,61.64912252
4,36,Genbank,F25-1745,CIAT-23936,Fabales,Fabaceae,Dendrolobium,triangulare,Dendrolobium triangulare,Shrub_Trees,27,94.05356786,7.85209584,92.14790416,19.26631303,50.35119672,61.6620049
4,37,Genbank,F25-1746,CIAT-33119,Fabales,Fabaceae,Dendrolobium,triangulare,Dendrolobium triangulare,Shrub_Trees,27,95.21143657,7.427947681,92.57205232,17.30043112,41.53419899,60.2515628
4,38,Genbank,F25-1746,CIAT-33119,Fabales,Fabaceae,Dendrolobium,triangulare,Dendrolobium triangulare,Shrub_Trees,27,95.36278233,7.362790797,92.6372092,17.30043112,40.4207472,58.70516196
4,39,Genbank,F25-1747,CIAT-33383,Fabales,Fabaceae,Dendrolobium,sp.,Dendrolobium sp.,Shrub_Trees,27,94.55,9.569927656,90.43007234,14.84210098,46.50900028,60.21848759
4,40,Genbank,F25-1747,CIAT-33383,Fabales,Fabaceae,Dendrolobium,sp.,Dendrolobium sp.,Shrub_Trees,27,94.79312413,10.03923165,89.96076835,14.48579409,48.1671724,59.29749457
4,41,Genbank,F25-1748,CIAT-33402,Fabales,Fabaceae,Dendrolobium,triangulare,Dendrolobium triangulare,Shrub_Trees,27,94.58325005,6.906845339,93.09315466,20.08407391,45.1747339,59.82504626
4,42,Genbank,F25-1748,CIAT-33402,Fabales,Fabaceae,Dendrolobium,triangulare,Dendrolobium triangulare,Shrub_Trees,27,94.68053195,6.910298417,93.08970158,20.08407391,45.18846573,60.35775197
4,43,Genbank,F25-1749,CIAT-33508,Fabales,Fabaceae,Dendrolobium,umbellatum,Dendrolobium umbellatum,Shrub_Trees,27,93.71062894,8.660813979,91.33918602,22.60556623,44.31520343,57.85094085
4,44,Genbank,F25-1749,CIAT-33508,Fabales,Fabaceae,Dendrolobium,umbellatum,Dendrolobium umbellatum,Shrub_Trees,27,93.78186544,8.66974623,91.33025377,22.60556623,47.30812425,58.87193946
4,45,Genbank,F25-1750,CIAT-33515,Fabales,Fabaceae,Dendrolobium,triangulare,Dendrolobium triangulare,Shrub_Trees,27,93.40197941,8.22996707,91.77003293,20.96312701,50.95605371,63.08412086
4,46,Genbank,F25-1750,CIAT-33515,Fabales,Fabaceae,Dendrolobium,triangulare,Dendrolobium triangulare,Shrub_Trees,27,93.42,13.99192969,86.00807031,20.96312701,51.98593588,63.55105846
4,47,Genbank,F25-1751,CIAT-7353,Fabales,Fabaceae,Prosopis,juliflora,Prosopis juliflora,Shrub_Trees,27,94.57217113,9.845299072,90.15470093,30.48645396,28.99543989,47.11828276
4,48,Genbank,F25-1751,CIAT-7353,Fabales,Fabaceae,Prosopis,juliflora,Prosopis juliflora,Shrub_Trees,27,94.68106379,8.991442967,91.00855703,30.48645396,29.75949892,45.53066216
4,49,Genbank,F25-1752,CIAT-7976,Fabales,Fabaceae,Cassia,sp.,Cassia sp.,Shrub_Trees,27,93.40197941,8.058159435,91.94184056,25.58851827,38.50830267,49.5760496
4,50,Genbank,F25-1752,CIAT-7976,Fabales,Fabaceae,Cassia,sp.,Cassia sp.,Shrub_Trees,27,93.43328336,16.04890161,83.95109839,25.58851827,40.56961188,50.65553134
4,51,Genbank,F25-1753,CIAT-8018,Fabales,Fabaceae,Acacia,aroma,Acacia aroma,Shrub_Trees,27,93.76,17.69805515,82.30194485,23.53692406,57.85384616,71.12141109
