subset,no,requisitioner,id_lab,id,tax_order,family,genus,species,tax_name,functional_group,set_ciat,batch,run,replication,syrange,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,ch4_ml_g_ndf_digested_24h,methane_intensity,tddm
2,3,Genetic bank,F24-3536,ABC-32379,Fabales,Fabaceae,Desmanthus,pubescens,Desmanthus pubescens,Shrub_Trees,14,34,1,1,4,0.885006756,30.75398477,0.112395858,5.339467011,12.7,17.5,66.18029863,77.53634394,13.80420634,83.23649666
2,4,Genetic bank,F24-3536,ABC-32379,Fabales,Fabaceae,Desmanthus,pubescens,Desmanthus pubescens,Shrub_Trees,14,34,1,2,5,28.46771732,59.2217021,3.814674121,9.442653335,13.4,18.3,127.4152359,34.55416842,39.70956133,51.16104819
2,5,Genetic bank,F24-3536,ABC-32379,Fabales,Fabaceae,Desmanthus,pubescens,Desmanthus pubescens,Shrub_Trees,14,34,1,3,6,28.9102207,58.77919872,3.845059353,9.340951308,13.3,18.4,126.3873745,36.98492322,37.91405033,52.97499896
2,6,Genetic bank,F24-3537,ABC-32380,Fabales,Fabaceae,Desmanthus,pubescens,Desmanthus pubescens,Shrub_Trees,14,34,1,1,7,24.48518692,52.14164805,3.403440982,8.602855674,13.9,18.8,111.7273306,22.38737036,46.96225419,39.25259478
2,7,Genetic bank,F24-3537,ABC-32380,Fabales,Fabaceae,Desmanthus,pubescens,Desmanthus pubescens,Shrub_Trees,14,34,1,2,8,26.25520043,52.58415142,3.518196858,8.468039645,13.4,18.8,112.6304774,16.20638872,52.70349781,34.41474045
2,8,Genetic bank,F24-3537,ABC-32380,Fabales,Fabaceae,Desmanthus,pubescens,Desmanthus pubescens,Shrub_Trees,14,34,1,3,9,25.37019367,52.58415142,3.348865565,8.465089622,13.2,18.8,112.6755116,23.40030415,45.2953268,40.04541806
2,9,Genetic bank,F24-3538,ABC-33249,Fabales,Fabaceae,Desmodium,velutinum,Desmodium velutinum,Shrub_Trees,14,34,1,1,10,31.56524097,62.76172912,4.734786145,10.44374348,15.0,18.3,134.7291624,23.79350718,56.59453311,39.61397509
2,10,Genetic bank,F24-3538,ABC-33249,Fabales,Fabaceae,Desmodium,velutinum,Desmodium velutinum,Shrub_Trees,14,34,1,2,11,31.56524097,62.76172912,4.703220904,10.38098175,14.9,18.2,134.7561028,27.35497298,52.52386839,42.43608059
2,11,Genetic bank,F24-3538,ABC-33249,Fabales,Fabaceae,Desmodium,velutinum,Desmodium velutinum,Shrub_Trees,14,34,1,3,12,32.00774435,63.64673588,4.801161652,10.62273609,15.0,18.4,136.6836377,21.59489162,60.23666625,37.87179212
2,12,Genetic bank,F24-3612,ABC-398,Fabales,Fabaceae,Desmodium,incanum,Desmodium incanum,Herbaceous_legumes,14,34,1,1,13,26.25520043,56.56668183,3.780748862,9.448995883,14.4,18.7,123.2098147,-25.45845924,56.61180779,36.35492363
2,13,Genetic bank,F24-3612,ABC-398,Fabales,Fabaceae,Desmodium,incanum,Desmodium incanum,Herbaceous_legumes,14,34,1,2,14,24.9276903,54.35416494,3.714225854,9.275829561,14.9,18.9,118.3669924,-17.74940741,50.16664009,40.26572562
2,14,Genetic bank,F24-3612,ABC-398,Fabales,Fabaceae,Desmodium,incanum,Desmodium incanum,Herbaceous_legumes,14,34,1,3,15,24.9276903,55.23917169,3.639442783,9.338001286,14.6,18.8,120.2462008,-21.17807133,52.7618612,38.52636441
2,15,Genetic bank,F24-3613,ABC-438,Fabales,Fabaceae,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Herbaceous_legumes,14,34,1,1,16,28.02521394,53.0266548,4.147731664,8.747996782,14.8,18.4,113.202017,-4.266992338,50.15334259,37.23648396
2,16,Genetic bank,F24-3613,ABC-438,Fabales,Fabaceae,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Herbaceous_legumes,14,34,1,2,17,27.58271056,52.58415142,4.164989295,8.790255854,15.1,18.5,112.1676207,1.521649447,46.04645273,40.72095688
2,17,Genetic bank,F24-3613,ABC-438,Fabales,Fabaceae,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Herbaceous_legumes,14,34,1,3,18,28.9102207,54.35416494,4.191982001,8.899111685,14.5,18.5,115.9200834,1.293318704,46.76520844,40.58351319
2,18,Genetic bank,F24-3614,ABC-442,Fabales,Fabaceae,Centrosema,molle x acutifolium,Centrosema molle x acutifolium,Herbaceous_legumes,14,34,1,1,19,34.66276461,67.1867629,5.095426398,11.14489008,14.7,18.6,143.01326,-12.27826829,62.61387371,37.88766198
