subset,id,no,requisitioner,id_lab,tax_order,family,genus,species,tax_name,functional_group,set_ciat,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm
1,ABC-19139,259,Genetic bank,F24-3500,Fabales,Fabaceae,Alysicarpus,ovalifolius,Alysicarpus ovalifolius,Herbaceous_legumes,7,94.61,12.04,87.96,18.54,35.03,58.31
1,ABC-19213,311,Genetic bank,F24-3501,Fabales,Fabaceae,Clitoria,ternatea,Clitoria ternatea,Herbaceous_legumes,9,93.84,11.79,88.21,31.12,37.56,51.31
1,ABC-19421,313,Genetic bank,F24-3502,Fabales,Fabaceae,Uraria,lagopodioides,Uraria lagopodioides,Herbaceous_legumes,9,94.09,18.68,81.32,20.04,27.8,46.04
1,ABC-19566,315,Genetic bank,F24-3503,Fabales,Fabaceae,Tephrosia,noctiflora,Tephrosia noctiflora,Shrub_Trees,9,93.74,12.42,87.58,25.36,19.49,42.6
1,ABC-19667,317,Genetic bank,F24-3504,Fabales,Fabaceae,Indigofera,hirsuta,Indigofera hirsuta,Herbaceous_legumes,9,92.42,9.96,90.04,26.0,37.56,50.53
1,ABC-19673,319,Genetic bank,F24-3505,Fabales,Fabaceae,Alysicarpus,rugosus,Alysicarpus rugosus,Herbaceous_legumes,9,92.51,11.98,88.02,25.41,27.8,53.08
1,ABC-19895,321,Genetic bank,F24-3506,Fabales,Fabaceae,Aeschynomene ,americana,Aeschynomene americana,Herbaceous_legumes,10,93.36,11.41,88.59,25.26,25.71,62.06
1,ABC-20093,323,Genetic bank,F24-3507,Fabales,Fabaceae,Canavalia ,sp.,Canavalia sp.,Herbaceous_legumes,10,94.36,12.87,87.13,24.07,16.58,50.41
1,ABC-20113,325,Genetic bank,F24-3508,Fabales,Fabaceae,Canavalia ,sp.,Canavalia sp.,Herbaceous_legumes,10,94.64,15.79,84.21,18.07,15.92,48.43
1,ABC-20125,327,Genetic bank,F24-3509,Fabales,Fabaceae,Coursetia ,caribaea,Coursetia caribaea,Herbaceous_legumes,10,93.5,13.24,86.76,20.44,18.08,44.23
1,ABC-20298,329,Genetic bank,F24-3510,Fabales,Fabaceae,Canavalia ,sp.,Canavalia sp.,Herbaceous_legumes,10,93.66,16.19,83.81,22.85,21.72,43.09
1,ABC-20305,331,Genetic bank,F24-3511,Fabales,Fabaceae,Canavalia ,sp.,Canavalia sp.,Herbaceous_legumes,10,93.54,18.34,81.66,23.35,19.38,39.7
1,ABC-20803,333,Genetic bank,F24-3512,Fabales,Fabaceae,Canavalia ,sp.,Canavalia sp.,Herbaceous_legumes,10,93.38,15.93,84.06,22.07,15.58,49.53
1,ABC-21031,335,Genetic bank,F24-3513,Fabales,Fabaceae,Christia ,obcordata,Christia obcordata,Herbaceous_legumes,10,94.06,19.67,80.33,20.42,8.94,46.57
1,ABC-21128,337,Genetic bank,F24-3514,Fabales,Fabaceae,Crotalaria,pallida,Crotalaria pallida,Herbaceous_legumes,10,93.46,10.34,89.66,29.38,36.54,43.84
