,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,ch4_ml_g_NDF_digested_24h,methane_intensity,tddm
count,442.0,442.0,442.0,442.0,442.0,442.0,442.0,442.0,442.0,442.0
mean,33.84599547511312,69.58009049773756,4.737239819004524,10.833076923076922,13.903823529411763,15.558054298642533,72.15192307692308,45.66233031674208,54.285203619909495,48.98101809954751
std,6.218865054563649,12.735239448134278,1.1103381771003362,2.2385394773829335,1.4380916416190404,1.6198385509936897,61.88891928900123,286.3553745054609,26.659679919405583,12.179161400954937
min,16.45,21.15,1.86,2.52,5.08,9.14,5.28,-1583.5,24.79,11.35
25%,29.9925,62.752500000000005,3.99,9.8375,12.862499999999999,14.325,21.71,-9.497499999999999,41.385000000000005,41.675
50%,33.474999999999994,71.89,4.625,10.97,13.78,15.4,25.715,16.439999999999998,47.39,50.39
75%,37.5125,78.535,5.4375,11.96,14.705,16.375,141.115,107.93,54.9725,57.974999999999994
max,55.63,96.71,8.67,16.13,19.38,22.66,191.39,4102.07,316.34,75.03
