id_lab,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
F24-3646,ABC-18865,Alysicarpus rugosus,Herbaceous_legumes,14.34,15.09,45.67,51.17
F25-0979,ABC-18873,Alysicarpus ferrugineus,Herbaceous_legumes,15.73,16.3,63.06,37.6
F24 3491,ABC-18931,Tephrosia linearis,Shrub_Trees,14.06,16.35,42.05,49.75
F24-3647,ABC-19032,Canavalia sp.,Herbaceous_legumes,13.27,15.33,45.7,59.15
F24 3492,ABC-19038,Canavalia sp.,Shrub_Trees,14.78,17.6,43.52,63.37
F24 3493,ABC-19118,Alysicarpus rugosus,Herbaceous_legumes,15.71,17.7,44.5,59.74
F24-3648,ABC-19119,Alysicarpus rugosus,Herbaceous_legumes,14.11,15.47,40.18,56.58
F24 3494,ABC-19127,Alysicarpus rugosus,Herbaceous_legumes,15.48,17.96,49.24,48.76
F24 3495,ABC-19128,Alysicarpus rugosus,Herbaceous_legumes,15.19,17.68,49.01,46.81
F24 3496,ABC-19129,Alysicarpus rugosus,Herbaceous_legumes,15.91,18.28,49.18,49.9
F24 3497,ABC-19133,Alysicarpus rugosus,Herbaceous_legumes,15.61,18.06,55.12,48.23
F24 3498,ABC-19137,Alysicarpus rugosus,Herbaceous_legumes,15.31,17.59,48.49,53.19
F24 3499,ABC-19138,Alysicarpus rugosus,Herbaceous_legumes,15.26,17.55,43.21,54.86
F24 3500,ABC-19139,Alysicarpus ovalifolius,Herbaceous_legumes,14.24,17.2,39.75,52.41
F24 3501,ABC-19213,Clitoria ternatea,Herbaceous_legumes,14.99,16.09,39.14,63.66
F24 3502,ABC-19421,Uraria lagopodioides,Herbaceous_legumes,14.13,15.13,33.82,54.27
F24 3503,ABC-19566,Tephrosia noctiflora,Shrub_Trees,15.42,16.28,37.32,64.11
F24-3546,ABC-1964,Stylosanthes guianensis,Herbaceous_legumes,12.98,14.09,70.95,34.83
F24 3504,ABC-19667,Indigofera hirsuta,Herbaceous_legumes,13.07,14.31,32.52,44.81
F24 3505,ABC-19673,Alysicarpus rugosus,Herbaceous_legumes,14.38,15.9,43.95,51.27
F25-0980,ABC-19867,Uraria lagopodioides,Herbaceous_legumes,15.8,16.79,65.82,42.37
