id_lab,id,tax_name,functional_group,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,methane_intensity,tddm
125319,19453,Cenchrus ciliaris,Grass,8.03,12.77,35.79,48.98
124766,19453,Cenchrus ciliaris,Grass,6.17,13.95,45.89,56.16
124767,19456,Cenchrus ciliaris,Grass,6.22,13.82,44.73,56.6
124709,19456,Cenchrus ciliaris,Grass,7.18,13.78,43.83,46.12
124768,19458,Cenchrus ciliaris,Grass,5.71,13.84,43.92,53.47
125320,19458,Cenchrus ciliaris,Grass,8.13,14.06,36.73,53.5
124769,19459,Cenchrus ciliaris,Grass,6.39,13.68,45.58,47.13
124710,19459,Cenchrus ciliaris,Grass,7.06,13.5,42.42,40.97
124770,19467,Cenchrus ciliaris,Grass,5.87,13.71,46.62,53.81
124711,19467,Cenchrus ciliaris,Grass,6.88,12.95,37.84,50.04
122854,19654,Codariocalyx gyroides,Shrub_Trees,4.25,8.27,17.82,56.89
122796,19978,Dolichos sp.,Herbaceous_legumes,6.63,13.34,37.01,73.33
122949,20145,Flemingia macrophylla    ,Shrub_Trees,7.99,10.47,26.17,42.2
122519,20351,Gliricidia sepium,Shrub_Trees,7.26,11.67,28.31,74.71
122497,20389,Gliricidia  sepium,Shrub_Trees,6.63,11.82,36.89,75.85
123723,20437,Glycin latifolia,Herbaceous_legumes,5.19,13.14,39.68,74.49
122942,20476,Glycine sp.,Herbaceous_legumes,8.76,14.01,38.03,80.58
122837,20578,Hyparrhenia hirta    ,Grass,5.64,11.59,29.31,59.69
123764,20669,Indigofera  hirsuta,Herbaceous_legumes,3.3,4.88,8.82,52.8
122810,21029,Lablab purpureus subsp. bengalensis,Herbaceous_legumes,7.07,12.71,41.37,78.73
124717,21065,Lablab purpureues,Herbaceous_legumes,6.9,13.0,38.76,67.83
123726,21083,Lablab purprues subsp. Uncinatus,Herbaceous_legumes,5.84,12.79,41.74,58.67
123970,21101,Lespedeza daurica,Herbaceous_legumes,5.71,11.37,27.97,56.15
122925,21121,Leucaena collinsii    ,Shrub_Trees,8.83,13.59,33.5,76.91
122510,21139,Leucaena greggii  ,Shrub_Trees,5.64,5.9,10.34,66.4
122518,21298,Leucaena leucocephala  ,Shrub_Trees,5.1,8.05,17.69,71.06
122515,21372,Leucaena  leucocephala,Shrub_Trees,5.1,9.27,22.32,77.39
122520,21375,Leucaena  leucocephala,Shrub_Trees,4.81,7.91,17.16,77.04
122972,2145,Stylosanthes fruticosa,Herbaceous_legumes,5.78,10.97,37.61,53.87
122517,21638,Leucaena leucocephala  ,Shrub_Trees,5.18,9.65,21.57,76.34
122514,21639,Leucaena leucocephala  ,Shrub_Trees,4.4,9.01,21.46,76.92
122841,21678,Leucaena  pallida,Shrub_Trees,2.93,4.24,6.06,66.47
122500,21679,Leucaena  pallida,Shrub_Trees,4.83,5.49,8.97,70.78
122852,21694,Leucaena pulverulenta ,Shrub_Trees,2.63,4.87,9.58,70.15
122940,21791,Listia  bainesii,Herbaceous_legumes,6.37,10.91,34.41,84.39
122773,21893,Macroptilium atropurpureum,Herbaceous_legumes,7.28,12.56,27.87,66.77
122507,2190,Neonotonia wightii  ,Herbaceous_legumes,9.26,14.37,42.84,68.53
122774,22059,Macroptilium lathyroides,Herbaceous_legumes,7.27,12.66,42.48,71.93
122495,22073,Macroptilium lathyroides,Herbaceous_legumes,8.76,12.96,34.56,78.36
123771,22191,Mucuna pruriens var. utilis  ,Herbaceous_legumes,5.49,9.85,26.86,67.68
122840,2263,Trifolium burchellianum  ,Herbaceous_legumes,5.09,10.33,28.11,68.76
122848,2274,Trifolium burchellianum,Herbaceous_legumes,3.51,8.79,21.3,67.45
122851,2275,Trifolium burchellianum,Herbaceous_legumes,4.33,9.38,29.58,60.3
124093,2277,Trifolium burchellianum,Herbaceous_legumes,5.94,12.94,43.88,82.58
123774,22990,Pueraria montana var. lobata  ,Herbaceous_legumes,6.07,13.46,36.68,65.36
122931,23018,Neustanthus  phaseoloides,Herbaceous_legumes,8.8,13.82,38.79,69.72
122941,23384,Rhynchosia sublobata    ,Herbaceous_legumes,6.0,8.54,22.66,55.81
122944,23415,Rhynchosia verdcourtii    ,Herbaceous_legumes,7.21,10.6,28.22,65.2
123776,23689,Sesbania sesban var. bicolor  ,Shrub_Trees,5.42,10.27,27.28,65.82
122954,23691,Sesbania sesban var. bicolor  ,Shrub_Trees,8.5,12.21,29.3,82.14
122498,23693,Sesbania sesban var.nubica  ,Shrub_Trees,6.63,12.32,32.99,82.1
124585,24,Desmanthus pubescens,Shrub_Trees,5.08,9.15,26.43,49.22
122976,24107,Teramnus labialis,Herbaceous_legumes,6.69,13.0,41.48,60.69
122779,24126,Teramnus labialis,Herbaceous_legumes,7.52,13.81,34.5,75.98
122780,24248,Teramnus repens,Herbaceous_legumes,5.12,12.14,31.92,68.82
122781,24324,Teramnus uncinatus,Herbaceous_legumes,7.3,13.6,38.04,70.09
122974,24339,Teramnus volubilis,Herbaceous_legumes,7.01,13.27,40.29,71.69
122961,24633,Chamaecrista rotundifolia    ,Herbaceous_legumes,7.84,12.16,37.92,69.24
122971,24645,Chamaecrista rotundifolia,Herbaceous_legumes,6.96,12.48,43.92,53.34
122964,24684,Clitoria ternatea,Herbaceous_legumes,6.09,12.5,35.48,63.69
122975,24686,Clitoria ternatea,Herbaceous_legumes,5.86,12.21,34.19,65.31
123701,248,Centrosema molle,Herbaceous_legumes,6.28,12.28,31.61,61.43
123777,24831,Leptospron adenanthum    ,Herbaceous_legumes,6.54,12.51,34.54,68.55
122811,24909,Vigna oblongifolia,Herbaceous_legumes,6.32,12.56,37.1,76.22
123904,24925,Vigna parkeri,Herbaceous_legumes,7.69,13.29,35.09,71.6
124745,25093,Vigna unguiculata,Herbaceous_legumes,7.63,13.49,42.92,77.1
124746,25120,Vigna unguiculata,Herbaceous_legumes,6.9,13.17,43.12,76.8
124747,25166,Vigna unguiculata,Herbaceous_legumes,6.44,12.83,38.66,76.11
124748,25335,Vigna unguiculata,Herbaceous_legumes,6.86,12.74,37.02,76.72
124749,25351,Vigna unguiculata,Herbaceous_legumes,6.57,12.99,42.31,80.42
124750,25357,Vigna unguiculata,Herbaceous_legumes,6.86,12.54,43.02,75.48
122977,325,Desmanthus virgatus,Shrub_Trees,6.48,11.94,35.55,45.75
122947,345,Desmanthus virgatus,Shrub_Trees,4.61,8.82,23.11,52.86
122985,448,Desmodium cinereum,Shrub_Trees,7.23,12.74,40.25,63.78
123703,5167,Vicia sativa,Herbaceous_legumes,7.57,14.06,46.52,57.18
122482,5281,Lathyrus cicera,Herbaceous_legumes,10.08,14.27,41.68,74.31
122483,5282,Lathyrus cicera,Herbaceous_legumes,10.46,14.71,41.8,78.29
123702,529,Glycin max,Herbaceous_legumes,7.36,12.77,51.54,62.68
122783,530,Glycine max,Herbaceous_legumes,7.8,12.8,35.08,78.56
122485,5327,Lathyrus Sativus,Herbaceous_legumes,10.04,14.86,41.17,81.76
122481,539,Crotalaria juncea,Herbaceous_legumes,10.11,13.66,41.76,72.02
124723,5450,Avena sativa,Grass,4.18,10.89,40.76,66.27
124724,5470,Avena sativa,Grass,4.72,11.52,42.46,58.64
124725,5500,Avena sativa,Grass,4.38,11.15,39.1,56.24
124726,5504,Avena sativa,Grass,4.48,11.06,39.42,62.77
122850,5656,Trifolium repens,Herbaceous_legumes,5.57,12.35,38.75,87.52
124094,6284,Trifolium burchellianum,Herbaceous_legumes,5.7,12.55,40.53,84.61
123868,6633,Chloris gayana,Grass,4.8,12.05,28.51,71.41
124751,6642,Cenchrus ciliaris,Grass,5.33,13.23,42.66,51.37
124699,6642,Cenchrus ciliaris,Grass,6.91,12.64,33.23,48.69
124700,6646,Cenchrus ciliaris,Grass,6.82,12.5,33.06,50.19
124752,6646,Cenchrus ciliaris,Grass,4.9,13.38,40.54,53.24
122968,6765,Desmodium uncinatum,Herbaceous_legumes,4.98,11.16,72.67,48.5
122786,6798,Vicia benghalensis,Herbaceous_legumes,8.85,12.76,35.17,70.48
122486,6871,Lupinus angstifolius,Herbaceous_legumes,7.58,11.37,33.89,85.39
122962,6984,Medicago sativa,Herbaceous_legumes,5.26,13.0,36.4,78.4
122765,6990,Desmodium sandwicense,Herbaceous_legumes,5.66,11.36,25.64,68.69
