id_lab,id,tax_name,functional_group,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml/g_dm_incubated_24h,ch4_ml/g_NDF_digested_24h,methane_intensity,tddm
F24 3455,ABC-8819,Coursetia caribaea,Herbaceous,30.66,63.85,4.95,11.49,15.99,17.87,139.09,725.23,38.36,65.65
F24 3582,ABC-BR02_1752,Brachiaria interespecifico,Grass,37.05,74.98,5.17,10.95,13.98,14.61,156.06,100.28,33.83,67.39
F24 3583,ABC-BR02_1794,Brachiaria interespecifico,Grass,38.62,76.6,5.32,11.11,13.79,14.51,157.75,116.14,35.77,63.97
F24 3584,ABC-BR06_0423,Brachiaria interespecifico,Grass,34.15,74.44,4.44,10.69,13.06,14.39,153.75,102.7,34.29,64.5
F24 3585,ABC-BR09_1232,Brachiaria interespecifico,Grass,39.81,81.29,5.48,11.69,13.76,14.37,167.08,108.2,36.04,66.64
F24 3586,ABC-BR12_4951,Brachiaria interespecifico,Grass,35.72,75.13,5.13,11.3,14.34,15.02,156.86,103.45,35.76,65.93
F24 3587,ABC-BR15_0722,Brachiaria interespecifico,Grass,31.69,71.09,4.53,10.48,14.28,14.74,149.27,105.0,36.15,60.89
F24 3588,ABC-BR15_6487,Brachiaria interespecifico,Grass,33.48,72.69,4.69,10.48,14.01,14.41,152.82,106.37,36.06,61.15
F24 3589,ABC-BR19_0029,Brachiaria interespecifico,Grass,36.69,76.53,5.1,11.37,13.94,14.86,159.25,117.48,38.23,62.0
F24 3590,ABC-BR19_0423,Brachiaria interespecifico,Grass,37.69,77.71,5.24,11.2,13.93,14.41,162.91,107.12,37.16,63.48
F24 3591,ABC-CIAT_6962,Megathyrsus maximus,Grass,31.3,68.88,4.63,10.93,14.82,15.87,143.8,98.89,40.73,56.51
F24 3592,ABC-Mulato_II,Brachiaria interespecifico,Grass,33.95,73.8,4.81,10.8,14.21,14.64,152.58,91.55,34.27,65.32
F24 3593,ABC-PM21_0215,Megathyrsus maximus,Grass,32.08,68.24,4.74,11.02,14.81,16.18,142.05,115.48,41.92,54.75
F24 3594,ABC-PM21_0631,Megathyrsus maximus,Grass,38.59,75.64,5.44,11.96,14.13,15.82,156.18,125.16,43.25,57.12
F24 3595,ABC-PM21_2195,Megathyrsus maximus,Grass,34.64,71.64,4.97,11.29,14.39,15.76,147.93,112.15,44.07,52.92
F24 3596,ABC-PM21_3522,Megathyrsus maximus,Grass,36.6,73.45,5.25,11.67,14.39,15.89,152.26,106.77,41.34,58.99
F24 3597,ABC-PM21_3534,Megathyrsus maximus,Grass,36.81,75.35,6.32,14.2,17.12,18.84,154.81,115.55,50.14,58.31
F24 3598,ABC-PM21_3537,Megathyrsus maximus,Grass,42.51,81.69,7.29,15.76,17.09,19.29,168.13,129.62,50.43,65.81
F24 3599,ABC-PM21_3545,Megathyrsus maximus,Grass,33.47,72.0,5.64,13.77,16.87,18.98,156.09,141.19,51.18,58.21
F24 3600,ABC-PM21_3670,Megathyrsus maximus,Grass,35.02,71.89,5.76,13.47,16.51,18.79,150.95,128.76,48.38,58.76
F24 3601,ABC-PM21_6628,Megathyrsus maximus,Grass,36.86,73.29,6.34,14.13,17.23,19.34,155.16,119.98,49.84,60.12
F24 3602,ABC-BH08_1149,Brachiaria humidicola,Grass,37.6,80.76,6.32,15.09,16.71,18.65,171.54,119.09,55.07,58.28
F24 3603,ABC-BH16_0550,Brachiaria humidicola,Grass,38.92,85.33,6.36,15.6,16.28,18.26,179.21,128.43,58.06,56.56
F24 3604,ABC-BH16_0562,Brachiaria humidicola,Grass,39.07,80.07,6.48,15.63,15.85,18.02,180.76,125.98,57.88,56.42
F24 3605,ABC-BH16_3249,Brachiaria humidicola,Grass,39.61,86.22,6.43,15.67,16.17,18.16,178.91,115.99,55.41,59.07
F24 3606,ABC-BH16B_0733,Brachiaria humidicola,Grass,38.14,82.14,6.36,15.25,16.61,18.55,169.84,119.57,54.65,57.87
F24 3607,ABC-BH16B_0741,Brachiaria humidicola,Grass,37.84,81.5,6.24,15.23,16.41,18.66,168.39,130.36,53.66,58.82
F24 3608,ABC-BH16B_1194,Brachiaria humidicola,Grass,39.76,87.64,6.33,15.75,15.93,17.98,180.29,127.72,56.09,57.89
F24 3609,ABC-BH16B_1618,Brachiaria humidicola,Grass,35.19,77.07,5.78,13.49,16.37,17.53,158.9,126.29,49.87,55.96
F24 3610,ABC-BH16B_1707,Brachiaria humidicola,Grass,40.01,89.41,6.37,16.1,15.83,17.95,184.66,130.17,58.33,56.99
F24 3611,ABC-CIAT_16888,Brachiaria humidicola,Grass,40.65,84.1,6.68,15.36,16.38,18.25,181.95,145.13,62.67,53.26
F24 3426,ABC-989,Indigofera hirsuta,Legume,24.89,43.03,3.73,6.9,14.92,15.99,93.13,49.86,29.71,50.48
F24 3427,ABC-1257,Stylosanthes scabra,Legume,34.23,70.83,5.01,11.62,14.53,16.4,152.7,93.2,43.29,58.67
F24 3428,ABC-3240,Desmodium cinereum,Browse,32.36,55.32,5.82,10.22,17.96,18.55,119.07,199.76,39.06,56.51
F24 3429,ABC-3522,Desmodium incanum,Legume,23.86,39.39,3.75,6.87,15.64,17.48,84.4,-521.27,39.25,37.71
F24 3431,ABC-4279,Vigna umbellata,Climber,36.19,73.74,6.05,13.23,16.66,17.91,161.93,114.4,41.87,70.2
F24 3434,ABC-7292,Chamaecrista desvauxii,Legume,28.77,51.11,4.19,8.17,14.51,16.05,111.04,249.39,36.64,48.53
F24 3437,ABC-7339,Indigofera lespedezioides,Legume,28.5,47.62,4.34,8.06,15.14,16.95,103.48,205.88,32.89,54.07
F24 3439,ABC-7643,Desmanthus pernambucanus,Browse,28.58,52.35,4.41,8.99,15.06,16.94,116.87,161.7,42.3,47.11
F24 3440,ABC-7703,Aeschynomene indica,Legume,34.95,65.78,5.35,10.67,15.23,16.22,143.02,100.78,40.57,57.76
F24 3453,ABC-8719,Canavalia sp.,Climber,35.73,65.97,5.12,10.94,14.29,16.47,141.01,239.5,34.19,69.74
F24 3456,ABC-9170,Indigofera lespedezioides,Herbaceous,28.1,44.6,4.25,7.44,15.12,16.69,95.77,468.12,38.2,42.54
F24 3457,ABC-9254,Crotalaria pallida,Herbaceous,31.49,68.2,5.74,14.2,18.25,20.76,150.13,222.84,52.29,59.58
F24 3458,ABC-9283,Crotalaria pallida,Herbaceous,32.82,67.76,5.95,14.12,18.13,20.82,145.95,254.6,50.83,60.12
F24 3459,ABC-9288,Indigofera suffruticosa,Herbaceous,39.46,68.94,7.65,15.62,19.38,22.66,147.0,168.5,49.11,68.02
F24 3460,ABC-9336,Clitoria ternatea,Climber,46.54,77.42,8.67,15.66,18.63,20.19,171.22,214.71,50.58,69.14
F24 3461,ABC-9349,Mucuna pruriens,Climber,30.09,59.72,5.22,11.06,17.35,18.52,130.61,295.65,43.23,56.47
F24 3462,ABC-9356,Tephrosia noctiflora,Shrub,32.3,59.94,6.04,12.28,18.7,20.48,128.77,375.49,49.48,53.77
F24 3463,ABC-9432,Clitoria ternatea,Climber,37.61,70.8,6.57,13.42,17.47,18.95,155.06,-897.64,54.34,55.34
F24 3464,ABC-9433,Clitoria ternatea,Climber,39.97,68.49,7.18,13.26,17.95,19.36,145.22,817.84,46.43,61.82
F24 3465,ABC-9435,Desmanthus pubescens,Shrub,27.95,48.29,4.49,9.13,16.03,18.91,102.04,938.76,44.69,43.26
F24 3466,ABC-9530,Crotalaria maypurensis,Herbaceous,47.13,83.98,8.02,16.13,17.02,19.21,179.98,-1583.5,51.12,68.2
F24 3467,ABC-9562,Eriosema diffusum,Herbaceous,19.25,33.54,3.21,6.04,16.7,18.01,71.37,-159.56,40.6,35.83
F24 3468,ABC-9982,Crotalaria incana,Herbaceous,45.21,84.8,7.72,16.11,17.05,19.0,180.65,178.64,47.26,72.64
F24 3469,ABC-10647,Stylosanthes scabra,Herbaceous,43.31,79.2,6.9,14.88,15.9,18.79,170.35,151.04,48.31,67.34
F24 3470,ABC-11194,Stylosanthes hamata,Herbaceous,33.85,70.41,5.14,12.69,15.17,18.03,151.51,184.66,46.12,59.25
F24 3471,ABC-11999,Stylosanthes guianensis,Herbaceous,34.49,78.23,4.5,12.75,12.98,16.25,167.21,139.83,46.61,58.55
F24 3472,ABC-12318,Stylosanthes hamata,Herbaceous,39.9,82.4,5.58,14.0,13.99,16.96,175.02,259.42,52.26,56.88
F24 3473,ABC-13575,Desmodium incanum,Herbaceous,25.6,51.93,3.49,8.46,13.6,16.23,110.26,502.53,42.43,42.85
F24 3474,ABC-13609,Desmodium incanum,Herbaceous,27.51,50.25,3.77,8.22,13.66,16.31,107.53,-1188.43,46.39,38.4
F24 3475,ABC-15551,Centrosema molle,Climber,32.77,65.88,4.86,11.58,14.79,17.49,140.48,290.19,50.03,49.72
F24 3476,ABC-17024,Desmanthus pernambucanus,Shrub,28.59,50.44,4.06,8.54,14.17,16.84,108.95,-1508.62,46.29,40.14
F24 3477,ABC-17091,Crotalaria micans,Herbaceous,41.67,87.22,6.32,15.26,15.17,17.46,184.37,212.3,48.83,66.12
F24 3478,ABC-17365,Clitoria ternatea,Climber,47.57,86.39,7.21,15.21,15.12,17.56,184.9,221.14,51.29,63.39
F24 3479,ABC-17451,Canavalia sp.,Climber,35.57,68.16,4.56,10.66,12.8,15.61,148.64,223.01,37.55,62.07
F24 3480,ABC-17775,Christia obcordata,Herbaceous,45.41,83.24,6.93,15.36,15.26,18.43,176.41,244.5,55.22,59.09
F24 3481,ABC-18016,Sesbania emerus,Shrub,31.79,61.95,4.53,9.94,14.23,15.96,132.84,612.91,42.47,50.31
F24 3482,ABC-18044,Christia sp.,Climber,36.65,70.55,5.52,12.7,15.28,18.25,150.62,250.94,47.47,58.33
F24 3483,ABC-18288,Sesbania exasperata,Shrub,39.46,73.75,5.8,12.35,14.9,16.94,159.19,-1024.53,48.91,55.66
F24 3484,ABC-18447,Clitoria ternatea,Climber,45.21,80.39,6.57,13.64,14.51,16.92,172.89,361.74,53.02,55.28
F24 3485,ABC-18455,Christia obcordata,Climber,40.14,81.32,6.18,15.16,15.41,18.53,174.41,301.16,54.18,59.86
F24 3486,ABC-18707,Crotalaria pallida,Herbaceous,36.7,69.77,5.88,15.02,16.06,21.49,150.03,4102.07,60.94,53.89
F24 3487,ABC-18749,Arachis pintoi,Herbaceous,24.41,64.46,2.86,10.25,11.69,15.84,139.0,193.52,36.23,61.11
F24 3488,ABC-18813,Crotalaria nitens,Herbaceous,27.31,54.58,3.65,9.01,13.41,16.45,118.83,-51.21,38.58,51.23
F24 3489,ABC-18848,Alysicarpus rugosus,Herbaceous,32.97,53.64,4.77,9.05,14.5,16.9,113.58,-169.44,34.2,57.17
F24 3490,ABC-18862,Alysicarpus rugosus,Herbaceous,32.72,59.3,4.98,10.29,15.2,17.3,127.37,203.33,44.91,49.62
F24 3491,ABC-18931,Tephrosia linearis,Shrub,30.95,58.9,4.34,9.61,14.06,16.35,125.87,293.07,42.05,49.75
F24 3492,ABC-19038,Canavalia sp.,Shrub,33.95,69.38,5.0,12.23,14.78,17.6,153.76,-75.3,43.52,63.37
F24 3493,ABC-19118,Alysicarpus rugosus,Climber,35.18,69.18,5.51,12.23,15.71,17.7,148.82,451.56,44.5,59.74
F24 3494,ABC-19127,Alysicarpus rugosus,Herbaceous,32.38,61.46,4.99,11.02,15.48,17.96,133.18,435.96,49.24,48.76
F24 3495,ABC-19128,Alysicarpus rugosus,Herbaceous,31.15,60.03,4.71,10.6,15.19,17.68,129.47,275.49,49.01,46.81
F24 3496,ABC-19129,Alysicarpus rugosus,Herbaceous,34.59,62.25,5.5,11.38,15.91,18.28,133.12,252.14,49.18,49.9
F24 3497,ABC-19133,Alysicarpus rugosus,Herbaceous,36.85,65.88,5.75,11.92,15.61,18.06,141.43,-223.92,55.12,48.23
F24 3498,ABC-19137,Alysicarpus rugosus,Herbaceous,37.39,67.9,5.72,11.96,15.31,17.59,144.73,578.79,48.49,53.19
F24 3499,ABC-19138,Alysicarpus rugosus,Herbaceous,34.15,62.59,5.19,10.99,15.26,17.55,134.98,290.69,43.21,54.86
F24 3500,ABC-19139,Alysicarpus ovalifolius,Herbaceous,30.61,56.93,4.38,9.83,14.24,17.2,120.28,239.14,39.75,52.41
F25-0017,Hohenheimer Heustandard,Hohenheimer Heustandard,Hohenheimer Heustandard,22.18,45.27,3.2,7.1,14.45,15.7,31.62,-14.24,88.39,45.44
F25 0990,ABC-PM21_0053,Megathyrsus maximus,Grass,34.66,72.78,5.09,11.94,14.63,16.41,151.89,141.09,49.04,51.43
F25 0991,ABC-PM21_3550,Megathyrsus maximus,Grass,32.84,66.14,4.82,10.99,14.62,16.61,136.77,172.84,50.76,45.11
F25 0992,ABC-PM21_3595,Megathyrsus maximus,Grass,31.96,67.27,4.75,10.94,14.84,16.26,140.27,170.26,50.56,45.29
F25 0993,ABC-PM21_0086,Megathyrsus maximus,Grass,34.86,69.24,5.18,11.48,14.82,16.59,141.97,189.58,51.77,45.63
F25 0994,ABC-CIAT_16048,Megathyrsus maximus,Grass,35.25,69.05,5.38,11.51,15.24,16.67,141.48,155.1,48.72,48.5
F25 0995,ABC-PM21_0185,Megathyrsus maximus,Grass,34.76,69.19,5.0,11.41,14.37,16.5,143.33,195.92,50.84,46.9
F25 0996,ABC-PM21_0215,Megathyrsus maximus,Grass,33.73,71.21,4.95,11.79,14.64,16.56,148.92,178.23,52.38,47.29
F25 0997,ABC-CIAT_16051,Megathyrsus maximus,Grass,35.25,69.48,5.28,11.73,14.93,16.89,144.4,212.21,53.87,45.79
F25 0998,ABC-PM21_6080,Megathyrsus maximus,Grass,32.2,64.81,4.86,10.91,15.08,16.84,134.46,-490.27,50.46,45.89
F25 0999,ABC-PM21_3684,Megathyrsus maximus,Grass,37.37,75.09,5.46,12.18,14.59,16.22,154.08,115.73,47.31,53.76
F25 1000,ABC-PM21_0076,Megathyrsus maximus,Grass,35.2,71.8,5.26,12.07,14.89,16.81,151.21,81.02,56.0,47.61
F25 1001,ABC-CIAT_6890,Megathyrsus maximus,Grass,34.66,73.91,4.99,11.98,14.33,16.21,153.66,104.95,47.38,52.75
F25 1002,ABC-PM21_6638,Megathyrsus maximus,Grass,33.58,67.81,4.75,10.78,14.13,15.91,141.67,152.59,45.83,49.71
F25 1003,ABC-PM21_0052,Megathyrsus maximus,Grass,33.83,70.08,4.83,11.35,14.21,16.2,146.81,164.15,47.43,50.41
F25 1004,ABC-PM21_4449,Megathyrsus maximus,Grass,29.7,65.7,4.34,10.77,14.56,16.39,136.64,199.67,52.89,42.72
F25 1005,ABC-CIAT_6799,Megathyrsus maximus,Grass,27.0,64.22,4.04,10.42,14.92,16.23,133.68,175.55,51.97,42.1
F25 1006,ABC-PM21_0055,Megathyrsus maximus,Grass,32.6,67.57,4.63,11.01,14.16,16.3,140.3,197.07,49.43,46.4
F25 1007,ABC-PM21_6529,Megathyrsus maximus,Grass,30.63,65.85,4.36,10.54,14.17,15.99,136.31,165.2,46.72,46.81
F25 1008,ABC-PM21_0047,Megathyrsus maximus,Grass,35.1,72.44,5.09,11.69,14.43,16.14,150.62,-90.3,50.93,48.46
F25 1009,ABC-PM21_2195,Megathyrsus maximus,Grass,34.17,71.35,4.89,11.37,14.26,15.93,147.06,233.06,49.68,47.86
F25 1010,ABC-PM21_2627,Megathyrsus maximus,Grass,29.85,64.12,4.28,10.24,14.24,15.97,131.64,154.9,43.9,47.9
F25 1011,ABC-PM21_0059,Megathyrsus maximus,Grass,33.73,69.68,4.82,11.42,14.2,16.38,142.81,282.6,48.85,49.0
F25 1012,ABC-PM21_3522,Megathyrsus maximus,Grass,32.7,66.83,4.52,10.45,13.74,15.62,137.5,152.24,50.63,43.41
F25 1013,ABC-PM21_0062,Megathyrsus maximus,Grass,35.01,72.83,4.91,11.52,13.96,15.8,148.33,177.35,51.57,45.37
F25 1014,ABC-PM21_0906,Megathyrsus maximus,Grass,32.84,66.83,4.53,10.41,13.73,15.55,137.1,142.26,43.95,48.6
F24 3501,ABC-19213,Clitoria ternatea,Climber,50.44,71.89,7.58,11.57,14.99,16.09,153.19,194.95,39.14,63.66
F24 3502,ABC-19421,Uraria lagopodioides,Herbaceous,41.01,56.9,5.8,8.61,14.13,15.13,120.89,-270.25,33.82,54.27
F24 3503,ABC-19566,Tephrosia noctiflora,Shrub,45.23,68.65,6.99,11.18,15.42,16.28,146.32,595.67,37.32,64.11
F24 3504,ABC-19667,Indigofera hirsuta,Herbaceous,30.63,46.87,4.01,6.71,13.07,14.31,101.39,-324.22,32.52,44.81
F24 3505,ABC-19673,Alysicarpus rugosus,Herbaceous,42.48,65.45,6.13,10.41,14.38,15.9,141.49,-505.48,43.95,51.27
F24-3506,ABC-19895,Aeschynomene americana,Herbaceous,37.07,75.15,5.25,11.73,14.14,15.62,160.96,-419.12,38.27,67.43
F24-3507,ABC-20093,Canavalia sp.,Climber,39.24,73.92,5.77,11.79,14.71,15.94,156.59,-309.06,37.98,65.75
F24-3508,ABC-20113,Canavalia sp.,Climber,38.5,78.2,5.01,11.81,13.02,15.1,165.17,-163.03,38.26,65.3
F24-3509,ABC-20125,Coursetia caribaea,Herbaceous,32.16,63.55,4.97,10.81,15.43,17.01,135.86,-109.43,40.0,57.96
F24-3510,ABC-20298,Canavalia sp.,Climber,34.42,67.23,4.78,10.33,13.89,15.34,143.52,-111.79,39.36,56.36
F24-3511,ABC-20305,Canavalia sp.,Climber,40.66,68.91,5.16,10.23,12.71,14.72,147.24,-155.89,35.46,62.07
F24-3512,ABC-20803,Canavalia sp.,Climber,35.35,68.27,4.88,10.92,13.8,15.98,146.13,-111.65,42.62,55.7
F24-3513,ABC-21031,Christia obcordata,Climber,34.52,60.94,4.76,9.52,13.8,15.58,129.5,-88.5,37.14,55.29
F24-3514,ABC-21128,Crotalaria pallida,Herbaceous,33.39,65.81,5.05,11.76,15.13,17.95,140.73,-153.59,47.37,53.1
F24-3515,ABC-21212,Canavalia sp.,Climber,39.44,77.07,5.27,12.46,13.34,16.14,164.44,-300.85,40.3,66.3
F24-3516,ABC-21263,Sesbania rostrata,Shrub,38.45,68.46,5.51,10.33,14.32,15.06,147.82,-179.87,37.31,60.43
F24-3517,ABC-21514,Desmanthus virgatus,Shrub,27.93,48.55,3.84,7.3,13.74,15.01,103.75,-38.55,46.93,35.54
