id_lab,id,tax_name,functional_group,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml/g_dm_incubated_24h,ch4_ml/g_NDF_digested_24h,methane_intensity,tddm
F24-3531,ABC-24360,Vigna umbellata,Climber,32.75,57.94,4.58,8.96,13.99,15.44,124.94,-86.14,37.12,52.16
F24-3532,ABC-24466,Vigna umbellata,Herbaceous,37.52,60.16,5.12,8.86,13.63,14.71,129.53,-82.4,31.71,61.87
F24-3533,ABC-32246,Chamaecrista nictitans,Herbaceous,33.19,55.68,4.48,8.77,13.48,15.7,121.6,-64.54,46.27,42.36
F24-3534,ABC-32365,Desmanthus virgatus,Shrub,25.62,39.51,3.31,5.83,12.9,14.73,89.89,-40.16,37.06,35.6
F24-3535,ABC-32373,Desmanthus pubescens,Shrub,28.32,43.44,3.49,6.16,12.34,14.13,94.05,-48.51,31.7,42.56
F25-0769,AMC-ICARDA-156302,Trifolium repens,Legume,37.76,86.99,6.03,14.09,15.97,16.19,191.39,-75.1,43.67,72.0
F24-3536,ABC-32379,Desmanthus pubescens,Shrub,29.23,58.2,3.66,8.58,12.53,14.73,18.45,36.37,36.5,52.51
F24-3537,ABC-32380,Desmanthus pubescens,Shrub,25.84,52.84,3.35,8.05,12.96,15.24,17.25,22.41,44.36,39.27
F24-3538,ABC-33249,Desmodium velutinum,Shrub,31.15,61.99,4.51,9.71,14.49,15.65,20.83,26.37,50.33,41.65
F24-3612,ABC-398,Desmodium incanum,Herbaceous,25.59,55.35,3.58,8.67,13.99,15.66,18.88,-22.33,49.86,37.94
F24-3613,ABC-438,Centrosema molle x acutifolium,Climber,27.8,51.32,4.01,8.03,14.41,15.63,17.13,-2.39,44.76,38.37
F24-3614,ABC-442,Centrosema molle x acutifolium,Climber,34.84,66.12,5.07,10.52,14.57,15.9,22.38,-2.5,52.27,43.3
F24-3615,ABC-466,Vigna umbellata,Climber,44.62,84.7,6.34,13.51,14.22,15.95,29.12,17.06,46.59,62.59
F24-3616,ABC-715,Canavalia ensiformis,Climber,37.49,72.02,5.21,11.11,13.9,15.43,24.51,-5.86,44.05,55.83
F24-3617,ABC-887,Calopogonium mucunoides,Climber,32.87,62.18,4.75,10.09,14.44,16.22,21.88,-7.01,41.52,52.78
F24-3618,ABC-923,Galactia latisiliqua,Climber,42.36,90.16,5.95,14.7,14.04,16.3,31.65,22.22,49.82,63.67
F24-3619,ABC-3813,Desmodium sequax,Herbaceous,19.89,34.94,2.72,5.25,13.71,15.03,11.27,-38.64,47.74,23.81
F24-3620,ABC-5512,Centrosema brasilianum,Climber,45.26,77.92,6.46,12.53,14.28,16.09,27.16,12.07,45.89,59.21
F24-3621,ABC-5568,Centrosema acutifolium,Climber,35.23,67.15,4.96,10.7,14.09,15.92,23.35,5.02,52.67,44.5
F24-3622,ABC-5657,Centrosema brasilianum,Climber,41.23,72.9,5.27,10.88,12.8,14.93,23.68,8.63,47.4,50.66
F24-3623,ABC-5744,Centrosema macrocarpum,Climber,33.95,59.04,4.8,9.46,14.14,16.01,20.19,-9.37,55.63,37.76
F24-3624,ABC-7131,Eriosema diffusum,Herbaceous,18.61,37.01,2.58,5.6,13.3,14.58,12.13,-24.38,55.01,23.05
F24-3625,ABC-7318,Canavalia sp.,Climber,40.05,81.75,5.07,12.32,12.68,15.06,26.64,-13.15,51.63,53.32
F24-3626,ABC-7395,Galactia striata,Climber,33.11,70.1,4.2,10.56,12.69,15.04,23.01,-6.04,51.12,49.13
F24-3627,ABC-7648,Canavalia brasiliensis,Climber,38.62,74.52,4.9,11.38,12.69,15.25,24.74,-17.63,52.12,51.9
F24-3628,ABC-7746,Crotalaria paulina,Herbaceous,38.08,72.31,4.9,10.73,12.88,14.83,23.29,1.97,41.13,57.79
F24-3629,ABC-7813,Indigofera cryptantha,Herbaceous,44.47,90.6,6.28,15.55,14.13,17.16,34.48,-24.64,58.94,61.74
F24-3630,ABC-7831,Tephrosia rhodesica,Shrub,38.43,73.54,5.73,12.93,14.91,17.57,27.61,6.82,54.47,51.58
F24-3631,ABC-7894,Canavalia brasiliensis,Climber,35.62,68.53,4.42,10.37,12.54,15.22,22.2,-23.08,45.98,49.64
F24-3632,ABC-7991,Indigofera suffruticosa,Herbaceous,30.66,64.0,4.52,10.75,14.83,16.73,23.12,-54.57,63.57,39.55
F24-3633,ABC-8202,Chamaecrista rotundifolia,Herbaceous,46.14,74.23,6.28,11.52,13.61,15.52,24.86,-4.86,48.87,51.8
F24-3634,ABC-9189,Indigofera suffruticosa,Herbaceous,36.85,68.25,5.6,11.92,15.22,17.47,25.84,-6.88,45.56,57.89
F24-3635,ABC-9434,Clitoria ternatea,Climber,41.72,82.24,6.21,13.39,14.89,16.28,29.49,-0.47,64.01,52.1
F24-3636,ABC-11162,Stylosanthes scabra,Herbaceous,44.47,85.2,5.53,12.69,12.44,14.9,27.75,8.39,59.15,52.92
F24-3637,ABC-13301,Desmodium sequax,Herbaceous,22.2,37.7,3.1,6.03,14.0,15.99,13.02,-35.94,98.6,20.19
F24-3638,ABC-15401,Centrosema brasilianum,Climber,42.9,71.03,5.91,11.14,13.79,15.68,23.89,-9.35,58.85,45.72
F25-0017,Hohenheimer Heustandard,Hohenheimer Heustandard,Forage,22.18,45.27,3.2,7.1,14.45,15.7,31.62,-14.24,88.39,45.44
F24-3639,ABC-17360,Alysicarpus vaginalis,Herbaceous,37.32,68.34,5.91,11.62,15.82,17.0,25.01,-0.65,40.0,62.7
F24-3640,ABC-17768,Clitoria ternatea,Climber,48.48,96.71,7.2,15.73,14.83,16.26,33.63,21.6,54.62,62.31
F24-3641,ABC-18004,Chamaecrista rotundifolia,Herbaceous,43.61,92.53,6.02,14.56,13.81,15.73,31.32,9.18,53.53,58.72
F24-3642,ABC-18430,Alysicarpus vaginalis,Herbaceous,42.43,78.86,6.53,13.2,15.38,16.74,28.48,5.75,46.1,62.24
F24-3644,ABC-18708,Crotalaria pallida,Herbaceous,44.0,80.49,6.63,13.82,15.06,17.16,29.73,6.4,49.94,59.88
F24-3645,ABC-18850,Alysicarpus rugosus,Herbaceous,37.07,71.34,5.67,11.37,15.3,15.94,24.2,-1.89,41.53,58.68
F24-3646,ABC-18865,Alysicarpus rugosus,Herbaceous,36.04,71.98,5.18,10.86,14.34,15.09,23.25,-18.32,45.67,51.17
F24-3647,ABC-19032,Canavalia sp.,Climber,37.81,80.83,5.02,12.39,13.27,15.33,26.81,-2.5,45.7,59.15
F24-3648,ABC-19119,Alysicarpus rugosus,Herbaceous,38.55,66.18,5.44,10.24,14.11,15.47,22.13,-4.97,40.18,56.58
F24-3650,ABC-20303,Canavalia brasiliensis,Climber,39.58,84.67,5.35,13.39,13.51,15.82,30.08,-25.2,52.89,58.61
F24-3651,ABC-20589,Uraria lagopodioides,Herbaceous,34.42,63.62,5.16,10.49,14.99,16.47,22.78,-16.66,41.75,55.03
F24-3652,ABC-21687,Desmanthus virgatus,Shrub,30.24,58.12,3.82,8.54,12.63,14.66,18.59,-13.86,42.42,45.4
F24-3653,ABC-22048,Aeschynomene americana,Herbaceous,52.31,86.73,7.01,12.73,13.39,14.67,28.47,-9.57,57.52,54.67
F24-3654,ABC-22156,Arachis pintoi,Herbaceous,43.04,91.27,5.4,13.15,12.54,14.41,29.31,-3.89,53.45,56.59
F24-3655,ABC-22507,Desmanthus subulatus,Shrub,30.96,54.95,3.82,7.76,12.33,14.13,17.25,-46.43,66.19,35.99
F24-3656,ABC-22510,Desmanthus bicornutus,Shrub,26.3,48.13,3.29,6.95,12.51,14.45,15.8,-63.33,66.14,29.98
F24-3657,ABC-22598,Lablab purpureus,Climber,35.6,65.49,5.36,10.38,15.02,15.85,23.34,-16.45,54.86,47.11
F24-3658,ABC-22784,Desmanthus bicornutus,Shrub,28.71,53.0,3.68,7.92,12.84,14.94,17.09,-51.02,51.82,37.08
F24-3659,ABC-25113,Centrosema brasilianum,Climber,40.17,66.18,5.87,10.38,14.63,15.7,22.6,-4.41,55.26,43.93
F24-3660,ABC-33114,Dendrolobium sp.,Shrub,25.03,44.0,3.43,6.73,13.69,15.27,14.74,-34.26,58.31,26.15
F24-3662,ABC-43477,Desmodium cinereum,Shrub,33.48,57.18,5.11,9.15,15.27,16.01,20.07,-76.71,72.97,32.23
F24-3539,ABC-172,Stylosanthes hamata,Herbaceous,33.18,72.81,4.39,10.61,13.22,14.59,23.26,18.02,123.41,29.33
F24-3540,ABC-1467,Stylosanthes hamata,Herbaceous,34.86,77.58,4.59,11.53,13.24,14.9,24.89,28.34,111.33,30.52
F24-3541,ABC-1475,Stylosanthes hamata,Herbaceous,34.71,72.23,4.6,10.71,13.28,14.85,23.58,17.22,114.49,27.32
F24-3542,ABC-1650,Stylosanthes guianensis,Herbaceous,32.45,70.06,4.19,9.95,12.89,14.16,21.67,41.47,57.45,39.43
F24-3543,ABC-1706,Stylosanthes humilis,Herbaceous,35.94,71.93,4.67,10.4,13.0,14.48,22.44,32.67,119.18,32.95
F24-3544,ABC-1727,Stylosanthes humilis,Herbaceous,36.78,73.8,4.31,10.47,11.83,14.23,22.72,36.99,64.29,36.15
F24-3545,ABC-1803,Stylosanthes humilis,Herbaceous,32.71,65.49,4.82,10.14,14.73,15.49,22.06,8.54,141.13,29.01
F24-3546,ABC-1964,Stylosanthes guianensis,Herbaceous,29.45,67.21,3.84,9.5,12.98,14.09,21.22,18.28,70.95,34.83
F24-3547,ABC-2613,Stylosanthes guianensis,Herbaceous,28.17,56.3,3.28,6.87,11.55,12.15,14.95,10.2,88.62,30.9
F25-1701,CIAT-BR12_1362,Brachiaria interespecifico,Grasses,26.87,78.02,3.26,10.73,11.96,13.75,23.2,38.24,36.67,64.41
F25-1702,CIAT-BR12_2462,Brachiaria interespecifico,Grasses,23.92,73.55,3.13,9.63,12.94,13.07,20.12,25.41,35.78,56.21
F25-1703,CIAT-BR12_3868,Brachiaria interespecifico,Grasses,19.25,64.8,2.18,8.78,11.08,13.51,18.64,18.8,33.46,55.88
F25-1704,CIAT-BR15_2558,Brachiaria interespecifico,Grasses,27.9,74.39,3.43,10.2,12.19,13.73,21.86,25.73,38.25,57.33
F25-1705,CIAT-BR15_2811,Brachiaria interespecifico,Grasses,24.56,73.21,2.97,9.65,11.99,13.19,20.6,22.61,36.8,56.83
F25-1706,CIAT-BR15_2891,Brachiaria interespecifico,Grasses,25.99,73.5,3.43,10.32,13.08,14.06,22.0,23.48,40.25,54.93
F25-1707,CIAT-BR19_1343,Brachiaria interespecifico,Grasses,22.84,69.33,2.73,9.22,11.84,13.31,19.58,16.17,39.18,50.61
F25-1708,CIAT-CIAT_26110,Brachiaria interespecifico,Grasses,26.33,76.06,3.53,11.04,13.28,14.5,23.5,23.0,48.13,49.44
F25-1709,CIAT-CIAT_26646,Brachiaria interespecifico,Grasses,25.3,73.85,2.97,10.16,11.56,13.74,21.7,16.03,45.13,49.08
F25-1710,CIAT-CIAT_6297,Brachiaria interespecifico,Grasses,26.38,74.14,3.44,10.59,12.91,14.27,22.25,14.83,50.2,47.27
F25-1711,CIAT-BR12_4400,Brachiaria interespecifico,Grasses,31.79,79.75,3.98,11.15,12.41,13.98,23.73,18.87,46.5,53.36
F25-1712,CIAT-BR15_3434,Brachiaria interespecifico,Grasses,30.8,79.21,4.1,11.24,13.16,14.18,23.74,12.12,49.11,50.69
F25-1713,CIAT-BR15_3811,Brachiaria interespecifico,Grasses,35.67,79.95,4.55,10.97,12.68,13.72,22.77,13.74,48.25,49.7
F25-1714,CIAT-BR15_6547,Brachiaria interespecifico,Grasses,26.63,69.67,3.28,9.56,12.37,13.83,20.18,14.91,41.87,50.44
F25-1715,CIAT-BR15_7121,Brachiaria interespecifico,Grasses,32.03,80.04,3.86,11.28,11.98,14.1,23.78,7.5,50.81,47.76
F25-1716,CIAT-BR15_8887,Brachiaria interespecifico,Grasses,33.26,83.49,4.15,11.91,12.41,14.27,25.12,11.79,55.78,47.56
F25-1717,CIAT-BR19_4678,Brachiaria interespecifico,Grasses,37.58,81.31,4.83,11.29,12.79,13.9,24.34,3.18,51.68,47.83
F25-1718,CIAT-BR19_5029,Brachiaria interespecifico,Grasses,33.2,75.98,4.37,10.95,13.11,14.43,22.89,17.62,45.62,51.34
F25-1719,CIAT-BR19_5357,Brachiaria interespecifico,Grasses,31.28,77.08,4.03,10.97,12.81,14.24,23.2,11.77,49.66,48.47
F25-1720,CIAT-BR19_5381,Brachiaria interespecifico,Grasses,27.79,70.49,3.45,9.89,12.34,14.04,20.9,13.7,46.28,47.56
F25-1721,CIAT-BR02_0465,Brachiaria interespecifico,Grasses,28.28,75.07,3.46,10.6,12.13,14.13,21.88,14.16,51.44,43.68
F25-1722,CIAT-BR04_3025,Brachiaria interespecifico,Grasses,31.48,85.24,4.25,12.47,13.46,14.64,26.01,24.03,54.31,48.78
F25-1723,CIAT-BR05_1435,Brachiaria interespecifico,Grasses,21.01,65.72,2.63,9.37,12.36,14.27,19.49,11.18,45.58,43.49
F25-1724,CIAT-BR09_3660,Brachiaria interespecifico,Grasses,31.43,73.2,4.07,10.39,12.86,14.23,21.59,8.36,52.53,44.62
F25-1725,CIAT-BR19_1264,Brachiaria interespecifico,Grasses,30.84,74.92,3.8,10.6,12.4,14.3,22.02,3.12,49.0,45.45
F25-1726,CIAT-BR19_5217,Brachiaria interespecifico,Grasses,31.04,75.66,3.95,10.7,12.66,14.17,22.24,11.42,51.82,46.22
F25-1727,CIAT-CIAT_26124,Brachiaria interespecifico,Grasses,29.91,75.07,4.06,10.77,13.51,14.35,22.42,13.35,53.17,43.79
F25-2076,ILRI-15551,Leucaena diversifolia,Tree,27.35,65.18,2.72,7.63,9.98,11.71,15.78,6.71,38.02,43.5
F25-2122,ILRI-15551,Leucaena diversifolia,Tree,23.51,48.07,2.36,5.6,10.08,11.66,12.28,-9.48,29.6,43.22
F25-0929,ABC-15474,Centrosema molle,Climber,29.46,56.04,3.84,7.63,13.15,13.56,16.12,5.4,35.27,47.0
F25-0930,ABC-15470,Centrosema molle,Climber,30.78,57.8,4.24,8.44,13.77,14.6,17.91,6.75,40.38,45.55
F25-0931,ABC-13268,Tadehagi triquetrum,Herbaceous,21.73,42.65,2.44,5.52,11.21,12.93,11.71,-20.5,30.9,38.94
F25-0932,ABC-22768,Lablab purpureus,Climber,54.92,93.93,7.78,14.76,14.17,15.71,31.33,27.68,49.54,64.18
F25-0933,ABC-22770,Lablab purpureus,Climber,50.25,95.85,7.08,14.99,14.1,15.64,32.08,22.53,47.68,68.75
F25-0934,ABC-18701,Cajanus cajan,Shrub,23.55,47.08,3.14,7.11,13.36,15.11,15.0,-14.45,54.17,31.2
F25-0935,ABC-20891,Cajanus cajan,Shrub,26.16,45.26,3.38,6.54,12.92,14.44,13.72,-30.93,47.98,29.51
F25-0936,ABC-5172,Centrosema molle,Climber,30.43,54.96,4.0,7.84,13.16,14.26,16.74,-4.38,50.12,35.41
F25-0937,ABC-5452,Centrosema macrocarpum,Climber,40.81,64.93,5.2,9.34,12.74,14.37,19.7,-26.38,56.12,36.16
F25-0938,ABC-5733,Centrosema macrocarpum,Climber,40.26,66.64,5.31,9.81,13.21,14.72,20.58,-17.18,48.62,43.99
F25-0939,ABC-5735,Centrosema macrocarpum,Climber,45.14,73.33,6.27,11.22,13.9,15.3,23.86,5.15,47.18,51.89
F25-0940,ABC-5749,Centrosema plumieri,Climber,42.87,77.22,5.47,11.58,12.76,14.97,24.86,12.94,59.19,46.65
F25-0941,ABC-5911,Centrosema macrocarpum,Climber,46.17,76.43,6.05,11.43,13.1,14.96,23.97,-10.32,61.94,41.46
F25-0942,ABC-13692,Desmodium velutinum,Shrub,35.79,60.55,5.54,10.27,15.48,16.96,21.64,-7.33,56.63,40.73
F25-0943,ABC-15121,Centrosema macrocarpum,Climber,40.37,69.79,5.49,10.58,13.6,15.17,22.53,-10.3,59.58,44.38
F25-0944,ABC-15150,Centrosema molle,Climber,33.48,66.25,4.51,9.44,13.48,14.24,20.27,10.15,48.67,43.89
F25-0945,ABC-15154,Centrosema molle,Climber,26.8,53.03,3.6,7.53,13.42,14.17,15.94,0.05,50.54,34.19
F25-0946,ABC-15561,Centrosema molle,Climber,33.19,51.45,4.44,8.23,13.26,14.73,18.77,20.93,45.05,43.99
F25-0947,ABC-15799,Centrosema macrocarpum,Climber,36.0,57.61,4.77,8.1,13.26,14.06,17.45,11.93,37.78,47.56
F25-0948,ABC-15816,Centrosema acutifolium,Climber,40.17,68.86,5.43,10.33,13.39,14.86,21.26,-4.66,47.5,46.2
F25-0949,ABC-20304,Canavalia brasiliensis,Climber,46.51,84.69,6.33,14.38,13.52,16.93,30.49,26.48,47.76,65.02
F25-0950,ABC-21603,Lablab purpureus,Climber,47.84,90.39,6.63,14.0,13.82,15.45,29.46,11.23,56.99,53.44
F25-0951,ABC-23248,Desmodium velutinum,Shrub,43.81,76.09,6.2,12.36,14.16,16.2,25.88,-11.5,49.94,53.11
F25-0952,ABC-23271,Desmodium velutinum,Shrub,43.22,69.01,5.97,11.08,13.81,16.05,23.3,-2.39,45.15,53.06
F25-0953,ABC-23279,Desmodium velutinum,Shrub,44.25,75.84,6.38,12.44,14.41,16.41,26.61,-16.85,59.41,46.68
F25-0954,ABC-23326,Desmodium velutinum,Shrub,38.25,66.74,5.45,10.99,14.26,16.47,22.92,-33.69,53.1,46.52
F25-0955,ABC-33255,Desmodium velutinum,Shrub,40.62,62.27,6.11,10.35,15.04,16.62,21.79,-16.61,49.46,47.06
F25-0956,ABC-33428,Desmodium velutinum,Shrub,31.86,55.83,4.62,8.88,14.39,15.82,18.3,5.52,35.5,52.17
F25-0957,ABC-33451,Desmodium velutinum,Shrub,28.52,51.7,3.72,7.2,13.04,13.92,15.0,-23.63,43.3,43.25
F25-0958,ABC-33463,Desmodium velutinum,Shrub,35.25,57.94,5.12,9.44,14.49,16.29,19.61,-6.33,36.56,57.77
F25-0959,ABC-350,Desmodium heterocarpon,Herbaceous,24.02,47.61,2.98,6.39,12.3,13.37,13.46,-14.13,32.84,41.39
F25-0960,ABC-3187,Desmodium cajanifolium,Shrub,42.6,79.96,5.47,11.58,12.83,14.49,24.62,17.34,35.08,70.3
F25-0961,ABC-4028,Galactia glaucescens,Herbaceous,19.69,41.07,2.23,5.49,11.34,13.36,11.61,-6.2,40.58,30.53
F25-0962,ABC-5277,Centrosema acutifolium,Climber,41.52,79.91,5.51,11.96,13.27,14.97,26.16,30.64,46.87,57.08
F25-0963,ABC-7227,Galactia texana,Climber,32.47,62.26,3.39,7.17,10.43,11.52,15.4,-16.8,31.16,51.21
F25-0964,ABC-8013,Crotalaria paulina,Herbaceous,45.26,88.17,5.97,12.79,13.2,14.51,27.28,42.36,44.51,64.81
F25-0965,ABC-8156,Chamaecrista rotundifolia,Herbaceous,42.01,60.39,6.07,9.76,14.43,16.16,20.74,12.11,44.88,48.38
F25-0966,ABC-9323,Crotalaria vitellina,Herbaceous,55.63,96.53,8.15,15.19,14.66,15.74,32.86,22.03,51.69,64.57
F25-0967,ABC-9537,Crotalaria sagittalis,Herbaceous,38.23,84.97,5.21,12.47,13.62,14.68,27.16,27.96,43.17,63.64
F25-0968,ABC-9690,Aeschynomene histrix,Herbaceous,44.87,81.63,6.4,12.69,14.26,15.55,27.05,16.74,48.01,58.38
F25-0969,ABC-9900,Pueraria phaseoloides,Climber,25.84,60.69,3.63,8.92,14.1,14.7,19.22,-5.05,53.98,41.75
F25-0970,ABC-11998,Stylosanthes guianensis,Herbaceous,30.7,65.21,3.43,7.79,11.18,11.95,16.46,7.28,44.53,41.12
F25-0971,ABC-13149,Desmodium strigillosum,Herbaceous,32.62,57.39,4.34,8.26,13.32,14.4,17.62,-50.93,108.91,25.02
F25-0972,ABC-13389,Desmodium sequax,Herbaceous,23.72,33.74,3.04,4.6,12.72,13.54,9.7,-37.53,48.91,21.43
F25-0973,ABC-13651,Desmodium heterocarpon,Herbaceous,26.03,50.46,3.42,7.07,13.13,14.0,14.86,-32.08,133.49,26.57
F25-0974,ABC-13946,Desmodium sequax,Herbaceous,16.45,21.15,1.86,2.52,11.36,11.89,5.28,-45.73,129.27,11.35
F25-0975,ABC-15160,Centrosema molle,Climber,28.64,56.21,3.87,8.0,13.49,14.23,16.92,-12.26,69.41,30.56
F25-0976,ABC-17000,Chamaecrista rotundifolia,Herbaceous,38.72,71.11,1.96,6.5,5.08,9.14,13.73,-24.13,41.66,39.43
F25-0977,ABC-17009,Canavalia brasiliensis,Climber,44.37,85.37,6.16,13.99,13.86,16.38,29.46,-32.34,64.86,47.23
F25-0978,ABC-18700,Cajanus cajan,Shrub,27.7,53.01,3.87,8.24,14.0,15.56,17.54,-36.28,81.31,26.24
F25-0979,ABC-18873,Alysicarpus ferrugineus,Herbaceous,31.59,58.82,4.97,9.59,15.73,16.3,20.17,-20.51,63.06,37.6
F25-0980,ABC-19867,Uraria lagopodioides,Herbaceous,37.05,63.24,5.86,10.61,15.8,16.79,22.12,-30.13,65.82,42.37
F25-0981,ABC-20207,Aeschynomene sensitiva,Herbaceous,33.36,62.01,4.13,8.08,12.38,13.03,17.79,-9.54,46.04,42.06
F25-0982,ABC-20709,Calopogonium mucunoides,Climber,27.46,57.24,4.11,9.13,15.07,16.0,19.43,-35.0,72.84,34.09
F25-0983,ABC-18437,Flemingia macrophylla,Shrub,21.95,33.84,2.66,4.36,12.17,12.92,9.19,-26.5,80.16,17.68
F25-0984,ABC-25522,Centrosema macrocarpum,Climber,44.23,72.19,6.14,11.05,13.89,15.31,23.18,-11.11,59.89,43.72
F25-0985,ABC-25704,Centrosema molle x acutifolium,Climber,31.54,64.03,4.19,9.05,13.27,14.13,18.89,-11.92,63.12,34.37
F25-0986,ABC-33729,Desmodium cinereum,Shrub,33.51,56.55,4.79,8.43,14.3,14.9,17.89,-45.7,46.49,41.62
F25-0987,ABC-33827,Desmodium incanum,Herbaceous,26.03,44.46,3.34,6.66,12.8,14.98,14.18,-58.29,90.32,22.28
F25-0988,ABC-8512,Calopogonium caeruleum,Climber,28.25,61.08,4.13,9.78,14.62,15.99,21.03,-31.58,80.58,33.65
F25-0989,ABC-11833,Stylosanthes guianensis,Herbaceous,33.95,63.44,3.95,8.36,11.63,13.19,17.6,-6.92,63.62,30.51
F25-2131,Muestra # 02,Cynodon nlemfuensis,Grasses,21.02,53.01,2.95,7.85,13.74,14.67,17.08,-12.43,167.32,12.55
F25-2077,CIAT-PM21_3535,Megathyrsus maximus,Grasses,34.17,73.66,4.82,11.43,14.12,15.52,22.25,32.59,41.28,53.93
F25-2078,CIAT-PM21_6106,Megathyrsus maximus,Grasses,35.75,74.98,5.19,12.01,14.51,16.02,23.76,38.06,40.45,58.82
F25-2079,CIAT-PM21_2580,Megathyrsus maximus,Grasses,39.93,83.49,5.48,12.84,13.72,15.38,25.66,38.97,42.58,60.3
F25-2080,CIAT-CIAT_16031,Megathyrsus maximus,Grasses,37.91,78.82,5.25,12.2,13.86,15.48,23.99,32.96,42.96,55.93
F25-2081,CIAT-CIAT_26936,Megathyrsus maximus,Grasses,35.2,77.93,5.08,12.27,14.43,15.75,23.56,30.79,44.14,53.71
F25-2082,CIAT-PM21_0074,Megathyrsus maximus,Grasses,39.19,77.0,5.45,11.83,13.9,15.36,22.79,29.96,41.79,54.87
F25-2083,CIAT-PM21_0072,Megathyrsus maximus,Grasses,36.88,75.82,5.0,11.56,13.57,15.25,22.66,29.29,42.67,53.17
F25-2084,CIAT-PM21_6598,Megathyrsus maximus,Grasses,38.84,79.75,5.23,12.12,13.47,15.17,23.47,24.81,46.34,50.76
F25-2085,CIAT-PM21_6647,Megathyrsus maximus,Grasses,39.38,80.19,5.57,12.41,14.16,15.47,24.27,25.22,48.25,50.51
F25-2086,CIAT-PM21_0819,Megathyrsus maximus,Grasses,38.45,79.36,5.3,12.11,13.78,15.26,23.99,25.77,46.72,51.88
F25-2087,CIAT-CIAT_16021,Megathyrsus maximus,Grasses,34.17,75.13,5.01,12.16,14.68,16.18,23.65,19.29,55.86,42.94
F25-2088,CIAT-PM21_6640,Megathyrsus maximus,Grasses,32.89,72.57,4.51,11.27,13.7,15.53,22.0,23.66,44.24,49.86
F25-2089,CIAT-PM21_0065,Megathyrsus maximus,Grasses,40.66,81.18,5.75,12.61,14.13,15.53,24.25,22.26,49.51,49.57
F25-2090,CIAT-PM21_6629,Megathyrsus maximus,Grasses,32.16,72.28,4.39,10.95,13.68,15.16,21.07,24.41,47.95,44.82
F25-2091,CIAT-PM21_6641,Megathyrsus maximus,Grasses,43.51,81.33,6.26,12.84,14.36,15.81,24.86,23.05,48.44,51.47
F25-2092,CIAT-CIAT_16025,Megathyrsus maximus,Grasses,33.68,73.02,4.52,10.94,13.42,14.98,21.85,21.18,49.69,45.83
F25-2093,CIAT-PM21_0070,Megathyrsus maximus,Grasses,35.06,77.64,4.82,11.98,13.72,15.4,23.56,16.18,72.54,44.11
F25-2094,CIAT-PM21_4926,Megathyrsus maximus,Grasses,25.52,64.31,3.65,10.11,14.36,15.74,20.09,7.72,73.16,34.14
F25-2095,CIAT-PM21_3662,Megathyrsus maximus,Grasses,32.6,74.74,4.51,11.43,13.86,15.31,22.2,18.82,64.31,44.73
F25-2096,CIAT-PM21_4448,Megathyrsus maximus,Grasses,30.53,74.98,4.3,11.61,14.09,15.49,22.08,12.73,91.21,37.1
F25-2097,CIAT-PM21_0079,Megathyrsus maximus,Grasses,32.75,74.74,4.41,11.19,13.48,14.99,21.84,15.75,58.14,42.24
F25-2098,CIAT-CIAT_6986,Megathyrsus maximus,Grasses,30.43,71.94,4.18,10.88,13.76,15.13,21.61,13.59,89.09,37.94
F25-2099,CIAT-PM21_4852,Megathyrsus maximus,Grasses,29.94,70.51,4.13,10.72,13.86,15.24,21.37,8.08,106.21,33.03
F25-2100,CIAT-PM21_0078,Megathyrsus maximus,Grasses,32.4,72.03,4.46,11.02,13.78,15.3,21.68,2.68,93.99,35.33
F25-2101,CIAT-CIAT_16071,Megathyrsus maximus,Grasses,29.9,66.92,4.11,10.53,13.77,15.74,20.63,-12.08,106.37,25.45
F25-2102,CIAT-PM21_0876,Megathyrsus maximus,Grasses,32.4,72.72,4.35,10.87,13.43,14.94,21.44,1.19,97.08,34.18
F25-2103,CIAT-PM21_3641,Megathyrsus maximus,Grasses,32.45,72.03,4.34,10.81,13.41,15.01,20.88,6.26,93.13,35.27
F25-2104,CIAT-BR06_1348,Brachiaria interespecifico,Grasses,37.03,78.64,4.58,10.92,12.41,13.9,20.82,-8.39,69.37,35.23
F25-2105,CIAT-BR09_4467,Brachiaria interespecifico,Grasses,34.81,74.49,4.35,10.4,12.52,13.97,20.2,-5.35,73.83,37.88
F25-2106,CIAT-BR09_4777,Brachiaria interespecifico,Grasses,36.38,76.9,4.62,10.74,12.72,13.97,20.66,-16.46,89.44,31.32
F25-0017,Hohenheimer Heustandard,Hohenheimer Heustandard,Grasses,22.18,45.27,3.2,7.1,14.45,15.7,31.62,-14.24,88.39,45.44
F25-2107,CIAT-BR12_0255,Brachiaria interespecifico,Grasses,32.33,79.54,3.98,11.1,12.31,13.96,22.48,30.45,37.48,60.12
F25-2108,CIAT-BR12_0461,Brachiaria interespecifico,Grasses,31.39,82.44,3.94,11.76,12.52,14.27,23.05,36.82,37.7,61.59
F25-2109,CIAT-BR12_1620,Brachiaria interespecifico,Grasses,33.11,80.13,4.11,11.15,12.4,13.92,21.48,33.95,36.04,60.13
F25-2110,CIAT-BR12_1889,Brachiaria interespecifico,Grasses,31.2,77.57,3.63,10.88,11.64,14.03,21.2,27.25,36.64,57.98
