gender,species,id,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h
Stylosanthes,humilis,CIAT-12184,42.21,93.73,202.53,61.69,3.05,93.73,50.68,102.64,166.38,769.99
Stylosanthes,humilis,CIAT-12184,42.21,93.73,202.53,61.69,3.05,93.73,50.68,102.64,166.38,769.99
Stylosanthes,humilis,CIAT-12184,41.71,96.73,209.01,63.01,3.01,96.73,50.3,105.14,166.87,772.24
Stylosanthes,humilis,CIAT-12184,41.71,96.73,209.01,63.01,3.01,96.73,50.3,105.14,166.87,772.24
Stylosanthes,humilis,CIAT-12184,42.55,85.4,186.49,62.4,3.35,85.4,50.13,93.48,149.81,686.05
Stylosanthes,humilis,CIAT-12184,44.05,90.9,196.38,49.83,2.54,90.9,51.99,102.09,204.87,948.26
Stylosanthes,humilis,CIAT-12184,44.05,89.4,193.14,64.29,3.33,89.4,51.86,100.17,155.81,721.2
Stylosanthes,humilis,CIAT-12202,46.4,94.59,204.39,53.33,2.61,13.0,14.12,28.86,54.12,250.47
Stylosanthes,humilis,CIAT-12202,46.4,94.59,204.39,53.33,2.61,13.0,14.12,28.86,54.12,250.47
Stylosanthes,humilis,CIAT-12202,46.9,95.09,205.15,61.49,3.0,12.9,14.12,28.96,47.1,218.3
Stylosanthes,humilis,CIAT-12202,46.9,95.09,205.15,61.49,3.0,12.9,14.12,28.96,47.1,218.3
Stylosanthes,humilis,CIAT-12202,45.4,92.59,199.76,51.72,2.59,12.8,14.07,28.11,54.36,251.97
Stylosanthes,humilis,CIAT-12202,45.4,92.59,199.76,51.72,2.59,12.8,14.07,28.11,54.36,251.97
Stylosanthes,humilis,CIAT-12202,46.71,100.73,217.66,60.22,2.77,100.73,55.03,119.77,198.89,920.41
Stylosanthes,humilis,CIAT-12202,46.71,100.73,217.66,60.22,2.77,100.73,55.03,119.77,198.89,920.41
Stylosanthes,humilis,CIAT-12202,42.71,94.23,203.37,57.65,2.83,94.23,51.13,103.99,180.37,835.7
Stylosanthes,humilis,CIAT-12202,42.71,94.23,203.37,57.65,2.83,94.23,51.13,103.99,180.37,835.7
Stylosanthes,humilis,CIAT-12202,43.21,94.23,203.37,59.34,2.92,94.23,51.39,104.51,176.13,816.05
Stylosanthes,humilis,CIAT-12202,43.21,94.23,203.37,59.34,2.92,94.23,51.39,104.51,176.13,816.05
Stylosanthes,humilis,CIAT-12202,43.55,86.4,186.66,45.43,2.43,86.4,51.24,95.64,210.53,974.5
Stylosanthes,humilis,CIAT-12202,40.55,88.9,191.8,64.25,3.35,88.9,48.65,93.32,145.24,673.19
Stylosanthes,humilis,CIAT-12202,40.05,82.9,178.85,43.97,2.46,82.9,47.91,85.68,194.87,903.21
Stylosanthes,humilis,CIAT-1706,33.7,75.19,162.16,47.87,2.95,12.7,14.3,23.19,48.44,225.61
Stylosanthes,humilis,CIAT-1706,35.03,75.63,163.18,45.8,2.81,13.1,14.5,23.65,51.65,240.54
Stylosanthes,humilis,CIAT-1706,33.26,74.3,160.19,42.72,2.67,12.5,14.16,22.68,53.09,247.61
Stylosanthes,humilis,CIAT-1706,36.65,72.28,155.82,27.61,1.77,12.5,14.08,21.93,79.46,372.59
Stylosanthes,humilis,CIAT-1706,38.87,74.49,160.52,31.32,1.95,12.6,14.08,22.61,72.18,337.98
Stylosanthes,humilis,CIAT-1706,37.54,73.16,157.79,42.16,2.67,12.2,13.9,21.94,52.04,242.67
Stylosanthes,humilis,CIAT-1727,37.02,70.54,153.13,32.58,2.13,13.8,15.46,23.68,72.69,325.9
Stylosanthes,humilis,CIAT-1727,36.14,67.44,146.38,32.59,2.23,13.9,15.48,22.66,69.52,311.77
Stylosanthes,humilis,CIAT-1727,37.91,68.77,149.26,33.33,2.23,14.1,15.76,23.52,70.58,316.81
Stylosanthes,humilis,CIAT-1727,35.03,77.4,167.95,39.74,2.37,13.0,14.64,24.59,61.88,279.55
Stylosanthes,humilis,CIAT-1727,34.59,75.63,164.18,44.99,2.74,12.9,14.64,24.03,53.41,242.11
Stylosanthes,humilis,CIAT-1727,34.59,77.4,167.95,41.61,2.48,13.4,14.89,25.01,60.12,271.99
Stylosanthes,humilis,CIAT-1727,37.98,74.49,161.7,26.43,1.63,12.5,14.51,23.46,88.76,394.31
Stylosanthes,humilis,CIAT-1727,38.42,76.7,166.47,47.61,2.86,12.4,14.4,23.96,50.34,228.59
Stylosanthes,humilis,CIAT-1727,39.31,75.82,164.45,26.45,1.61,0.5,8.25,13.57,51.32,228.19
Stylosanthes,humilis,CIAT-1803,,,,,,,,,,
Stylosanthes,humilis,CIAT-2783,45.05,99.18,220.93,66.94,3.03,12.4,13.87,30.65,45.79,205.54
Stylosanthes,humilis,CIAT-2783,43.05,97.68,217.59,40.63,1.87,12.2,13.71,29.83,73.41,329.56
Stylosanthes,humilis,CIAT-2783,40.01,96.35,214.59,31.56,1.47,12.5,13.55,29.08,92.15,413.76
Stylosanthes,humilis,CIAT-2783,42.01,99.35,221.36,61.83,2.79,12.5,13.6,30.1,48.68,218.47
Stylosanthes,humilis,CIAT-2783,37.16,91.89,204.78,45.74,2.23,11.9,13.63,27.91,61.01,273.79
Stylosanthes,humilis,CIAT-2783,39.66,94.89,211.42,57.71,2.73,12.3,13.87,29.33,50.82,228.08
Stylosanthes,scabra,CIAT-10613,6.55,9.68,21.44,44.64,20.82,12.1,13.07,2.8,6.28,28.34
Stylosanthes,scabra,CIAT-10613,38.05,78.68,169.33,49.57,2.93,12.6,14.05,23.78,47.98,222.92
Stylosanthes,scabra,CIAT-10613,37.05,76.68,165.16,49.64,3.01,12.9,14.19,23.44,47.22,219.21
Stylosanthes,scabra,CIAT-10613,40.01,90.85,201.12,67.37,3.35,12.3,13.7,27.55,40.89,184.74
Stylosanthes,scabra,CIAT-10613,38.01,80.35,173.11,40.28,2.33,12.4,13.77,23.84,59.18,274.68
Stylosanthes,scabra,CIAT-10613,36.51,79.35,170.95,33.11,1.94,12.3,13.7,23.43,70.76,328.45
Stylosanthes,scabra,CIAT-10613,42.16,88.39,195.9,42.86,2.19,11.9,13.89,27.21,63.47,286.38
Stylosanthes,scabra,CIAT-10613,37.66,78.89,169.79,47.06,2.77,11.9,13.94,23.67,50.29,233.68
Stylosanthes,scabra,CIAT-10613,37.66,78.39,168.81,33.18,1.97,11.9,13.87,23.42,70.59,327.82
Stylosanthes,scabra,CIAT-10627,37.55,78.68,169.5,31.73,1.87,12.4,13.86,23.5,74.06,343.77
Stylosanthes,scabra,CIAT-10627,36.05,78.68,168.4,49.12,2.92,12.7,13.84,23.3,47.44,221.63
Stylosanthes,scabra,CIAT-10627,36.55,77.18,165.22,44.77,2.71,12.7,13.81,22.81,50.95,238.0
Stylosanthes,scabra,CIAT-10627,37.01,80.35,172.94,24.72,1.43,12.2,13.66,23.62,95.55,443.97
Stylosanthes,scabra,CIAT-10627,34.01,77.85,166.7,48.93,2.94,12.7,13.43,22.39,45.76,213.71
Stylosanthes,scabra,CIAT-10627,35.01,76.45,163.57,43.62,2.67,12.9,13.6,22.25,51.01,238.43
Stylosanthes,scabra,CIAT-10627,36.66,80.39,173.05,46.18,2.67,11.7,13.82,23.92,51.79,240.58
Stylosanthes,scabra,CIAT-10627,35.66,74.39,159.13,48.85,3.07,11.7,13.42,21.35,43.71,204.32
Stylosanthes,scabra,CIAT-10627,36.66,76.39,163.6,44.9,2.74,11.8,13.26,21.69,48.31,225.56
Stylosanthes,scabra,CIAT-10634,34.55,73.68,157.7,50.15,3.18,13.4,14.25,22.47,44.81,209.35
Stylosanthes,scabra,CIAT-10634,40.55,89.68,192.7,44.2,2.29,12.5,13.54,26.09,59.04,274.76
Stylosanthes,scabra,CIAT-10634,38.55,87.18,187.36,61.98,3.31,12.9,13.68,25.63,41.36,192.43
Stylosanthes,scabra,CIAT-10634,35.01,77.85,166.6,53.58,3.22,12.4,13.34,22.22,41.46,193.75
Stylosanthes,scabra,CIAT-10634,39.01,90.85,195.23,42.54,2.18,12.3,13.21,25.8,60.64,282.18
Stylosanthes,scabra,CIAT-10634,39.01,89.35,192.08,60.79,3.16,12.5,13.35,25.63,42.17,196.16
Stylosanthes,scabra,CIAT-10634,36.16,75.39,161.46,45.47,2.82,12.1,13.56,21.89,48.14,224.76
Stylosanthes,scabra,CIAT-10634,37.66,83.89,180.19,37.39,2.07,12.3,13.68,24.65,65.92,306.9
Stylosanthes,scabra,CIAT-10634,40.16,87.39,187.71,60.16,3.2,12.3,13.6,25.52,42.43,197.53
Stylosanthes,scabra,CIAT-10639,42.55,92.18,198.11,60.39,3.05,12.8,13.77,27.28,45.17,210.17
Stylosanthes,scabra,CIAT-10639,43.55,88.68,190.3,45.86,2.41,13.4,14.62,27.82,60.67,282.74
Stylosanthes,scabra,CIAT-10639,44.05,90.68,194.51,56.71,2.92,12.9,14.39,27.99,49.36,230.1
Stylosanthes,scabra,CIAT-10639,39.51,90.85,195.3,47.4,2.43,12.5,13.35,26.07,55.0,255.85
Stylosanthes,scabra,CIAT-10639,40.01,90.85,194.93,56.08,2.88,12.9,14.08,27.44,48.92,228.02
Stylosanthes,scabra,CIAT-10639,40.01,87.85,188.45,56.95,3.02,13.1,14.24,26.84,47.13,219.73
Stylosanthes,scabra,CIAT-10639,39.66,85.39,183.6,40.08,2.18,12.7,13.82,25.38,63.33,294.56
Stylosanthes,scabra,CIAT-10639,40.16,87.39,187.38,52.46,2.8,12.3,14.14,26.49,50.5,235.5
Stylosanthes,scabra,CIAT-10639,38.66,86.89,186.42,48.44,2.6,12.7,14.37,26.78,55.28,257.66
Stylosanthes,scabra,CIAT-10725,42.05,87.18,186.97,47.93,2.56,12.8,14.4,26.93,56.19,262.01
Stylosanthes,scabra,CIAT-10725,39.05,77.68,168.12,39.98,2.38,13.1,14.39,24.2,60.52,279.61
Stylosanthes,scabra,CIAT-10725,37.05,72.18,156.18,51.53,3.3,13.5,14.62,22.83,44.31,204.77
Stylosanthes,scabra,CIAT-10725,39.51,89.35,191.63,43.68,2.28,12.8,14.14,27.09,62.03,289.22
Stylosanthes,scabra,CIAT-10725,35.01,76.85,166.2,53.68,3.23,13.2,14.13,23.48,43.74,202.24
Stylosanthes,scabra,CIAT-10725,34.01,74.35,160.82,51.77,3.22,13.0,13.98,22.48,43.42,200.75
Stylosanthes,scabra,CIAT-10725,39.66,85.89,184.31,58.69,3.18,12.3,14.08,25.94,44.21,206.0
Stylosanthes,scabra,CIAT-10725,35.66,74.89,162.08,29.29,1.81,12.6,14.12,22.88,78.12,360.97
Stylosanthes,scabra,CIAT-10725,33.16,70.39,152.34,49.92,3.28,12.7,14.13,21.52,43.12,199.22
Stylosanthes,scabra,CIAT-11820,36.05,79.18,171.46,34.38,2.01,13.9,14.83,25.42,73.93,341.4
Stylosanthes,scabra,CIAT-11820,40.05,83.18,181.17,59.75,3.3,13.1,14.29,25.89,43.34,198.97
Stylosanthes,scabra,CIAT-11820,41.05,81.18,176.81,31.37,1.77,12.6,13.98,24.73,78.82,361.89
Stylosanthes,scabra,CIAT-11820,36.01,82.85,179.46,30.95,1.72,13.2,14.27,25.62,82.77,382.14
Stylosanthes,scabra,CIAT-11820,40.51,85.85,186.92,53.45,2.86,12.5,13.77,25.73,48.15,221.14
Stylosanthes,scabra,CIAT-11820,35.51,79.85,173.93,41.41,2.38,12.5,13.72,23.87,57.63,264.61
Stylosanthes,scabra,CIAT-11820,39.66,82.39,178.49,47.29,2.65,12.9,14.51,25.9,54.76,252.75
Stylosanthes,scabra,CIAT-11820,42.66,87.39,190.27,51.99,2.73,12.0,13.84,26.34,50.66,232.67
Stylosanthes,scabra,CIAT-11820,42.66,85.39,185.91,43.85,2.36,12.1,13.9,25.85,58.94,270.71
Stylosanthes,scabra,CIAT-12485,49.4,97.09,209.8,69.03,3.29,13.1,14.67,30.78,44.59,206.34
Stylosanthes,scabra,CIAT-12485,49.4,97.09,209.8,69.03,3.29,13.1,14.67,30.78,44.59,206.34
Stylosanthes,scabra,CIAT-12485,36.9,77.09,164.1,50.53,3.08,13.1,13.88,22.78,45.09,211.79
Stylosanthes,scabra,CIAT-12485,36.9,77.09,164.1,50.53,3.08,13.1,13.88,22.78,45.09,211.79
Stylosanthes,scabra,CIAT-12485,36.4,74.09,157.72,59.17,3.75,13.1,13.76,21.7,36.68,172.31
Stylosanthes,scabra,CIAT-12485,36.4,74.09,157.72,59.17,3.75,13.1,13.76,21.7,36.68,172.31
Stylosanthes,scabra,CIAT-12485,45.71,93.73,202.38,56.92,2.81,93.73,54.17,109.62,192.57,891.87
Stylosanthes,scabra,CIAT-12485,45.71,93.73,202.38,56.92,2.81,93.73,54.17,109.62,192.57,891.87
Stylosanthes,scabra,CIAT-12485,32.71,70.23,149.41,42.79,2.86,70.23,40.62,60.69,141.82,666.62
Stylosanthes,scabra,CIAT-12485,32.71,70.23,149.41,42.79,2.86,70.23,40.62,60.69,141.82,666.62
Stylosanthes,scabra,CIAT-12485,33.21,70.73,150.47,42.92,2.85,70.73,40.9,61.55,143.41,674.07
Stylosanthes,scabra,CIAT-12485,33.21,70.73,150.47,42.92,2.85,70.73,40.9,61.55,143.41,674.07
Stylosanthes,scabra,CIAT-12485,43.05,89.4,193.15,61.87,3.2,89.4,51.29,99.07,160.14,741.2
Stylosanthes,scabra,CIAT-12485,34.55,68.9,146.61,44.76,3.05,68.9,41.93,61.47,137.34,645.42
Stylosanthes,scabra,CIAT-12485,33.05,65.4,139.16,45.25,3.25,65.4,40.32,56.11,124.01,582.78
Stylosanthes,scabra,CIAT-12710,42.4,88.59,194.72,40.7,2.09,12.6,13.9,27.07,66.52,302.64
Stylosanthes,scabra,CIAT-12710,42.4,88.59,194.72,40.7,2.09,12.6,13.9,27.07,66.52,302.64
Stylosanthes,scabra,CIAT-12710,36.71,88.73,194.94,56.67,2.91,88.73,45.45,88.6,156.33,711.54
Stylosanthes,scabra,CIAT-12710,36.71,88.73,194.94,56.67,2.91,88.73,45.45,88.6,156.33,711.54
Stylosanthes,scabra,CIAT-12710,35.71,75.23,163.93,50.82,3.1,75.23,43.59,71.46,140.62,645.32
Stylosanthes,scabra,CIAT-12710,35.71,75.23,163.93,50.82,3.1,75.23,43.59,71.46,140.62,645.32
Stylosanthes,scabra,CIAT-12710,36.71,77.23,168.29,51.47,3.06,77.23,44.48,74.85,145.42,667.34
Stylosanthes,scabra,CIAT-12710,36.71,77.23,168.29,51.47,3.06,77.23,44.48,74.85,145.42,667.34
Stylosanthes,scabra,CIAT-12710,37.05,82.4,181.15,45.48,2.51,82.4,45.2,81.87,180.02,818.86
Stylosanthes,scabra,CIAT-12710,37.05,74.4,162.13,49.07,3.03,74.4,44.43,72.03,146.78,673.58
Stylosanthes,scabra,CIAT-12710,37.05,77.9,169.75,42.82,2.52,77.9,44.76,75.98,177.44,814.26
