gender,species,id,net_gas_8h_ml,net_gas_24h_ml,gas_ml_g_dm_incubated_24h,tddm,part_fact,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,ch4_ml_g_dm_incubated_24h,methane_intensity,ch4_ml_g_ndf_digested_24h
Stylosanthes,hamata,CIAT-12457,52.9,103.09,224.21,55.52,2.48,13.1,14.76,33.08,59.58,273.95
Stylosanthes,hamata,CIAT-12457,47.9,97.59,208.27,61.93,2.97,13.4,14.67,30.56,49.35,231.22
Stylosanthes,hamata,CIAT-12457,47.9,97.59,208.27,61.93,2.97,13.4,14.67,30.56,49.35,231.22
Stylosanthes,hamata,CIAT-12457,48.9,97.59,208.27,61.07,2.93,13.3,14.75,30.71,50.29,235.64
Stylosanthes,hamata,CIAT-12457,48.9,97.59,208.27,61.07,2.93,13.3,14.75,30.71,50.29,235.64
Stylosanthes,hamata,CIAT-12457,47.21,96.73,210.33,54.34,2.58,96.73,55.61,116.96,215.25,989.91
Stylosanthes,hamata,CIAT-12457,47.21,96.73,210.33,54.34,2.58,96.73,55.61,116.96,215.25,989.91
Stylosanthes,hamata,CIAT-12457,43.71,94.73,202.16,59.92,2.96,94.73,52.38,105.9,176.73,828.12
Stylosanthes,hamata,CIAT-12457,43.71,94.73,202.16,59.92,2.96,94.73,52.38,105.9,176.73,828.12
Stylosanthes,hamata,CIAT-12457,44.21,93.23,198.96,50.21,2.52,93.23,52.63,104.7,208.53,977.11
Stylosanthes,hamata,CIAT-12457,44.21,93.23,198.96,50.21,2.52,93.23,52.63,104.7,208.53,977.11
Stylosanthes,hamata,CIAT-12457,46.05,95.9,208.61,53.73,2.58,95.9,54.31,113.31,210.88,969.42
Stylosanthes,hamata,CIAT-12457,43.05,91.4,194.94,55.96,2.87,91.4,51.51,100.42,179.47,841.43
Stylosanthes,hamata,CIAT-12457,47.05,95.4,203.47,45.68,2.24,95.4,55.16,112.23,245.72,1152.06
Stylosanthes,hamata,CIAT-12462,48.9,97.59,208.27,57.74,2.77,13.4,14.75,30.71,53.19,249.23
Stylosanthes,hamata,CIAT-12462,48.9,97.59,208.27,57.74,2.77,13.4,14.75,30.71,53.19,249.23
Stylosanthes,hamata,CIAT-12462,47.4,95.59,206.56,52.05,2.52,13.4,14.76,30.49,58.58,271.09
Stylosanthes,hamata,CIAT-12462,47.4,95.59,206.56,52.05,2.52,13.4,14.76,30.49,58.58,271.09
Stylosanthes,hamata,CIAT-12462,49.4,96.09,207.64,61.32,2.95,13.0,14.6,30.32,49.45,228.84
Stylosanthes,hamata,CIAT-12462,49.4,96.09,207.64,61.32,2.95,13.0,14.6,30.32,49.45,228.84
Stylosanthes,hamata,CIAT-12462,44.21,95.23,203.23,64.15,3.16,95.23,52.84,107.38,167.4,784.4
Stylosanthes,hamata,CIAT-12462,44.21,95.23,203.23,64.15,3.16,95.23,52.84,107.38,167.4,784.4
Stylosanthes,hamata,CIAT-12462,45.21,92.73,200.22,60.55,3.02,92.73,53.62,107.35,177.29,821.08
Stylosanthes,hamata,CIAT-12462,45.21,92.73,200.22,60.55,3.02,92.73,53.62,107.35,177.29,821.08
Stylosanthes,hamata,CIAT-12462,45.21,92.23,199.14,60.46,3.04,92.23,53.62,106.79,176.61,817.94
Stylosanthes,hamata,CIAT-12462,45.21,92.23,199.14,60.46,3.04,92.23,53.62,106.79,176.61,817.94
Stylosanthes,hamata,CIAT-12462,43.05,91.9,196.01,62.76,3.2,91.9,51.45,100.84,160.68,753.36
Stylosanthes,hamata,CIAT-12462,42.05,90.4,195.31,52.81,2.7,90.4,50.55,98.74,186.95,865.3
Stylosanthes,hamata,CIAT-12462,42.55,89.9,194.23,62.49,3.22,89.9,50.98,99.01,158.44,733.33
Stylosanthes,hamata,CIAT-12686,39.4,86.09,191.67,53.56,2.79,13.0,13.81,26.48,49.44,222.04
Stylosanthes,hamata,CIAT-12686,39.4,86.09,191.67,53.56,2.79,13.0,13.81,26.48,49.44,222.04
Stylosanthes,hamata,CIAT-12686,41.4,92.09,202.41,54.83,2.71,12.6,13.81,27.95,50.98,231.95
Stylosanthes,hamata,CIAT-12686,41.4,92.09,202.41,54.83,2.71,12.6,13.81,27.95,50.98,231.95
Stylosanthes,hamata,CIAT-12686,41.4,93.09,204.61,56.02,2.74,12.3,13.74,28.12,50.2,228.38
Stylosanthes,hamata,CIAT-12686,41.4,93.09,204.61,56.02,2.74,12.3,13.74,28.12,50.2,228.38
Stylosanthes,hamata,CIAT-12686,36.21,83.23,185.45,59.4,3.2,83.23,44.52,82.56,138.98,623.73
Stylosanthes,hamata,CIAT-12686,36.21,83.23,185.45,59.4,3.2,83.23,44.52,82.56,138.98,623.73
Stylosanthes,hamata,CIAT-12686,35.71,82.73,181.76,50.17,2.76,82.73,44.35,80.61,160.68,731.34
Stylosanthes,hamata,CIAT-12686,35.71,82.73,181.76,50.17,2.76,82.73,44.35,80.61,160.68,731.34
Stylosanthes,hamata,CIAT-12686,37.21,88.23,193.85,53.68,2.77,88.23,46.0,89.17,166.11,756.02
Stylosanthes,hamata,CIAT-12686,37.21,88.23,193.85,53.68,2.77,88.23,46.0,89.17,166.11,756.02
Stylosanthes,hamata,CIAT-12686,34.05,80.9,180.19,55.76,3.09,80.9,42.27,76.17,136.6,613.27
Stylosanthes,hamata,CIAT-12686,37.05,81.9,180.05,42.64,2.37,81.9,45.26,81.5,191.12,869.34
Stylosanthes,hamata,CIAT-12686,39.05,86.4,189.94,50.4,2.65,86.4,47.22,89.68,177.93,809.35
Stylosanthes,hamata,CIAT-1467,43.05,98.07,211.77,59.62,2.82,13.1,14.78,31.31,52.51,243.17
Stylosanthes,hamata,CIAT-1467,42.05,95.07,205.09,57.5,2.8,13.5,15.01,30.78,53.52,248.09
Stylosanthes,hamata,CIAT-1467,41.82,99.0,213.78,55.51,2.6,11.6,13.56,29.0,52.23,241.88
