gender,species,id,subset,no,requisitioner,id_lab,functional_group,dm_percentage,ash_dm,om_percentage,pc_percentage_dm,adf_percentage_dm,ndf_percentage_dm
Stylosanthes,hamata,CIAT-1467,2,112.0,Genetic bank,F24-3540,Herbaceous_legumes,92.73,8.59,91.41,13.64,34.44,99.96
Stylosanthes,hamata,CIAT-1467,3,1.0,Genetic bank,F24-3540,Herbaceous_legumes,92.5,8.49,91.51,13.64,35.11,53.65
Stylosanthes,hamata,CIAT-1467,3,2.0,Genetic bank,F24-3540,Herbaceous_legumes,92.73,8.59,91.41,13.64,34.44,52.2
Stylosanthes,hamata,CIAT-1475,2,113.0,Genetic bank,F24-3541,Herbaceous_legumes,90.62,8.7,91.3,17.29,37.69,86.16
Stylosanthes,hamata,CIAT-1475,2,114.0,Genetic bank,F24-3541,Herbaceous_legumes,90.96,8.81,91.19,17.29,37.17,89.43
Stylosanthes,hamata,CIAT-1475,3,3.0,Genetic bank,F24-3541,Herbaceous_legumes,90.62,8.7,91.3,17.29,37.69,58.22
Stylosanthes,hamata,CIAT-1475,3,4.0,Genetic bank,F24-3541,Herbaceous_legumes,90.96,8.81,91.19,17.29,37.17,54.69
Stylosanthes,hamata,CIAT-172,2,109.0,Genetic bank,F24-3539,Herbaceous_legumes,91.15,10.1,89.9,14.34,35.78,85.76
Stylosanthes,hamata,CIAT-172,2,110.0,Genetic bank,F24-3539,Herbaceous_legumes,91.2,9.95,90.05,14.34,34.22,86.66
Stylosanthes,humilis,CIAT-10440,3,155.0,Genetic bank,F24-3549,Herbaceous_legumes,90.25,11.72,88.28,19.44,31.25,52.05
Stylosanthes,humilis,CIAT-10440,3,156.0,Genetic bank,F24-3549,Herbaceous_legumes,90.23,12.09,87.91,19.44,31.49,51.49
Stylosanthes,humilis,CIAT-11624,3,179.0,Genetic bank,F24-3561,Herbaceous_legumes,92.03,12.05,87.95,15.62,33.93,56.32
Stylosanthes,humilis,CIAT-11624,3,180.0,Genetic bank,F24-3561,Herbaceous_legumes,92.05,12.04,87.96,15.62,33.53,53.44
Stylosanthes,humilis,CIAT-11690,3,181.0,Genetic bank,F24-3562,Herbaceous_legumes,91.04,12.36,87.64,16.73,33.92,54.57
Stylosanthes,humilis,CIAT-11690,3,182.0,Genetic bank,F24-3562,Herbaceous_legumes,90.31,13.41,86.59,16.73,33.11,54.09
Stylosanthes,humilis,CIAT-12042,3,191.0,Genetic bank,F24-3567,Herbaceous_legumes,91.25,14.62,85.38,17.68,31.7,53.89
Stylosanthes,humilis,CIAT-12042,3,192.0,Genetic bank,F24-3567,Herbaceous_legumes,91.44,15.54,84.46,17.68,31.08,53.74
Stylosanthes,humilis,CIAT-12115,3,239.0,Genetic bank,F24-3568,Herbaceous_legumes,92.4,9.11,90.89,15.32,35.07,54.66
Stylosanthes,humilis,CIAT-12115,3,240.0,Genetic bank,F24-3568,Herbaceous_legumes,92.55,8.72,91.28,15.32,34.36,56.44
