40g_no,40g_date,40g_requisitioner,40g_gene_bank_id,40g_genus,40g_species,40g_tax_name,40g_family,40g_order,40g_functional_group,40g_ciat_id,40g_set_ciat,40g_batch,40g_run,40g_replication,40g_syrange_no,40g_ch4_8h_percentage,40g_ch4_24h_percentage,40g_net_gas_8h_ml,40g_net_gas_24h_ml,40g_gas_ml_g_dm_incubated_24h,40g_percentage_dmd_truly_digestibility,40g_part_fact,40g_ch4_percentage_in_gas_8h,40g_ch4_percentage_in_gas_24h,40g_ch4_ml_g_dm_incubated_24h,40g_ch4_ml_g_dmd_24h,40g_ch4_ml_g_ndf_digested_in_24h,40g_ch4_g_g_dm_incubated_24h,40g_ch4_g_g_dmd_24h,40g_remarks2,40g_remarks_1
No,Date,Requisitioner,Gene Bank ID,Genus,Species,Tax Name,Family,Order,Functional Group,CIAT ID,Set CIAT,Batch,Run,Replication,Syrange No,CH4 8h %,"CH4 24h, %","Net gas 8h, ml","Net gas 24h, ml","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",Part Fact,"CH4 % in gas, h8","CH4 % in gas, 24h","CH4 ml/gDM incubated, 24h","CH4 ml/g DMD, 24h",CH4 ml/g NDF digested in 24 h,"CH4 g/g DM incubated, 24h","CH4 g/g DMD, 24h",Remarks2,
2005,45866,LMF,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,F25 0017,20,52,1,3,97,14.3,17.4,22.64142284,44.54534006,88.85485732,65.99026261,7.426747912,14.3,15.82433775,14.06069273,21.30722348,#DIV/0!,7.803927729,11.82587767,,
2006,45866,LMF,Homenheim Concentrate,Homenheim,Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,F25 0018,20,52,1,1,98,15.5,17.1,29.72147689,55.60792451,110.6316894,80.86105782,7.309032182,15.5,16.24482759,17.9719272,22.22568896,#DIV/0!,9.974730528,12.3356419,,
2007,45866,LMF,Homenheim Concentrate,Homenheim,Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,F25 0018,20,52,1,2,99,15.4,18.2,29.72147689,56.93543464,109.463799,58.74110486,5.36625856,15.4,16.73834197,18.32242502,31.19182906,#DIV/0!,10.16926288,17.31200478,,
2008,45866,LMF,Homenheim Concentrate,Homenheim,Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,F25 0018,20,52,1,3,100,15.6,18.2,27.95146338,52.95290424,104.1783697,75.60451495,7.257218095,15.6,16.8275766,17.53069496,23.18736516,#DIV/0!,9.729839001,12.86938883,,
2108,45868,LMF,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,F25 0017,20,53,2,1,200,15,17.2,22.9364251,47.49536258,94.41247915,75.29133262,7.974722548,15,16.13757764,15.23588712,20.23591108,#DIV/0!,8.456180951,11.23128075,,
2109,45868,LMF,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,F25 0017,20,53,2,2,201,15,17.3,22.49392172,45.72534906,87.98667156,49.950446,5.677046888,15,16.16854839,14.22616757,28.48056165,#DIV/0!,7.895769126,15.80720446,,
2110,45868,LMF,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,F25 0017,20,53,2,3,202,15.1,17.4,20.72390821,44.39783893,87.3354888,50.17307183,5.744866436,15.1,16.32641196,14.25875169,28.41913236,#DIV/0!,7.913853879,15.77311014,,
2111,45868,LMF,Homenheim Concentrate,Homenheim,Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,F25 0018,20,53,2,1,203,15.6,17.9,30.01647914,57.23043689,121.2829479,63.74042639,5.255514272,15.6,16.69368557,20.24659398,31.76413326,#DIV/0!,11.23720994,17.62964351,,
2112,45868,LMF,Homenheim Concentrate,Homenheim,Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,F25 0018,20,53,2,2,204,16.2,18.3,29.57397577,56.78793352,116.1078418,79.12477191,6.814765538,16.2,17.20636364,19.97793747,25.24865095,#DIV/0!,11.08810094,14.0134381,,
2113,45868,LMF,Homenheim Concentrate,Homenheim,Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,F25 0018,20,53,2,3,205,15.7,18.2,30.9014859,55.46042338,114.2737901,53.41307844,4.674132047,15.7,16.80704787,19.20605061,35.95758037,#DIV/0!,10.65969037,19.95707921,,
2216,45873,LMF,Homenheim Concentrate,Homenheim,Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,F25 0018,20,54,3,1,98,15.3,18.2,31.63899153,57.19356161,118.5018513,81.97408804,6.917536489,15.3,16.59574468,19.66626468,23.99083071,#DIV/0!,10.91511715,13.31532611,,
2217,45873,LMF,Homenheim Concentrate,Homenheim,Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,F25 0018,20,54,3,2,99,14.9,18.5,31.63899153,58.96357512,126.5189709,53.80277675,4.252546188,14.9,16.56829268,20.9620334,38.96087649,#DIV/0!,11.6342912,21.62396052,,
2218,45873,LMF,Homenheim Concentrate,Homenheim,Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,F25 0018,20,54,3,3,100,15,18.6,29.86897802,55.86605148,113.1440288,68.08169099,6.017258861,15,16.67524752,18.86704686,27.71236523,#DIV/0!,10.47153743,15.38084216,,
2219,45873,LMF,Sample 8,Cynodon,nlemfuensis,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,F25 0008,20,54,3,1,101,14.3,16.3,20.57640708,56.75105823,110.5877157,16.20822722,1.465644454,14.3,15.5748538,17.22387505,106.2662487,#DIV/0!,9.559548642,58.97960654,,
2220,45873,LMF,Sample 8,Cynodon,nlemfuensis,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,F25 0008,20,54,3,2,102,13.8,16,20.57640708,58.96357512,117.5617126,40.06630243,3.408108095,13.8,15.23227017,17.90731767,44.69421082,#DIV/0!,9.938871123,24.80606026,,
2221,45873,LMF,Sample 8,Cynodon,nlemfuensis,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,F25 0008,20,54,3,3,103,14.2,16.1,20.57640708,57.63606499,113.8721733,33.69515882,2.959033612,14.2,15.42168906,17.56101249,52.11731627,#DIV/0!,9.746665755,28.92601221,,
2318,45880,LMF,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,F25 0017,21,55,1,1,95,13.6,17.3,22.27267003,46.16785244,90.36272876,57.11632051,6.320783059,13.6,15.51501597,14.0197918,24.54603461,#DIV/0!,7.781227007,13.62347388,,
2319,45880,LMF,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,F25 0017,21,55,1,2,96,14,17.2,22.71517341,47.49536258,98.26604973,35.05531628,3.567388368,14,15.66956522,15.39786275,43.92447247,#DIV/0!,8.546080224,24.37884216,,
2320,45880,LMF,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,F25 0017,21,55,1,3,97,14.2,17.7,22.27267003,45.72534906,88.11055283,51.1517668,5.805407543,14.2,15.99516129,14.09342504,27.55217643,#DIV/0!,7.822094727,15.2919346,,
2321,45880,LMF,Homenheim Concentrate,Homenheim,Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,F25 0018,21,55,1,1,98,14.6,19,33.77775786,59.00045041,129.3107333,71.48610513,5.52824219,14.6,16.481,21.31170195,29.81236971,#DIV/0!,11.8283633,16.54638097,,
2423,45882,LMF,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,F25 0017,21,56,2,1,200,13.6,16.6,21.01891046,43.36533105,84.40968223,77.22620217,9.148974399,13.6,15.14591837,12.78462156,16.55477183,#DIV/0!,7.095686155,9.188184782,,
2424,45882,LMF,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,F25 0017,21,56,2,2,201,14.3,16.9,19.69140032,42.48032429,82.49637736,42.20636892,5.11614816,14.3,15.69479167,12.94763456,30.67696864,#DIV/0!,7.186161188,17.02624834,,
2425,45882,LMF,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,F25 0017,21,56,2,3,202,14.5,16.7,20.57640708,44.2503378,84.46554211,40.54052992,4.799653079,14.5,15.677,13.24166304,32.66277738,#DIV/0!,7.349352079,18.12840654,,
2431,45882,LMF,Sample 8,Cynodon,nlemfuensis,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,F25 0008,21,56,2,3,205,15.2,16.6,18.80639357,50.00288172,96.31206966,35.10866744,3.645302978,15.2,16.07345133,15.48067364,44.09359503,#DIV/0!,8.592041701,24.47270811,,
2528,45888,LMF,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,F25 0017,21,57,3,1,95,13.9,16,22.78892397,45.79909963,96.6374353,74.46864728,7.705983406,13.9,14.95507246,14.45219848,19.40709145,#DIV/0!,8.021220192,10.77127152,,
2529,45888,LMF,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,F25 0017,21,57,3,2,96,13.9,16.1,21.90391721,44.47158949,92.44670994,49.25694774,5.328145022,13.9,15.01641791,13.88218431,28.18320043,#DIV/0!,7.704852468,15.64216384,,
2530,45888,LMF,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,F25 0017,21,57,3,3,97,13.9,16.1,22.34642059,45.79909963,85.79155719,71.37727588,8.319848505,13.9,15.02657005,12.89152844,18.06111018,#DIV/0!,7.155021319,10.02422862,,
2617,45896,LMF,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,Concentrate,Concentrate,Concentrate,F25 0017,22,59,2,3,205,15.3,16.9,23.15767678,46.16785244,205.3995991,35.35640024,1.721347091,15.3,16.09744409,33.06408563,93.51654977,#DIV/0!,18.35113957,51.90330306,,
2618,45896,LMF,Sample 8,Cynodon,nlemfuensis,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,F25 0008,22,59,2,1,206,18.3,16.7,14.7501126,42.62782542,90.93966933,19.21039266,2.112432649,18.3,17.25363322,15.690397,81.67660743,#DIV/0!,8.708441793,45.33193022,,
2619,45896,LMF,Sample 8,Cynodon,nlemfuensis,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,F25 0008,22,59,2,2,207,17.4,16.4,6.785051797,12.09509233,25.77717913,12.19415685,4.73060174,17.4,16.96097561,4.372061066,35.85373815,#DIV/0!,2.426569533,19.89944498,,
2620,45896,LMF,Sample 8,Cynodon,nlemfuensis,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,F25 0008,22,59,2,3,208,15,16.4,18.732643,46.16785244,98.4917526,31.66910158,3.215406442,15,15.83194888,15.59316392,49.2377843,#DIV/0!,8.654475756,27.32782215,,
2658,45901,LMF,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,Concentrate,Concentrate,Concentrate,F25 0017,22,60,3,2,99,13.6,16.6,22.71517341,45.28284569,201.86499,26.05437236,1.290166997,13.6,15.09511401,30.47175037,117.0012413,#DIV/0!,16.91234865,64.93771316,,
2659,45901,LMF,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,Concentrate,Concentrate,Concentrate,F25 0017,22,60,3,3,100,13,16.2,23.60018016,47.0528592,209.5878749,20.50700796,0.977662569,13,14.59498433,30.58931749,149.2844749,#DIV/0!,16.97760043,82.85546635,,
2661,45901,LMF,Sample 8,Cynodon,nlemfuensis,Cynodon nlemfuensis ,Poaceae,Poales,Grasses,F25 0008,22,60,3,2,102,13.8,15.7,21.38766327,53.69040987,114.4255269,41.65477771,3.635976431,13.8,14.94313187,17.09875737,41.09798882,#DIV/0!,9.490106169,22.81009483,,
2698,45909,0,CIAT-BH22_2046,Urochloa,humidicola,Urochloa humidicola,Poaceae,Poales,grasses,F25 2183,22,61,4,3,34,11.8,14.2,32.08149491,82.41625416,169.7214517,47.32259093,2.788250422,11.8,13.26577181,22.5148605,47.57740448,#DIV/0!,12.49613711,26.40628263,,
2699,45909,LMF,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,Concentrate,Concentrate,Concentrate,F25 0017,22,61,4,1,35,14.9,16.5,17.47888343,41.70594338,185.84532,26.11467647,3.040624809,14.9,15.82944297,29.41827894,52.05983627,#DIV/0!,16.32765378,28.89410982,,
2700,45909,LMF,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,Concentrate,Concentrate,Concentrate,F25 0017,22,61,4,2,36,14.1,16.5,21.90391721,46.57348054,207.6184709,46.62066833,2.246394983,14.1,15.37125891,31.91357271,68.42634098,#DIV/0!,17.71258499,37.97780309,,
2701,45909,LMF,Hohenheimer Heustandard,Hohenheimer,Heustandard,Hohenheimer Heustandard,Concentrate,Concentrate,Concentrate,F25 0017,22,61,4,3,37,13.9,16.2,21.01891046,46.13097716,205.5636563,56.93239164,2.768467827,13.9,15.15203837,31.14708408,54.73077281,#DIV/0!,17.28717054,30.37652581,,
