no,center,id_lab,id,run,replication,genus,species,tax_name,family,order,functional_group,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,tddm,ch4_ml_g_NDF_digested_24h,methane_intensity
No,CENTER,Internal ID lab (when possible),Gene bank /Breeding program ID,Run,Replication,Genus,Species,Tax Name,Family,Order,Functional Group,"Net gas 8h, ml","Net gas 24h, ml","CH4 8h, ml","CH4 24h, ml","CH4 % in gas, h8","CH4 % in gas, 24h","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",CH4 ml/g NDF digested in 24 h,"CH4 ml/g DMD, 24h"
954,CIAT,F24 3436,ABC-7322-1,3,1,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,35.34,65.58,6.43,12.87,18.2,19.63,146.77,76.34,120.63,37.74
955,CIAT,F24 3436,ABC-7322-1,3,2,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,37.11,66.91,6.5,13.02,17.5,19.46,149.74,66.63,205.63,43.73
956,CIAT,F24 3436,ABC-7322-1,3,3,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,36.23,65.58,6.52,12.89,18,19.66,146.74,71.72,149.79,40.22
957,CIAT,F24 3437,ABC-7339-1,3,1,Indigofera,lespedezioides,Indigofera lespedezioides,Fabaceae,Fabales,Legume,25.61,39.92,4.28,7.3,16.7,18.28,86.74,48.7,238.95,32.56
958,CIAT,F24 3437,ABC-7339-1,3,2,Indigofera,lespedezioides,Indigofera lespedezioides,Fabaceae,Fabales,Legume,25.17,38.59,4.3,7.1,17.1,18.39,83.9,44.21,718.69,34.9
959,CIAT,F24 3437,ABC-7339-1,3,3,Indigofera,lespedezioides,Indigofera lespedezioides,Fabaceae,Fabales,Legume,26.49,40.8,4.42,7.39,16.7,18.1,88.7,48.78,238.84,32.91
960,CIAT,F24 3438,ABC-7469-1,3,1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,38,70.89,7.03,13.67,18.5,19.29,153.72,60.56,140.6,48.96
961,CIAT,F24 3438,ABC-7469-1,3,2,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,38.44,69.12,6.92,13.15,18,19.02,149.91,73.06,84.88,39.03
962,CIAT,F24 3438,ABC-7469-1,3,3,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,37.11,67.8,6.61,12.83,17.8,18.93,147.09,50.14,260.93,55.53
963,CIAT,F24 3439,ABC-7643-1,3,1,Desmanthus,pernambucanus,Desmanthus pernambucanus,Fabaceae,Fabales,Browse,26.49,41.25,4.61,7.78,NA,NA,NA,NA,NA,
964,CIAT,F24 3439,ABC-7643-1,3,2,Desmanthus,pernambucanus,Desmanthus pernambucanus,Fabaceae,Fabales,Browse,25.61,39.92,4.56,7.71,NA,NA,NA,NA,NA,
965,CIAT,F24 3439,ABC-7643-1,3,3,Desmanthus,pernambucanus,Desmanthus pernambucanus,Fabaceae,Fabales,Browse,25.17,38.15,4.28,7.12,NA,NA,NA,NA,NA,
966,CIAT,F24 3440,ABC-7703-1,3,1,Aeschynomene,indica,Aeschynomene indica,Fabaceae,Fabales,Legume,31.8,55.41,5.38,9.93,16.9,17.92,120.52,43.84,194.13,49.27
967,CIAT,F24 3440,ABC-7703-1,3,2,Aeschynomene,indica,Aeschynomene indica,Fabaceae,Fabales,Legume,29.15,53.19,5.01,9.63,17.2,18.1,115.68,50.7,116.43,41.31
968,CIAT,F24 3440,ABC-7703-1,3,3,Aeschynomene,indica,Aeschynomene indica,Fabaceae,Fabales,Legume,NA,NA,NA,NA,NA,NA,NA,NA,NA,
969,CIAT,Blank,Blank,2,1,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,
970,CIAT,Blank,Blank,2,2,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,
971,CIAT,F24 3441,ABC-7714-1,2,1,Alysicarpus,glumaceus,Alysicarpus glumaceus,Fabaceae,Fabales,Herbaceous,36.95,68.03,6.28,12.09,17,17.78,146.2,83.05,39.74,31.3
972,CIAT,F24 3441,ABC-7714-1,2,2,Alysicarpus,glumaceus,Alysicarpus glumaceus,Fabaceae,Fabales,Herbaceous,38.72,68.03,6.81,12.82,17.6,18.85,146.17,69.41,53.24,39.7
973,CIAT,F24 3441,ABC-7714-1,2,3,Alysicarpus,glumaceus,Alysicarpus glumaceus,Fabaceae,Fabales,Herbaceous,38.72,67.59,6.81,12.87,17.6,19.04,145.28,59.12,66.72,46.8
974,CIAT,F24 3442,ABC-7757-1,2,1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,37.83,73.34,6.66,14.26,17.6,19.44,159.14,65.65,135.2,47.12
975,CIAT,F24 3442,ABC-7757-1,2,2,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,43.14,78.65,7.77,15.54,18,19.76,170.6,60.74,187.56,55.5
976,CIAT,F24 3442,ABC-7757-1,2,3,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,44.03,80.87,7.75,15.56,17.6,19.24,175.43,64.51,155.26,52.32
977,CIAT,F24 3443,ABC-7759-1,2,1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,40.93,83.97,7.33,15.8,17.9,18.82,179.38,64.58,132.95,52.28
978,CIAT,F24 3443,ABC-7759-1,2,2,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,41.82,87.95,7.57,16.7,18.1,18.99,187.89,66.91,128.71,53.33
979,CIAT,F24 3443,ABC-7759-1,2,3,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,44.03,92.37,7.75,17.32,17.6,18.75,197.3,60.31,175.08,61.34
980,CIAT,F24 3444,ABC-7790-1,2,1,Crotalaria,pallida,Crotalaria pallida,Fabaceae,Fabales,Herbaceous,34.74,68.92,6.36,14.05,18.3,20.38,149.5,55.34,132.78,55.07
981,CIAT,F24 3444,ABC-7790-1,2,2,Crotalaria,pallida,Crotalaria pallida,Fabaceae,Fabales,Herbaceous,35.18,73.79,5.38,14.07,15.3,19.07,160.05,56.36,127.32,54.15
982,CIAT,F24 3444,ABC-7790-1,2,3,Crotalaria,pallida,Crotalaria pallida,Fabaceae,Fabales,Herbaceous,34.74,69.36,6.25,14.04,18,20.25,150.43,77.71,67.2,39.19
983,CIAT,F24 3445,ABC-7792-1,2,1,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Fabaceae,Fabales,Herbaceous,38.72,71.57,6.5,13.83,16.8,19.32,154.13,66.19,98.67,45
984,CIAT,F24 3445,ABC-7792-1,2,2,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Fabaceae,Fabales,Herbaceous,42.7,73.34,6.92,13.69,16.2,18.67,157.81,58.75,129.5,50.14
985,CIAT,F24 3445,ABC-7792-1,2,3,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,Fabaceae,Fabales,Herbaceous,41.82,72.46,6.94,13.68,16.6,18.88,155.97,56.45,144.04,52.17
986,CIAT,F24 3446,ABC-7816-1,2,1,Indigofera,spicata,Indigofera spicata,Fabaceae,Fabales,Herbaceous,29.87,59.63,4.66,10.76,15.6,18.05,128.92,66.27,110.71,35.11
987,CIAT,F24 3446,ABC-7816-1,2,2,Indigofera,spicata,Indigofera spicata,Fabaceae,Fabales,Herbaceous,32.97,64.94,5.01,11.5,15.2,17.71,140.32,55.88,234.05,44.48
988,CIAT,F24 3446,ABC-7816-1,2,3,Indigofera,spicata,Indigofera spicata,Fabaceae,Fabales,Herbaceous,32.08,64.49,5.13,11.75,16,18.21,139.42,69.35,105.4,36.61
989,CIAT,F24 3447,ABC-7858-1,2,1,Crotalaria,incana,Crotalaria incana,Fabaceaee,Fabales,Herbaceous,48.45,84.41,8.24,15.64,17,18.53,181.18,72.61,100.64,46.25
990,CIAT,F24 3447,ABC-7858-1,2,2,Crotalaria,incana,Crotalaria incana,Fabaceaee,Fabales,Herbaceous,48.28,85.12,8.21,15.87,17,18.64,182.74,70.95,107.46,48.02
991,CIAT,F24 3447,ABC-7858-1,2,3,Crotalaria,incana,Crotalaria incana,Fabaceaee,Fabales,Herbaceous,37.83,68.03,6.05,12.46,16,18.31,146.07,68.89,90.21,38.82
992,CIAT,F24 3448,ABC-7972-1,2,1,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,38.28,69.36,6.09,12.65,15.9,18.23,150.89,66.89,119.61,41.13
993,CIAT,F24 3448,ABC-7972-1,2,2,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,37.83,68.48,6.09,12.59,16.1,18.38,148.91,62.75,145.15,43.62
994,CIAT,F24 3448,ABC-7972-1,2,3,Canavalia,brasiliensis,Canavalia brasiliensis,Fabaceae,Fabales,Climber,30.31,60.07,5.58,12.15,18.4,20.23,130.7,50.26,415.25,52.62
995,CIAT,F24 3449,ABC-8205-1,2,1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,29.87,59.63,5.76,12.25,19.3,20.55,129.28,58,288.85,45.8
996,CIAT,F24 3449,ABC-8205-1,2,2,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,30.75,61.4,5.81,12.55,18.9,20.45,132.99,57.39,316.6,47.38
997,CIAT,F24 3449,ABC-8205-1,2,3,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,34.74,58.3,6.95,12.51,20,21.46,126.3,66.98,149.07,40.46
998,CIAT,F24 3450,ABC-8402-1,2,1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,36.51,59.18,6.75,12.06,18.5,20.38,128.62,61.12,290.57,42.88
999,CIAT,F24 3450,ABC-8402-1,2,2,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,34.29,57.41,6.65,12.09,19.4,21.05,124.78,59.69,346.25,44.01
1000,CIAT,F24 3450,ABC-8402-1,2,3,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,36.95,59.18,6.8,11.98,18.4,20.24,128.55,62.36,253.6,41.72
1001,CIAT,F24 3451,ABC-8408-1,2,1,Chamaecrista,nictitans,Chamaecrista nictitans,Fabaceae,Fabales,Herbaceous,30.75,57.86,5.47,11.57,17.8,20,123.03,49.41,305.07,49.8
1002,CIAT,F24 3451,ABC-8408-1,2,2,Chamaecrista,nictitans,Chamaecrista nictitans,Fabaceae,Fabales,Herbaceous,33.85,60.95,5.75,12.02,17,19.71,129.67,45.73,582.63,55.89
1003,CIAT,F24 3451,ABC-8408-1,2,3,Chamaecrista,nictitans,Chamaecrista nictitans,Fabaceae,Fabales,Herbaceous,32.08,56.97,5.55,11.37,17.3,19.97,121.05,44.74,712.96,54.02
1004,CIAT,F24 3452,ABC-8409-1,2,1,Chamaecrista,nictitans,Chamaecrista nictitans,Fabaceae,Fabales,Herbaceous,33.85,56.97,5.69,11.12,16.8,19.52,123.91,43.1,487.76,56.11
1005,CIAT,F24 3452,ABC-8409-1,2,2,Chamaecrista,nictitans,Chamaecrista nictitans,Fabaceae,Fabales,Herbaceous,33.85,57.41,5.89,11.43,17.4,19.9,124.75,73.34,70.55,33.86
1006,CIAT,F24 3452,ABC-8409-1,2,3,Chamaecrista,nictitans,Chamaecrista nictitans,Fabaceae,Fabales,Herbaceous,33.85,54.32,5.69,10.74,16.8,19.78,118.14,46.97,264.59,49.74
1007,CIAT,F24 3453,ABC-8719-1,2,1,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,36.95,67.15,6.17,12.57,16.7,18.72,143.59,66.32,413.33,40.54
1008,CIAT,F24 3453,ABC-8719-1,2,2,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,37.39,66.71,6.17,12.12,16.5,18.17,142.56,58.3,-1714.88,44.43
1009,CIAT,F24 3453,ABC-8719-1,2,3,Canavalia,sp.,Canavalia sp.,Fabaceae,Fabales,Climber,34.74,64.49,5.84,11.76,16.8,18.23,137.83,62.02,1138.27,40.52
1010,CIAT,F24 3454,ABC-8797-1,2,1,Desmanthus,virgatus,Desmanthus virgatus,Fabaceae,Fabales,Shrub,37.83,64.94,6.24,11.85,16.5,18.25,139.7,48.15,314.66,52.95
1011,CIAT,F24 3454,ABC-8797-1,2,2,Desmanthus,virgatus,Desmanthus virgatus,Fabaceae,Fabales,Shrub,31.64,58.3,4.84,10.31,15.3,17.68,125.37,48.43,264.4,45.76
1012,CIAT,F24 3454,ABC-8797-1,2,3,Desmanthus,virgatus,Desmanthus virgatus,Fabaceae,Fabales,Shrub,28.54,54.76,4.65,10,16.3,18.26,117.76,45.34,406.86,47.44
1013,CIAT,F24 3455,ABC-8819-1,2,1,Coursetia,caribaea,Coursetia caribaea,Fabaceae,Fabales,Herbaceous,34.74,67.15,6.32,13.42,18.2,19.99,146.33,65.02,172.03,44.98
1014,CIAT,F24 3455,ABC-8819-1,2,2,Coursetia,caribaea,Coursetia caribaea,Fabaceae,Fabales,Herbaceous,33.85,66.71,6.43,13.69,19,20.53,145.34,63.75,189.76,46.8
1015,CIAT,F24 3455,ABC-8819-1,2,3,Coursetia,caribaea,Coursetia caribaea,Fabaceae,Fabales,Herbaceous,33.41,63.61,6.11,12.94,18.3,20.34,138.42,55.02,402.5,51.18
1016,CIAT,Blank,Blank,2,1,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1017,CIAT,Blank,Blank,2,2,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1018,CIAT,F24 3456,ABC-9170-1,2,1,Indigofera,lespedezioides,Indigofera lespedezioides,Fabaceae,Fabales,Herbaceous,28.98,45.47,4.35,7.61,15,16.74,97.64,46.63,1357.08,35.05
1019,CIAT,F24 3456,ABC-9170-1,2,2,Indigofera,lespedezioides,Indigofera lespedezioides,Fabaceae,Fabales,Herbaceous,26.77,42.37,4.18,7.17,15.6,16.93,90.96,46.44,1522.49,33.15
1020,CIAT,F24 3456,ABC-9170-1,2,3,Indigofera,lespedezioides,Indigofera lespedezioides,Fabaceae,Fabales,Herbaceous,28.98,44.58,4.35,7.34,15,16.47,95.67,47.02,990.65,33.51
1021,CIAT,F24 3457,ABC-9254-1,2,1,Crotalaria,pallida,Crotalaria pallida,Fabaceae,Fabales,Herbaceous,33.85,72.9,6.16,14.64,18.2,20.07,160.5,58.79,228.12,54.81
1022,CIAT,F24 3457,ABC-9254-1,2,2,Crotalaria,pallida,Crotalaria pallida,Fabaceae,Fabales,Herbaceous,33.85,62.72,6.09,12.47,18,19.89,138.04,52.84,335.74,51.95
1023,CIAT,F24 3457,ABC-9254-1,2,3,Crotalaria,pallida,Crotalaria pallida,Fabaceae,Fabales,Herbaceous,29.43,56.97,5.5,11.54,18.7,20.25,125.38,55.96,224.62,45.36
1024,CIAT,F24 3458,ABC-9283-1,2,1,Crotalaria,pallida,Crotalaria pallida,Fabaceae,Fabales,Herbaceous,35.18,68.03,6.47,13.64,18.4,20.04,146.63,53.94,362.51,54.48
1025,CIAT,F24 3458,ABC-9283-1,2,2,Crotalaria,pallida,Crotalaria pallida,Fabaceae,Fabales,Herbaceous,34.74,67.15,6.29,13.26,18.1,19.74,144.63,64.55,152.61,44.23
1026,CIAT,F24 3458,ABC-9283-1,2,3,Crotalaria,pallida,Crotalaria pallida,Fabaceae,Fabales,Herbaceous,33.41,66.26,6.25,13.34,18.7,20.14,142.61,52.05,462.28,55.18
1027,CIAT,F24 3459,ABC-9288-1,2,1,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,40.49,67.59,7.81,14.64,19.3,21.67,144.16,66.28,167.1,47.12
1028,CIAT,F24 3459,ABC-9288-1,2,2,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,43.59,69.8,8.72,15.46,20,22.14,148.88,65.85,180.47,50.06
1029,CIAT,F24 3459,ABC-9288-1,2,3,Indigofera,suffruticosa,Indigofera suffruticosa,Fabaceae,Fabales,Herbaceous,41.82,69.36,7.99,15.12,19.1,21.8,147.88,68.58,153.61,47.01
1030,CIAT,F24 3460,ABC-9336-1,2,1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,43.59,75.11,8.41,15.6,19.3,20.77,166.03,67.11,219.37,51.38
1031,CIAT,F24 3460,ABC-9336-1,2,2,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,48.9,80.42,9.05,16.08,18.5,19.99,177.95,66.15,241.04,53.78
1032,CIAT,F24 3460,ABC-9336-1,2,3,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,45.36,78.65,8.62,15.88,19,20.19,173.96,64.77,262.49,54.22
1033,CIAT,F24 3461,ABC-9349-1,2,1,Mucuna,pruriens,Mucuna pruriens,Fabaceae,Fabales,Climber,28.54,56.09,5.02,10.39,17.6,18.53,122.65,52.9,268.69,42.97
1034,CIAT,F24 3461,ABC-9349-1,2,2,Mucuna,pruriens,Mucuna pruriens,Fabaceae,Fabales,Climber,28.98,58.74,5.28,10.99,18.2,18.71,128.48,47.35,823.97,50.76
1035,CIAT,F24 3461,ABC-9349-1,2,3,Mucuna,pruriens,Mucuna pruriens,Fabaceae,Fabales,Climber,28.98,58.3,5.04,10.67,17.4,18.31,127.54,64.87,114.28,35.99
1036,CIAT,F24 3462,ABC-9356-1,2,1,Tephrosia,noctiflora,Tephrosia noctiflora,Fabaceae,Fabales,Shrub,31.64,57.41,6.11,11.85,19.3,20.65,123.28,52.29,307.86,48.68
1037,CIAT,F24 3462,ABC-9356-1,2,2,Tephrosia,noctiflora,Tephrosia noctiflora,Fabaceae,Fabales,Shrub,31.2,56.97,6.05,11.95,19.4,20.98,122.33,56.86,199.9,45.14
1038,CIAT,F24 3462,ABC-9356-1,2,3,Tephrosia,noctiflora,Tephrosia noctiflora,Fabaceae,Fabales,Shrub,31.64,56.53,5.95,11.05,18.8,19.55,121.53,47.33,717.92,50.19
1039,CIAT,F24 3463,ABC-9432-1,2,1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,36.51,65.38,6.61,12.53,18.1,19.16,143.17,48.52,-420.19,56.54
1040,CIAT,F24 3463,ABC-9432-1,2,2,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,36.95,67.15,6.47,12.54,17.5,18.67,147.07,51.09,-694.42,53.74
1041,CIAT,F24 3463,ABC-9432-1,2,3,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,40.93,73.79,7.37,14.14,18,19.16,161.64,77.66,136.97,39.88
1042,CIAT,F24 3464,ABC-9433-1,2,1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,43.59,71.57,7.89,13.85,18.1,19.35,151.66,80.15,126.03,36.62
1043,CIAT,F24 3464,ABC-9433-1,2,2,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,41.37,66.71,7.53,13,18.2,19.49,141.41,58.94,1324.25,46.76
1044,CIAT,F24 3464,ABC-9433-1,2,3,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,42.7,71.13,7.77,13.86,18.2,19.48,150.91,49.47,-397.65,59.43
1045,CIAT,F24 3465,ABC-9435-1,2,1,Desmanthus,pubescens,Desmanthus pubescens,Fabaceae,Fabales,Shrub,28.54,48.12,4.71,9.12,16.5,18.94,101.65,42.35,-503.97,45.46
1046,CIAT,F24 3465,ABC-9435-1,2,2,Desmanthus,pubescens,Desmanthus pubescens,Fabaceae,Fabales,Shrub,28.1,47.68,4.61,9.11,16.4,19.11,100.68,46.39,8974.36,41.48
1047,CIAT,F24 3465,ABC-9435-1,2,3,Desmanthus,pubescens,Desmanthus pubescens,Fabaceae,Fabales,Shrub,29.43,49.89,4.86,9.48,16.5,19,105.5,44.5,-1193.87,45.05
1048,CIAT,F24 3466,ABC-9530-1,2,1,Crotalaria,maypurensis,Crotalaria maypurensis,Fabaceae,Fabales,Herbaceous,48.01,79.98,8.4,15.6,17.5,19.5,171.35,74.78,478.41,44.68
1049,CIAT,F24 3466,ABC-9530-1,2,2,Crotalaria,maypurensis,Crotalaria maypurensis,Fabaceae,Fabales,Herbaceous,47.13,80.87,8.06,15.38,17.1,19.02,173.28,69.51,1930.08,47.41
1050,CIAT,F24 3466,ABC-9530-1,2,3,Crotalaria,maypurensis,Crotalaria maypurensis,Fabaceae,Fabales,Herbaceous,49.78,83.97,8.66,16.18,17.4,19.27,180.02,56.35,-302.92,61.57
1051,CIAT,F24 3467,ABC-9562-1,2,1,Eriosema,diffusum,Eriosema diffusum,Fabaceae,Fabales,Herbaceous,20.58,35.29,3.35,6.28,16.3,17.8,75.12,27.49,-168.11,48.64
1052,CIAT,F24 3467,ABC-9562-1,2,2,Eriosema,diffusum,Eriosema diffusum,Fabaceae,Fabales,Herbaceous,18.36,32.19,3.27,5.94,17.8,18.44,68.48,28.55,-183.12,44.24
1053,CIAT,F24 3467,ABC-9562-1,2,3,Eriosema,diffusum,Eriosema diffusum,Fabaceae,Fabales,Herbaceous,19.69,32.63,3.25,5.72,16.5,17.53,69.46,30.76,-259.97,39.58
1054,CIAT,F24 3468,ABC-9982-1,2,1,Crotalaria,incana,Crotalaria incana,Fabaceae,Fabales,Herbaceous,46.68,84.41,8.22,16.1,17.6,19.07,179.76,74.72,159.1,45.89
1055,CIAT,F24 3468,ABC-9982-1,2,2,Crotalaria,incana,Crotalaria incana,Fabaceae,Fabales,Herbaceous,45.8,82.2,7.97,15.9,17.4,19.35,175.12,70,201.29,48.4
1056,CIAT,F24 3468,ABC-9982-1,2,3,Crotalaria,incana,Crotalaria incana,Fabaceae,Fabales,Herbaceous,46.68,78.65,8.08,14.82,17.3,18.84,167.58,69.11,198.14,45.7
1057,CIAT,F24 3469,ABC-10647-1,2,1,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,45.36,77.33,7.39,14.62,16.3,18.9,166.26,62.61,167.14,50.2
1058,CIAT,F24 3469,ABC-10647-1,2,2,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,44.91,77.77,7.32,14.75,16.3,18.96,167.28,59.54,201.57,53.27
1059,CIAT,F24 3469,ABC-10647-1,2,3,Stylosanthes,scabra,Stylosanthes scabra,Fabaceae,Fabales,Herbaceous,47.66,81.84,7.77,15.53,16.3,18.97,176.1,66.22,149.09,50.46
1060,CIAT,F24 3470,ABC-11194-1,2,1,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,37.39,74.23,5.65,13.23,15.1,17.83,159.73,62.56,153.97,45.52
1061,CIAT,F24 3470,ABC-11194-1,2,2,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,36.95,72.9,5.87,13.28,15.9,18.22,156.84,61.56,163.34,46.42
1062,CIAT,F24 3470,ABC-11194-1,2,3,Stylosanthes,hamata,Stylosanthes hamata,Fabaceae,Fabales,Herbaceous,36.51,73.79,5.66,13.26,15.5,17.98,158.77,57.91,206.09,49.28
1063,CIAT,F25 0017,Hohenheimer Heustandard,2,1,Hohenheimer Heustandard,Hohenheimer Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1064,CIAT,F25 0017,Hohenheimer Heustandard,2,2,Hohenheimer Heustandard,Hohenheimer Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1065,CIAT,F25 0017,Hohenheimer Heustandard,2,3,Hohenheimer Heustandard,Hohenheimer Heustandard,Hohenheimer Heustandard,Forage,Forage,Forage,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1066,CIAT,F25 0018,Homenheim Concentrate,2,1,Homenheim Concentrate,Homenheim Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1067,CIAT,F25 0018,Homenheim Concentrate,2,2,Homenheim Concentrate,Homenheim Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1068,CIAT,F25 0018,Homenheim Concentrate,2,3,Homenheim Concentrate,Homenheim Concentrate,Homenheim Concentrate,Concentrate,Concentrate,Concentrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1069,CIAT,F25 0019,Sample 8,2,1,Sample 8,Sample 8,Cynodon nlemfuensis ,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1070,CIAT,F25 0019,Sample 8,2,2,Sample 8,Sample 8,Cynodon nlemfuensis ,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1071,CIAT,F25 0019,Sample 8,2,3,Sample 8,Sample 8,Cynodon nlemfuensis ,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1072,CIAT,Blank,Blank,3,1,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1073,CIAT,Blank,Blank,3,2,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1074,CIAT,F24 3441,ABC-7714-1,3,1,Alysicarpus,glumaceus,Alysicarpus glumaceus,Fabaceae,Fabales,Herbaceous,40.19,74.86,6.99,13.61,17.4,18.19,160.76,59.71,69.52,48.97
1075,CIAT,F24 3441,ABC-7714-1,3,2,Alysicarpus,glumaceus,Alysicarpus glumaceus,Fabaceae,Fabales,Herbaceous,39.75,73.53,6.96,14.08,17.5,19.15,157.94,64.79,64.17,46.69
1076,CIAT,F24 3441,ABC-7714-1,3,3,Alysicarpus,glumaceus,Alysicarpus glumaceus,Fabaceae,Fabales,Herbaceous,39.75,73.97,6.84,14.02,17.2,18.96,158.9,57.08,76.4,52.77
1077,CIAT,F24 3442,ABC-7757-1,3,1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,45.5,89.02,7.83,17.18,17.2,19.3,193.15,67.26,152.24,55.43
1078,CIAT,F24 3442,ABC-7757-1,3,2,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,41.96,85.03,7.93,17.23,18.9,20.27,184.51,62.51,189.47,59.83
1079,CIAT,F24 3442,ABC-7757-1,3,3,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,45.06,88.13,7.93,17.15,17.6,19.46,191.26,68.34,145.56,54.46
1080,CIAT,F24 3443,ABC-7759-1,3,1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,41.08,95.65,7.48,18.56,18.2,19.4,204.39,69.91,129.02,56.71
1081,CIAT,F24 3443,ABC-7759-1,3,2,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,42.85,98.31,7.54,18.74,17.6,19.07,210.11,65.38,152.94,61.28
1082,CIAT,F24 3443,ABC-7759-1,3,3,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,42.85,94.77,7.71,18.41,18,19.42,202.46,73.7,113.93,53.36
1083,CIAT,F24 3444,ABC-7790-1,3,1,Crotalaria,pallida,Crotalaria pallida,Fabaceae,Fabales,Herbaceous,36.65,82.82,6.56,18.29,17.9,22.08,179.69,64.96,121.8,61.08
