no,center,id_lab,id,run,replication,genus,species,tax_name,family,order,functional_group,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_percentage_in_gas_8h,ch4_percentage_in_gas_24h,gas_ml_g_dm_incubated_24h,tddm,ch4_ml_g_NDF_digested_24h,methane_intensity
No,CENTER,Internal ID lab (when possible),Gene bank /Breeding program ID,Run,Replication,Genus,Species,Tax Name,Family,Order,Functional Group,"Net gas 8h, ml","Net gas 24h, ml","CH4 8h, ml","CH4 24h, ml","CH4 % in gas, h8","CH4 % in gas, 24h","Gas ml/g DM Incubated, 24h","% DMD, Truly digestibility",CH4 ml/g NDF digested in 24 h,"CH4 ml/g DMD, 24h"
29,CIAT,F24 3424,ABC-913-1,1,1,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,23.81,58.82,3.24,10,13.6,16.99,124.02,64.31,83.73,32.77
30,CIAT,F24 3424,ABC-913-1,1,2,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,23.81,57.82,3.24,9.84,13.6,17.01,121.96,68.28,71.2,30.39
31,CIAT,F24 3424,ABC-913-1,1,3,Cajanus,cajan,Cajanus cajan,Fabaceae,Fabales,Shrub,23.81,58.82,3.21,9.83,13.5,16.71,124.12,69.47,68.4,29.86
32,CIAT,F24 3425,ABC-955-1,1,1,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,36.64,89.16,4.54,13.16,12.4,14.76,194.21,53.52,188.68,53.55
33,CIAT,F24 3425,ABC-955-1,1,2,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,37.97,90.48,4.63,13.24,12.2,14.64,197.14,52.29,206.72,55.19
34,CIAT,F24 3425,ABC-955-1,1,3,Clitoria,ternatea,Clitoria ternatea,Fabaceae,Fabales,Climber,38.41,92.43,4.8,13.55,12.5,14.66,201.13,53.15,198.97,55.49
35,CIAT,F24 1047,,1,1,,,Albizzia saman,Fabaceae,Fabales,Tree,13.19,24.2,1.93,3.85,14.6,15.92,50.62,65.01,35.43,12.4
36,CIAT,F24 1047,,1,2,,,Albizzia saman,Fabaceae,Fabales,Tree,14.07,23.09,1.79,3.45,12.7,14.93,48.3,64.29,32.72,11.21
37,CIAT,F24 1047,,1,3,,,Albizzia saman,Fabaceae,Fabales,Tree,13.19,23.2,1.65,3.47,12.5,14.96,48.54,72.2,24.26,10.06
38,CIAT,F24 1070,,1,1,,,Gliricidia sepium,Fabaceae,Fabales,Tree,23.36,51.88,2.43,7.48,10.4,14.41,109.02,56.55,108.75,27.79
39,CIAT,F24 1070,,1,2,,,Gliricidia sepium,Fabaceae,Fabales,Tree,22.04,50.55,2.25,7.24,10.2,14.32,106.2,52.21,150.44,29.13
40,CIAT,F24 1070,,1,3,,,Gliricidia sepium,Fabaceae,Fabales,Tree,19.82,47.84,2.22,7.12,11.2,14.89,100.59,56.56,103.55,26.48
41,CIAT,F24 1075,,1,1,,,Leucaena diversifolia,Fabaceae,Fabales,Tree,11.42,30.43,1.28,4.59,11.2,15.07,63.59,51.34,101.34,18.67
42,CIAT,F24 1075,,1,2,,,Leucaena diversifolia,Fabaceae,Fabales,Tree,11.42,30.93,1.23,4.49,10.8,14.52,64.69,55.02,71.48,17.07
43,CIAT,F24 1075,,1,3,,,Leucaena diversifolia,Fabaceae,Fabales,Tree,12.74,32.26,1.33,4.64,10.4,14.39,67.42,57.16,63.51,16.98
44,CIAT,F24 1084,,1,1,,,Brachiaria decumbens,Poaceae,Poales,Grass,26.02,58.54,2.37,6.3,9.1,10.77,122.76,48.35,194.68,27.34
45,CIAT,F24 1084,,1,2,,,Brachiaria decumbens,Poaceae,Poales,Grass,27.79,61.81,2.45,6.43,8.8,10.4,129.59,53.01,117.62,25.41
46,CIAT,F24 1084,,1,3,,,Brachiaria decumbens,Poaceae,Poales,Grass,25.58,62.09,2.51,6.74,9.8,10.86,130.14,48.78,195.78,28.97
47,CIAT,F24 1095,,1,1,,,Setaria sphacelata,Fabaceae,Fabales,Grass,17.17,44.19,1.84,7.08,10.7,16.02,92.53,58.41,89.53,25.38
48,CIAT,F24 1095,,1,2,,,Setaria sphacelata,Fabaceae,Fabales,Grass,20.71,51.73,2.36,8.5,11.4,16.44,108.34,57.94,110.7,30.73
49,CIAT,F24 1095,,1,3,,,Setaria sphacelata,Fabaceae,Fabales,Grass,15.84,51.86,1.7,8.86,10.7,17.09,108.62,54.84,142.93,33.85
50,CIAT,Blank,Blank,1,1,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,CIAT,Blank,Blank,1,2,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,CIAT,Blank,Blank,2,1,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,CIAT,Blank,Blank,2,2,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
