40nutrition_no,40nutrition_date,40nutrition_requisitioner,40nutrition_set_ciat,40nutrition_sample_id,40nutrition_gene_bank_breeding_program_id,40nutrition_genus,40nutrition_species,40nutrition_tax_name,40nutrition_dm_percentage,40nutrition_av_dm_105,40nutrition_ash_dm,40nutrition_av_ash_percentage,40nutrition_om_percentage,40nutrition_om_percentage,40nutrition_pc_percentage_dm,40nutrition_av_pc_percentage,40nutrition_adf_percentage_dm,40nutrition_av_adf_percentage_dm,40nutrition_ndf_percentage_dm,40nutrition_av_ndf_percentage_dm
No,Date,,Set CIAT,Sample ID,Gene bank /Breeding program ID,Genus,Species,Tax Name,"DM, %",Av DM 105,Ash/DM,"Av Ash, %","OM, %","OM, %","PC (%), DM","Av PC, %","ADF, % (DM)"," Av ADF, % (DM)","NDF, % (DM)"," Av NDF, % (DM)"
27,45621,Genetic bank,3,F24 3444,ABC-7790,Crotalaria,pallida,Crotalaria pallida,92.2,92.15,5.965292842,5.859953696,94.03470716,94.1400463,27.43905179,27.43905179,19.81624028,20.07772175,69.18318261,67.5835542
28,45621,Genetic bank,3,F24 3444,ABC-7790,Crotalaria,pallida,Crotalaria pallida,92.1,,5.754614549,,94.24538545,,27.43905179,,20.33920323,,65.98392579,
29,45621,Genetic bank,3,F24 3445,ABC-7792,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,92.9,92.95,8.073196986,8.068856558,91.92680301,91.93114344,20.02103028,20.02103028,22.86232699,23.48182591,63.66665084,63.94342997
30,45621,Genetic bank,3,F24 3445,ABC-7792,Chamaecrista,rotundifolia,Chamaecrista rotundifolia,93,,8.064516129,,91.93548387,,20.02103028,,24.10132483,,64.22020909,
31,45621,Genetic bank,3,F24 3446,ABC-7816,Indigofera,spicata,Indigofera spicata,92.4,92.5,17.53246753,17.62152534,82.46753247,82.37847466,28.00898398,28.00898398,23.70542578,23.10670087,52.81745526,54.74329686
32,45621,Genetic bank,3,F24 3446,ABC-7816,Indigofera,spicata,Indigofera spicata,92.6,,17.71058315,,82.28941685,,28.00898398,,22.50797596,,56.66913846,
33,45621,Genetic bank,3,F24 3447,ABC-7858,Crotalaria,incana,Crotalaria incana,93.1,93.2,9.129967777,9.173772741,90.87003222,90.82622726,31.03415068,31.03415068,25.70977869,23.56845153,61.74390856,60.72538106
34,45621,Genetic bank,3,F24 3447,ABC-7858,Crotalaria,incana,Crotalaria incana,93.3,,9.217577706,,90.78242229,,31.03415068,,21.42712438,,59.70685356,
35,45621,Genetic bank,3,F24 3448,ABC-7972,Canavalia,brasiliensis,Canavalia brasiliensis,91.9,91.95,17.51904244,17.83560818,82.48095756,82.16439182,26.52781626,26.52781626,23.17741101,23.8526448,56.60692904,56.06643684
36,45621,Genetic bank,3,F24 3448,ABC-7972,Canavalia,brasiliensis,Canavalia brasiliensis,92,,18.15217391,,81.84782609,,26.52781626,,24.5278786,,55.52594465,
37,45621,Genetic bank,3,F24 3449,ABC-8205,Indigofera,suffruticosa,Indigofera suffruticosa,92.1,92.2,14.54940282,14.64198202,85.45059718,85.35801798,24.22786897,24.22786897,27.04056493,26.75974916,51.6842826,51.20819381
38,45621,Genetic bank,3,F24 3449,ABC-8205,Indigofera,suffruticosa,Indigofera suffruticosa,92.3,,14.73456121,,85.26543879,,24.22786897,,26.47893339,,50.73210501,
39,45621,Genetic bank,3,F24 3450,ABC-8402,Indigofera,suffruticosa,Indigofera suffruticosa,91.9,92,17.62785637,17.71729409,82.37214363,82.28270591,26.88970109,26.88970109,18.67389258,18.99519674,46.30410467,47.90480151
