id,methane_intensity,tddm,ch4_8h,ch4_24h,functional_group,taxonomic_name,family,,
52790,13.98,80.21,13.98,14.83,Legume,Medicago orbicularis,Medicago,,
53533,13.99,80.62,13.99,16.24,Legume,Medicago orbicularis f. biancae,Medicago,,
53384,14.4,72.84,14.4,16.29,Legume,Medicago orbicularis f. marginata,Medicago,,
58468,14.33,77.82,14.33,15.9,Legume,Medicago polymorpha var. iraqi,Medicago,,
52830,13.21,66.77,13.21,12.46,Legume,Medicago polymorpha var. polymorpha,Medicago,,
167122,14.1,62.68,14.1,15.87,Legume,Medicago polymorpha var. vulgaris ,Medicago,,
57932,13.12,78.86,13.12,14.83,Legume,Medicago praecox,Medicago,,
57716,15.46,66.41,15.46,16.45,Legume,Medicago radiata,Medicago,,
52945,14.16,75.17,14.16,12.56,Legume,Medicago rigidula,Medicago,,
55483,14.66,75.09,14.66,16.14,Legume,Medicago rigidula var. agrestis,Medicago,,
55185,14.76,70.61,14.76,16.14,Legume,Medicago rigidula var. cinerascens,Medicago,,
54930,14.97,68.45,14.97,16.79,Legume,Medicago rigidula var. rigidula,Medicago,,
55376,14.98,64.17,14.98,16.49,Legume,Medicago rigidula var. submitis,Medicago,,
53313,12.88,67.66,12.88,13.54,Legume,Medicago rotata,Medicago,,
52987,14.36,64.64,14.36,15.23,Legume,Medicago rotata var. eliezeri,Medicago,,
54947,14.66,73.77,14.66,16.99,Legume,Medicago rotata var. rotata,Medicago,,
101063,12.97,53.87,12.97,15.01,Legume,Medicago sativa,Medicago,,
101065,12.85,59.32,12.85,14.69,Legume,Medicago sativa,Medicago,,
101076,12.95,55.2,12.95,14.47,Legume,Medicago sativa,Medicago,,
101077,12.55,49.75,12.55,14.48,Legume,Medicago sativa,Medicago,,
101094,10.98,56.77,10.98,12.86,Legume,Medicago sativa,Medicago,,
101095,12.23,55.38,12.23,14.27,Legume,Medicago sativa,Medicago,,
101097,11.13,63.14,11.13,13.06,Legume,Medicago sativa,Medicago,,
101045,12.13,65.73,12.13,14.24,Legume,Medicago sativa subsp. Sativa,Medicago,,
53352,13.26,73.12,13.26,13.86,Legume,Medicago scutellata,Medicago,,
110973,14.6,59.12,14.6,16.62,Legume,Medicago tornata var. Lanticularis f. aculeata,Medicago,,
111099,15.13,68.35,15.13,17.11,Legume,Medicago tornata var. lenticularis,Medicago,,
53028,14.29,68.67,14.29,14.41,Legume,Medicago tornata var. rugulosa,Medicago,,
56023,13.7,71.53,13.7,16.03,Legume,Medicago turbinata var. aculeata,Medicago,,
55910,14.27,77.84,14.27,15.85,Legume,Medicago turbinata var. spinulosa,Medicago,,
108211,13.9,67.18,13.9,16.16,Legume,Melilotis sulcatus,,,
49164,14.57,79.19,14.57,15.23,Legume,Pisum sativum,Pisum,,
123028,13.73,71.66,13.73,15.52,Legume,Pisum sativum subsp. asiaticum,Pisum,,
52524,13.9,71.55,13.9,14.75,Legume,Pisum sativum subsp. Elatius,Pisum,,
50542,13.8,68.34,13.8,-12.74,Legume,Pisum sativum subsp. Sativum,Pisum,,
49208,13.77,71.75,13.77,14.79,Legume,Pisum sativum var. arvense,Pisum,,
51225,12.43,78.53,12.43,13.14,Legume,Pisum sativum var. sativum,Pisum,,
51226,13.92,80.12,13.92,15.19,Legume,Pisum sp.,Pisum,,
F3-3-3-88,15.3,77.76,15.3,17.53,Legume,Prateekx190,Lathyrus,,
F3-3-3-88,17.42,76.74,17.42,18.66,Legume,Prateekx190,Lathyrus,,
F3-4-4-130,12.62,77.65,12.62,14.8,Legume,Prateekx288,Lathyrus,,
F3-4-4-130,14.71,61.28,14.71,16.54,Legume,Prateekx288,Lathyrus,,
F3-5-5-121,13.59,80.56,13.59,16.36,Legume,Prateekx390,Lathyrus,,
F3-5-5-135,13.98,80.2,13.98,16.09,Legume,Prateekx390,Lathyrus,,
F3-5-5-100,13.59,80.61,13.59,16.33,Legume,Prateekx390,Lathyrus,,
F3-5-5-121,16.92,79.35,16.92,18.28,Legume,Prateekx390,Lathyrus,,
F3-5-5-135,15.64,82.21,15.64,17.47,Legume,Prateekx390,Lathyrus,,
F3-5-5-100,14.47,80.72,14.47,16.47,Legume,Prateekx390,Lathyrus,,
F3-29-46,14.22,79.35,14.22,16.96,Legume,Prateekx404,Lathyrus,,
F3-29-46,16.73,77.13,16.73,18.62,Legume,Prateekx404,Lathyrus,,
F3-1-1-114,13.59,80.03,13.59,16.13,Legume,PrateekxB111,Lathyrus,,
F3-1-1-91,13.7,80.8,13.7,16.52,Legume,PrateekxB111,Lathyrus,,
F3-1-1-54,13.34,80.57,13.34,16.1,Legume,PrateekxB111,Lathyrus,,
F3-1-1-52,13.55,80.31,13.55,15.91,Legume,PrateekxB111,Lathyrus,,
F3-1-1-83,13.05,81.47,13.05,15.79,Legume,PrateekxB111,Lathyrus,,
F3-1-1-93,13.69,82.06,13.69,16.48,Legume,PrateekxB111,Lathyrus,,
F3-1-1-103,13.16,80.27,13.16,15.56,Legume,PrateekxB111,Lathyrus,,
F3-1-1-127,13.51,77.24,13.51,15.87,Legume,PrateekxB111,Lathyrus,,
