icarda_id,functional_group,tanoxomic_name,gb_id,genus,run,replication,dm,ndf,om,gas_g_dm_incubated,ch4_g_dm_incubated,ch4_ndf,ch4_g_digested,tddm,ch4_g_kg_dm
ICARDA ID,Functional group,Latin name,GB ID,Genus,Run,Replication,DM,NDF,OM,Gas /g DM Incubated,CH4/gDM incubated,CH4/NDF,Ch4 /g digested,True digestebility,CH4 (g/kg DM) 
250100031,Legume,Medicago sativa,101076,Medicago,2,1,94.11254912,50.19399211,89.49776942,184.5959718,28.80643806,5.401139068,46.6777474,61.71342807,15.98807151
250100031,Legume,Medicago sativa,101076,Medicago,2,2,94.11254912,50.19399211,89.49776942,197.7607612,29.07870036,5.452187605,51.98511048,55.93659432,16.13918179
250100031,Legume,Medicago sativa,101076,Medicago,2,3,94.11254912,#N/A,89.49776942,,,#N/A,,,0
250100032,Legume,Medicago sativa,101077,Medicago,2,1,94.81654008,39.17100141,89.19875488,173.2654409,26.46145409,6.405206484,48.47790775,54.58456298,14.68656483
250100032,Legume,Medicago sativa,101077,Medicago,2,2,94.81654008,39.17100141,89.19875488,195.5225046,30.5932438,7.405339212,58.07790796,52.67621523,16.9797796
250100032,Legume,Medicago sativa,101077,Medicago,2,3,94.81654008,39.17100141,89.19875488,188.0359836,29.33882219,7.101696435,68.30330539,42.95373705,16.28355391
250100033,Legume,Medicago sativa,101094,Medicago,2,1,94.63798987,45.15915203,89.14939321,183.7986853,28.41506609,5.954816723,46.9657199,60.50171519,15.77085329
250100033,Legume,Medicago sativa,101094,Medicago,2,2,94.63798987,45.15915203,89.14939321,,,0,,60.12492776,0
250100033,Legume,Medicago sativa,101094,Medicago,2,3,94.63798987,45.15915203,89.14939321,145.9154693,21.34445209,4.473060165,37.75861391,56.52869603,11.84654019
250100034,Legume,Medicago sativa,101095,Medicago,2,1,94.85692556,41.23542082,89.51456595,197.3109557,29.47562597,6.780498909,49.76223208,59.23292573,16.35948237
250100034,Legume,Medicago sativa,101095,Medicago,2,2,94.85692556,41.23542082,89.51456595,200.0286587,30.92569065,7.114068143,52.18710688,59.25925482,17.16429336
250100034,Legume,Medicago sativa,101095,Medicago,2,3,94.85692556,41.23542082,89.51456595,190.9207741,27.32165689,6.285005274,48.47103469,56.36697682,15.16399226
250100035,Legume,Medicago sativa,101097,Medicago,2,1,95.6714815,40.01079244,88.98042022,,0,0,,,0
250100035,Legume,Medicago sativa,101097,Medicago,2,2,95.6714815,40.01079244,88.98042022,200.6494336,30.81446456,7.368175675,47.09664337,65.42815444,17.10256095
250100035,Legume,Medicago sativa,101097,Medicago,2,3,95.6714815,40.01079244,88.98042022,189.5062089,29.26287382,6.997168315,52.73103255,55.49459664,16.24140125
250100036,Legume,trifolium pratense,156276,Trifolium,2,1,93.79338473,36.70992965,87.79821654,181.626397,28.52008241,7.286843336,49.19972893,57.96796656,15.82913917
250100036,Legume,trifolium pratense,156276,Trifolium,2,2,93.79338473,36.70992965,87.79821654,189.7805437,30.42814718,7.77435136,55.27560369,55.04805944,16.88814812
250100036,Legume,trifolium pratense,156276,Trifolium,2,3,93.79338473,36.70992965,87.79821654,187.3552197,29.8728079,7.632462909,55.43465721,53.88832439,16.57992521
250100037,Legume,trifolium pratense,156283,Trifolium,2,1,94.71644505,36.89194699,88.99994527,235.7218185,37.69406171,9.677579571,59.5398793,63.30893201,20.9208564
250100037,Legume,trifolium pratense,156283,Trifolium,2,2,94.71644505,36.89194699,88.99994527,203.4353939,31.99138636,8.213473768,49.87645452,64.14125997,17.75577291
250100037,Legume,trifolium pratense,156283,Trifolium,2,3,94.71644505,36.89194699,88.99994527,214.5085999,33.78009752,8.672707765,54.53053483,61.94712307,18.74853856
250100038,Legume,trifolium pratense,156292,Trifolium,2,1,94.09697194,34.93975812,88.42884822,225.2269133,35.76308003,9.631427689,62.37156995,57.33875235,19.84912816
250100038,Legume,trifolium pratense,156292,Trifolium,2,2,94.09697194,34.93975812,88.42884822,,0,0,,,0
