subset,requisitioner,no,id_lab,id,n_replicates,tax_order,family,genus,species,tax_name,functional_group,set_ciat,batch,run,replication,syrange,sample_weight_g,undigested_dm_g,dm_incubated,digested_feed_mg,net_gas_8h_ml,net_gas_24h_ml,ch4_8h_ml,ch4_24h_ml,ch4_8h_percentage,ch4_24h_percentage,part_fact,ch4_ml_g_dm_incubaed_24h,ch4_ml_g_ndf_digested_24h,methane_intensity,tddm
3,Genetic bank,324,F25-1671,CIAT-13329,9,Fabales,Fabaceae,Desmodium,cajanifolium,Desmodium cajanifolium,Shrub_Trees,24,49,1,1,9,0.5,0.18,471.16,294.39,44.04,85.01,5.63,11.42,12.79,14.12,3.47,24.24,169.65,38.88,62.48
3,Genetic bank,327,F25-1672,CIAT-13387,9,Fabales,Fabaceae,Desmodium,sequax,Desmodium sequax,Shrub_Trees,24,49,1,1,12,0.5,0.36,463.26,108.61,18.56,30.06,2.12,3.84,11.47,14.93,3.6,8.29,-93.96,37.58,23.45
3,Genetic bank,330,F25-1673,CIAT-13547,9,Fabales,Fabaceae,Codariocalyx,gyroides,Codariocalyx gyroides,Shrub_Trees,24,49,1,1,15,0.5,0.32,474.29,156.62,22.37,49.01,2.68,6.63,11.87,14.83,3.18,13.98,-1199.5,43.63,33.02
3,Genetic bank,15,F25-0974,CIAT-13946,9,Fabales,Fabaceae,Desmodium,sequax,Desmodium sequax,Herbaceous_legumes,23,46,1,1,15,0.5,0.37,469.32,102.8,17.1,24.75,2.0,3.07,11.72,14.08,4.15,6.55,-39.85,30.76,21.9
3,Genetic bank,333,F25-1674,CIAT-13953,9,Fabales,Fabaceae,Desmodium,velutinum,Desmodium velutinum,Shrub_Trees,24,49,1,1,18,0.5,0.19,464.91,276.03,36.81,73.4,4.96,11.19,13.43,17.02,3.76,24.06,77.68,40.68,59.37
3,Genetic bank,3,F24-3540,CIAT-1467,9,Fabales,Fabaceae,Stylosanthes,hamata,Stylosanthes hamata,Herbaceous_legumes,23,46,1,1,3,0.5,0.19,463.27,272.04,44.87,98.17,5.83,14.29,12.98,15.89,2.77,30.75,272.28,52.38,58.72
3,Genetic bank,6,F24-3541,CIAT-1475,9,Fabales,Fabaceae,Stylosanthes,hamata,Stylosanthes hamata,Herbaceous_legumes,23,46,1,1,6,0.5,0.21,454.12,246.01,42.26,89.06,5.61,13.16,13.27,16.14,2.81,28.97,446.8,53.96,54.17
3,Genetic bank,336,F25-1675,CIAT-15086,9,Fabales,Fabaceae,Centrosema,acutifolium,Centrosema acutifolium,Herbaceous_legumes,24,49,1,1,21,0.5,0.22,475.7,256.92,40.2,81.01,5.31,11.69,13.18,15.64,3.17,24.58,269.2,45.6,54.01
3,Genetic bank,339,F25-1676,CIAT-17403,9,Fabales,Fabaceae,Flemingia,macrophylla,Flemingia macrophylla,Shrub_Trees,24,49,1,1,24,0.5,0.36,469.98,117.46,24.06,38.56,2.95,4.83,12.37,13.08,3.05,10.27,-30.51,43.13,24.99
3,Breeding,1008,F25-2637,CIAT-17462,9,Fabales,Leguminosae,Leucaena ,leucocephala ,Leucaena leucocephala ,Shrub_Trees,26,55,1,1,153,0.5,0.29,463.35,176.96,25.78,59.74,3.38,8.64,13.11,15.49,2.97,18.64,219.23,49.82,38.19
